,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,1.IC0010,16,24.31278431756754,0.011781996498374823,0.024764144291449134,0.02502472887874691,0.02485975756359693,0.024849714764325626,0.011805518246890828,0.04481890564951569
1,13.NGC4214,11,27.358982396980405,0.01726425741854797,0.021071328350210673,0.020801424393238573,0.023107847043860374,0.021763224501615497,0.017262590246261218,0.012913345271236184
2,14.NGC4236,3,28.232726238830217,0.08922902923832565,0.049214092223500275,0.016610852795128903,0.02562656058498547,0.012075088534651002,0.08913497211382297,0.012138720706491753
3,15.NGC4258,6,29.35770461227402,0.016626236215818303,0.026006356488155035,0.018353359064033736,0.025056598083054382,0.02011322857904929,0.016723363925774642,0.020970028616455385
4,16.NGC4395,4,28.418029633679588,0.019530444525015206,0.02742761898033491,0.0025831533152337483,0.029056123638724785,0.016902057464502462,0.019585011018166103,0.001934895593448612
5,17.NGC6822,9,23.437254765498448,0.022077416390582888,0.04509675750371844,0.04623460119687724,0.04543869707420356,0.04552246147389738,0.022104526049213324,0.06849331572963453
6,18.NGC1073,1,30.26,0.13,--,--,--,--,--,--
7,19.NGC2500,1,30.180000000000003,0.46,--,--,--,--,--,--
8,2.IC2574,6,27.919057095842778,0.014710089197809768,0.014770110772354992,0.015597545007427705,0.015110054847475851,0.014897828617396414,0.014824716837124377,0.012547690019292354
9,21.M96,4,30.162279586146564,0.026082110678041358,0.10964183374300883,0.020224167342749337,-0.0008930301862619672,0.05578931832300782,0.026133451675728312,0.04276945349624065
10,22.NGC3370,1,31.751,0.049,--,--,--,--,--,--
11,23.M66,4,30.126093057415787,0.022899061318872826,0.07358603865873026,0.029516598583102398,0.013553548427914563,0.044491089023331654,0.0228707282800864,0.08708903622797601
12,29.UGC08091,4,26.593565610859727,0.018049705127885608,0.02749027182983685,0.01021157960552196,0.012025447130220357,0.023526420089694966,0.017777275629864253,0.02497956591360165
13,3.M33,16,24.70918122879759,0.01465158134539265,0.030053948340091542,0.028923788096659884,0.02907229501141373,0.02911318408305874,0.01468852081577637,0.044779771984639845
14,30.NGC5204,2,28.398010610079574,0.04916410024922301,0.025437317664379105,0.003846857409067807,0.04397112970821482,0.016028870291783903,0.04938799482700435,0.0023580478412904516
15,31.UGC09128,6,26.76695309074967,0.025125725074110417,0.018522570948493508,0.01901972182293809,0.02062520285166869,0.018619435275308405,0.02502219831717793,0.017767581799086603
16,32.NGC5584,1,31.76,0.04,--,--,--,--,--,--
17,4.M81,13,27.79584046773856,0.010404233200495376,0.016284312425244585,0.015587753144934992,0.015473564110386917,0.0155303479980482,0.010449052844164392,0.033505806604728926
18,5.M101,26,29.26754358880055,0.006394514299852029,0.01497172628407726,0.015260269947149309,0.015078293952427657,0.015067980415423676,0.006363835134627797,0.024261799331190926
19,6.MRK116,2,31.009999999999998,0.12020815280171308,0.20536315449954604,0.29000000000000264,0.29048285000000007,0.28951715000000533,0.11987866745155142,0.6977021406785666
20,8.NGC2366,5,27.558569585268103,0.020543023697951888,0.020974624676563393,0.01265007563921952,0.015212487028684052,0.012222282229913617,0.0205356986872292,0.010281036558449419
21,9.NGC2403,5,27.48811433153855,0.025687923249024025,0.02336792620066557,0.02460216185790029,0.023341558547315344,0.025794112735649577,0.02549554555403909,0.016044667632577666
