,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,1.IC0010,1,24.1,0.19000000000000003,--,--,--,--,--,--
1,10.NGC2541,6,30.339154691205383,0.02674101694307088,0.03250930772719348,0.03549976736508284,0.034102706238314795,0.033800261282639354,0.026700934758601278,0.04081704030206736
2,11.NGC3198,6,30.758171660741485,0.027043219176028997,0.02225252271656794,0.023854922549857563,0.02154817286235655,0.019566307276356554,0.027108598441928464,0.023168130142992228
3,12.NGC3319,6,30.647139759511138,0.03574004308994274,0.03567277613541105,0.03856112012955415,0.03509463892510922,0.03407674553191953,0.035685758773848456,0.044642661688258777
4,15.NGC4258,24,29.327512504623368,0.012380142555882996,0.03653751526712114,0.03584220475461526,0.035957814499248286,0.036254577122470266,0.012298513345919472,0.0686861534830367
5,16.NGC4395,1,28.02,0.18,--,--,--,--,--,--
6,17.NGC6822,8,23.306094022590276,0.0186356406558916,0.025149887705312148,0.021797472607498387,0.022957946962471,0.021784499700427062,0.018631285263668224,0.025895960457817446
7,21.M96,6,30.09214579375214,0.032647956420896726,0.059606284318654994,0.060620672715544034,0.05689261617278163,0.05529779407326885,0.03290081974692855,0.11312279381688314
8,22.NGC3370,1,32.22,0.05,--,--,--,--,--,--
9,23.M66,11,29.966177652869895,0.026891330099704725,0.06263913474420309,0.06606618353296782,0.06415710043000189,0.06436822973454426,0.02686293529682777,0.11779376585040481
10,24.NGC4414,7,31.188452832797108,0.022671581401781195,0.04117070411775667,0.041048455579952015,0.04067506623886885,0.04021376110373964,0.022617531170112302,0.07482208332244748
11,25.NGC4496,11,30.869143267406262,0.014141510869025741,0.02699023087365216,0.025919364667227496,0.026080101630245878,0.026284829694809275,0.014184462755092005,0.043000772357281995
12,26.NGC4535,6,30.913191348703826,0.02366988123235081,0.03077375806680089,0.03256867820132558,0.02882703722368518,0.030257557012493663,0.023723949866568683,0.05229153246992524
13,27.NGC4536,11,30.843107333834446,0.020056408242964716,0.02137166328644038,0.0219196247693192,0.021506124689899764,0.02165929011522394,0.020123216517792353,0.020922420970973684
14,28.NGC4725,6,30.438144364854512,0.028125631853066258,0.025425022180330287,0.027056394645197105,0.025807487885483482,0.025351183732343685,0.02838692424378407,0.029478599560937364
15,3.M33,10,24.579050491249713,0.011775650398657264,0.09553046544737587,0.10274899005067833,0.10729059905748883,0.11090911137742054,0.011765420707616341,0.2860565187486373
16,33.NGC7331,6,30.824256724527903,0.03832189687118676,0.015381320435268148,0.016748253082312935,0.015284864332354431,0.015699508882125457,0.03853007582075463,0.007166045044777479
17,4.M81,11,27.755495763372668,0.023215541701929108,0.014670071374365766,0.014547330632287223,0.014292819693579872,0.01428394694603341,0.02306260542097239,0.0102753065372161
18,5.M101,7,29.1584356040935,0.028598486775497204,0.04397730965920438,0.0484068613593364,0.04638387478367534,0.051432776942352376,0.02861588368410628,0.05423077465837532
19,6.MRK116,1,31.379999999999995,0.17,--,--,--,--,--,--
20,7.NGC0925,6,29.780200804679115,0.022698640855019974,0.012436711372211244,0.013023451550885795,0.011943913011105423,0.012786529572561989,0.022741465862024055,0.008462589207851295
21,8.NGC2366,1,27.68,0.2,--,--,--,--,--,--
22,9.NGC2403,1,27.48,0.1,--,--,--,--,--,--
