# Columns:
# 0 index: running object index
# 1 z_or_mu: distance modulus mu for anchor objects, redshift z for non-anchor HII galaxies
# 2 e_z_or_e_mu: uncertainty in distance modulus or redshift
# 3 log_sigma: log10 ionised-gas velocity dispersion, sigma in km/s
# 4 e_log_sigma: uncertainty in log_sigma
# 5 log_f_Hbeta: log10 extinction-corrected Hbeta flux, in erg/s/cm^2
# 6 e_log_f_Hbeta: uncertainty in log_f_Hbeta
# 7 origin_id: numerical identifier of the data origin/subsample
# 8 GEHR_id: (Holman) Additional field to make arrangements to GEHR analysis
# origin_id meaning:
# 0: Local anchor sample, 36 nearby GEHRs/HII regions with independent Cepheid or TRGB distance moduli, from Fernandez-Arenas et al. 2018 and references therein.
# 1: Low-redshift HII galaxies, 0.01 <= z <= 0.15, from Chavez et al. 2014.
# 2: Intermediate-redshift HII galaxies, mainly 0.6 <= z <= 4, compiled from Erb et al. 2006, Masters et al. 2014, and Maseda et al. 2014.
# 3: VLT/X-shooter intermediate-redshift HII galaxies from Terlevich et al. 2015.
# 4: Keck/MOSFIRE intermediate-redshift HII galaxies from Gonzalez-Moran et al. 2019.
# 5: VLT/KMOS intermediate-redshift HII galaxies from Gonzalez-Moran et al. 2021.
# 6: High-redshift JWST/NIRSpec HII galaxies from D'Eugenio et al. 2024, homogenised and analysed in Chavez et al. 2025.
# 7: High-redshift HII galaxies from VUDS/VANDELS, Llerena et al. 2023, homogenised and analysed in Chavez et al. 2025.
# 8: New very-high-redshift subsample analysed in the present paper, including JWST/NIRSpec objects and ALMA+JWST/MIRI objects extending to z ~ 14.
index,z_or_mu,e_z_or_e_mu,log_sigma,e_log_sigma,log_f_Hbeta,e_log_f_Hbeta,origin_id,GEHR_id
0 , 24.22 , 0.13 , 1.1803352 , 0.0136779 , -10.2477404749 , 0.0576746197553 , 0.0 ,1.IC0010
1 , 24.22 , 0.13 , 1.1144041 , 0.0117835 , -10.4759303122 , 0.0616196977511 , 0.0 ,1.IC0010
2 , 29.15 , 0.1 , 1.4143135 , 0.0233959 , -11.0543846363 , 0.0571859387529 , 0.0 ,5.M101
3 , 29.15 , 0.1 , 1.3692392 , 0.0211037 , -11.9205675872 , 0.0529003364017 , 0.0 ,5.M101
4 , 29.15 , 0.1 , 1.2958639 , 0.0178817 , -11.8613707404 , 0.0609810126943 , 0.0 ,5.M101
5 , 29.15 , 0.1 , 1.3043677 , 0.0182209 , -12.0887781044 , 0.0414250431862 , 0.0 ,5.M101
6 , 29.15 , 0.1 , 1.3026601 , 0.0181555 , -11.8302225581 , 0.0592690973202 , 0.0 ,5.M101
7 , 24.58 , 0.1 , 1.1051128 , 0.0114869 , -11.3192839883 , 0.0962665899784 , 0.0 ,3.M33
8 , 24.58 , 0.1 , 1.0106166 , 0.0093596 , -11.5662672307 , 0.0815293027404 , 0.0 ,3.M33
9 , 24.58 , 0.1 , 1.2455455 , 0.0158692 , -10.7558824468 , 0.0844501344365 , 0.0 ,3.M33
10 , 24.58 , 0.1 , 1.268982 , 0.0167476 , -10.6936229727 , 0.0793074651279 , 0.0 ,3.M33
11 , 27.8 , 0.1 , 1.1308849 , 0.0122529 , -12.0123383193 , 0.128864722956 , 0.0 ,4.M81
12 , 27.8 , 0.1 , 1.2752068 , 0.0170656 , -11.2411773666 , 0.135179284621 , 0.0 ,4.M81
