,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,1.IC0010,1, 24.22,0.13,--,--,--,--,--,--
1,5.M101,1,29.15,0.1,--,--,--,--,--,--
2,3.M33,1,24.58,0.1,--,--,--,--,--,--
3,4.M81,1,27.8,0.1,--,--,--,--,--,--
4,6.MRK116,1,31.35,0.22,--,--,--,--,--,--
5,8.NGC2366,1,27.63,0.14,--,--,--,--,--,--
6,9.NGC2403,1,27.49,0.23,--,--,--,--,--,--
7,7.NGC0925,1,29.8,0.1,--,--,--,--,--,--
8,15.NGC4258,1,29.37,0.06,--,--,--,--,--,--
9,16.NGC4395,1,28.22,0.12,--,--,--,--,--,--
10,10.NGC2541,1,30.35,0.12,--,--,--,--,--,--
11,12.NGC3319,1,30.65,0.14,--,--,--,--,--,--
12,11.NGC3198,1,30.75,0.13,--,--,--,--,--,--
