Nested Sampling Global Log-Evidence           :   -0.435092029523897509E+03  +/-    0.331386921963774284E+00
Nested Importance Sampling Global Log-Evidence:   -0.435306272162727964E+03  +/-    0.400798019312201340E-01

Dim No.       Mean        Sigma
   1    0.332805602465640220E+02    0.113236778595338039E+00
   2    0.503788106624146081E+01    0.930168907476768836E-01
   3    0.675715517487414874E+00    0.380676473821071476E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.332967447881558840E+02
   2    0.502658594738429532E+01
   3    0.676819637329238333E+00

MAP Parameters
Dim No.        Parameter
   1    0.332967447881558840E+02
   2    0.502658594738429532E+01
   3    0.676819637329238333E+00
