Nested Sampling Global Log-Evidence           :   -0.265778998739090014E+03  +/-    0.312844568680569479E+00
Nested Importance Sampling Global Log-Evidence:   -0.266491165250141194E+03  +/-    0.361152632015261377E-01

Dim No.       Mean        Sigma
   1    0.333051682163745753E+02    0.154932377570728974E+00
   2    0.501671314979069027E+01    0.127699819559952465E+00
   3    0.684412638521208261E+00    0.416026645917588686E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.332982584877665033E+02
   2    0.502017969841117928E+01
   3    0.680425251534297337E+00

MAP Parameters
Dim No.        Parameter
   1    0.332982584877665033E+02
   2    0.502017969841117928E+01
   3    0.680425251534297337E+00
