Nested Sampling Global Log-Evidence           :   -0.280710456897169365E+03  +/-    0.319963917380481910E+00
Nested Importance Sampling Global Log-Evidence:   -0.281051962903434628E+03  +/-    0.381387267788055040E-01

Dim No.       Mean        Sigma
   1    0.333350292028172817E+02    0.148336691393113423E+00
   2    0.498951164548735626E+01    0.121825684996032801E+00
   3    0.698479914896179221E+00    0.426775557279633136E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.333524710751500422E+02
   2    0.497393539129492002E+01
   3    0.698425517988856659E+00

MAP Parameters
Dim No.        Parameter
   1    0.333524710751500422E+02
   2    0.497393539129492002E+01
   3    0.698425517988856659E+00
