,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,1.IC0010,1,24.1,0.19000000000000003,--,--,--,--,--,--
1,10.NGC2541,8,30.35372390796708,0.023675637603453696,0.029833175226838198,0.0323148361739719,0.030596890028821377,0.030819345420695754,0.023491174143550012,0.03577656694933142
2,11.NGC3198,8,30.803579803418355,0.02336609052045456,0.05497427372803018,0.05762869833156659,0.05814735803625126,0.05518065631739333,0.02331437613086454,0.15429569297287365
3,12.NGC3319,8,30.694377355856442,0.02932056076263848,0.06003876806173799,0.06568585321225237,0.06499888825253564,0.0628562617347157,0.029618743269915877,0.10986465919613125
4,15.NGC4258,28,29.33293839084305,0.011509886875422894,0.03196360738653343,0.03170964895829267,0.03168382368112432,0.03190369687975547,0.01137898799533907,0.05629898951360035
5,16.NGC4395,1,28.02,0.18,--,--,--,--,--,--
6,17.NGC6822,9,23.30618882166671,0.018623684867838372,0.02545225372910225,0.021610606472937756,0.023069282294258642,0.02179412489367749,0.018744632892456342,0.022844085935593623
7,21.M96,8,30.086551391383754,0.029587518201679205,0.049033257489407865,0.05020594644331696,0.0475266312589504,0.04870069138024746,0.029484333983735914,0.08294304415546429
8,22.NGC3370,1,32.22,0.05,--,--,--,--,--,--
9,23.M66,14,29.94845394783082,0.023390551917319244,0.05392111965001711,0.055689096858873396,0.0545794355399849,0.055014251754389676,0.023425465489047906,0.09901796506336108
10,24.NGC4414,10,31.1882482655722,0.01915098793232014,0.042141690306022175,0.040306025976938865,0.04019480576954493,0.039774650378063825,0.019237151280932504,0.10149589231431863
11,25.NGC4496,14,30.878403815442645,0.012534579005962793,0.026783616555105742,0.02717839169330034,0.02675830847134364,0.026898705231552356,0.012499961465697231,0.04763666862175171
12,26.NGC4535,8,30.919026233007493,0.0206506017132155,0.02942862424921394,0.03050507768615997,0.028846271182104033,0.029326664692170823,0.020600999348659662,0.05233834283204091
13,27.NGC4536,14,30.85064947557903,0.018048389535949585,0.027138361971621082,0.027671527429551226,0.027030477815902287,0.027115071406431213,0.01804500130690653,0.035706513909861494
14,28.NGC4725,8,30.435657494553087,0.02518680937085673,0.022226104503709716,0.023004412421044815,0.02217765810040717,0.0220475600841894,0.025200504900218773,0.023245976852634898
15,3.M33,11,24.581443981150475,0.011719359338580797,0.09488196028080675,0.10137091394871464,0.10656194031702881,0.11093880849276516,0.011658631336047115,0.26016415286974914
16,32.NGC5584,2,31.706594853545027,0.029549941023775714,0.06108384705901398,0.08175035942018122,0.07632751272105054,0.09467248727894884,0.029492170806957912,0.2360746144472509
17,33.NGC7331,8,30.826261422261478,0.03334999418999875,0.015840643311754443,0.016597239436805238,0.015641271942754997,0.015795787362392844,0.03353426252599669,0.009146481806834337
18,4.M81,13,27.75791148130473,0.021971067776569108,0.013384909189882542,0.013372018565076214,0.013129822895905363,0.013139774023084527,0.02193756817590519,0.008749996778159947
19,5.M101,8,29.1786846986889,0.026474259690370035,0.043873367031418156,0.04857095833744211,0.04647670018126249,0.05012341842916612,0.026347856824042584,0.055991656267073045
20,6.MRK116,7,31.365101292843043,0.09154519526324896,0.024615011872598905,0.022928776855360915,0.02237560074767586,0.022558653425722497,0.0916162299576581,0.008596012712138676
21,7.NGC0925,8,29.77596891242203,0.01997628728715857,0.014861580128945232,0.015429386535864594,0.014865223511627335,0.014654146727487216,0.02012933475920562,0.012880510963674588
22,8.NGC2366,1,27.68,0.2,--,--,--,--,--,--
23,9.NGC2403,1,27.48,0.1,--,--,--,--,--,--
