,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,15.NGC4258,3,29.32346277208607,0.03835474515470072,0.10334069800394098,0.05503887072528373,0.07697307983648827,0.10889342073446429,0.038292167447138675,0.13838505282205996
1,17.NGC6822,4,23.332380423778748,0.03233362811244525,0.0202034933644783,0.009188932078608207,0.009341004231810501,0.01312875014217596,0.03197088495593596,0.00695059957095802
2,21.M96,2,30.28219336219336,0.13157498589008818,0.05652886892190173,0.0799398645286101,0.08111742222222418,0.07888257777777952,0.1321833520973757,0.048829637166189835
3,23.M66,2,30.11670520231214,0.1419924283579327,0.032370733520192436,0.041955294196002774,0.05081767023121486,0.03918232976878855,0.1416745467533265,0.013266635424209217
4,24.NGC4414,1,31.41,0.188679622641132,--,--,--,--,--,--
5,25.NGC4496,2,31.005,0.1234908903522847,0.010617912715535747,0.01499999999999949,0.015010875000001533,0.014989124999999603,0.12248011860790808,0.0018070837571951342
6,27.NGC4536,2,30.86780141843972,0.13154833537147892,0.06745437998681511,0.09327498616770691,0.10144796666666167,0.08855203333333606,0.13104143847611488,0.06710065158755117
7,3.M33,1,24.519999999999996,0.191049731745428,--,--,--,--,--,--
8,4.M81,1,27.780000000000005,0.148660687473185,--,--,--,--,--,--
9,5.M101,1,29.04,0.186815416922694,--,--,--,--,--,--
