,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,1.IC0010,15,24.312941424122357,0.01178526890731163,0.024687438260061003,0.025091729873687792,0.024856075462110994,0.02487360745348255,0.011788351286941612,0.04768094111269942
1,13.NGC4214,14,27.354071930725976,0.016296778143581155,0.019423727846564966,0.01923163060116495,0.02124840073149059,0.019881321141500763,0.016332679511569675,0.010983441940542927
2,14.NGC4236,3,28.232726238830217,0.08922902923832565,0.04898903556817265,0.016610852795128903,0.025485392869320833,0.012216256250315638,0.08946780824279578,0.012184048287461904
3,15.NGC4258,7,29.367231945651653,0.015232066290325981,0.022497421921590707,0.016803877422779584,0.018351425718488912,0.017934103586323857,0.015287569711675992,0.021181743463374956
4,16.NGC4395,5,28.42039630877022,0.019366972126619142,0.02649617267592667,0.0029978369359587335,0.005794019297496789,0.003813452316101973,0.019247987726568983,0.00566494595236613
5,17.NGC6822,12,23.43252005354903,0.02099735909200462,0.040805557413732915,0.04176601700204358,0.041491615468515874,0.04137359369690685,0.021353616425441015,0.05023427362292711
6,18.NGC1073,1,30.26,0.13,--,--,--,--,--,--
7,19.NGC2500,1,30.180000000000003,0.46,--,--,--,--,--,--
8,2.IC2574,6,27.919057095842778,0.014710089197809768,0.014796400465868536,0.015597545007427705,0.015078186820982609,0.014929696643889656,0.014516599230580574,0.012286898244452978
9,21.M96,5,30.166085326780653,0.024153383524138497,0.04911109184296937,0.018162959240285857,0.014881531415980476,0.028579840406806056,0.024084445628319788,0.030462134560983248
10,22.NGC3370,4,32.233757490677235,0.023279506480343902,0.013842467626844601,0.012237783950225876,0.01190531139003781,0.01143483663680911,0.02331612688416741,0.008712807839295912
11,23.M66,5,30.129261724694405,0.022144828196082853,0.047808069879841826,0.026485084772087452,0.021808170367904722,0.03320119820534373,0.02205190575714215,0.06460758073204084
12,29.UGC08091,5,26.593925486832916,0.019983029396045213,0.026106011948974585,0.012505258578150623,0.011847393376751114,0.018425625677377155,0.020066353765632924,0.02198979809470185
13,3.M33,17,24.645103674171022,0.007021506236227162,0.03709696584995279,0.017719632963375365,0.030628410049811094,0.04792509536253675,0.007022571824524496,0.03096889571599782
14,30.NGC5204,3,28.391860036705587,0.04759648229800061,0.036683294674010415,0.011634175466609518,0.05089713451824096,0.025852630450202696,0.04737512668235786,0.0070385958952630555
15,31.UGC09128,11,26.76446861310839,0.02007778002740628,0.012226099554105503,0.012411046380181078,0.012478080350465603,0.012377502006717833,0.020033308490772027,0.0076748285794214855
16,32.NGC5584,6,31.78459235395976,0.02415138012625381,0.02328782947410983,0.021263079687401355,0.021009428262416918,0.022658682839090005,0.024151676824463935,0.02501988845863883
17,4.M81,17,27.790575314497712,0.010786490587519975,0.016273024028190506,0.015282002246571147,0.01527268141110838,0.015573316700667306,0.010817246269329953,0.019719539986155613
18,5.M101,26,29.26754358880055,0.006394514299852029,0.014948438539547337,0.015260269947149309,0.014995028194853433,0.015091592077066451,0.006472110104906382,0.024674592174851833
19,6.MRK116,2,31.042123076923076,0.1266910232992669,0.20556467032925682,0.28644175147929163,0.3064906938461611,0.2735093061538407,0.12584957475922853,0.6513199530747132
20,8.NGC2366,6,27.55933235808404,0.0203530370047132,0.019479408070968936,0.012306053253483386,0.01505664333932799,0.012226627532090362,0.02032623149285919,0.008445354366681817
21,9.NGC2403,11,27.463369712975886,0.018276031317292468,0.018795315275897666,0.018563186864887567,0.018489965591623303,0.019566150080546407,0.018337221154263783,0.00937677161733199
