RefCode,Citation,Band,mu_0,e_R,Rank,Year,Date,Comments,Author,ADS_date,JD
2004ApJ...608...42S,Sakai et al.2004,I(VIR),28.03,0.12,1,2004,2024,There are no specific comments on the publication.,Valencia et al.2024,2004-06-00,2453157.5
2005A&A...431..127T,"Tikhonov, N. A. et al.2005",I(VI),27.93,0.04,1,2005,2024,There are no specific comments on the publication.,Valencia et al.2024,2005-02-00,2453402.5
2007ApJ...661..815R,Rizzi et al.2007,I(BVI),27.69,0.04,1,2007,2024,M-TRGB_I is presented for each galaxy appearing in the publication.,Valencia et al.2024,2007-06-00,2454252.5
2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),27.68,0.09,1,2009,2024,"mu_0 value does not appear in the publication, only online.",Valencia et al.2024,2009-08-00,2455044.5
2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.72,0.06,1,2009,2024,"NED value, Halo-I with 227 stars.",Valencia et al.2024,2009-07-00,2455013.5
2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.77,0.04,1,2009,2024,"NED value, field 29 with 330 stars.",Valencia et al.2024,2009-07-00,2455013.5
2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.77,0.02,1,2009,2024,"NED value, deep field with 198 stars.",Valencia et al.2024,2009-07-00,2455013.5
2009ApJS..183...67D,Dalcanton et al.2009,F814W(F435W F814W),27.78,0.04,1,2009,2024,"NED value, field 29 with 551 stars.",Valencia et al.2024,2009-07-00,2455013.5
2010ApJ...718.1118D,Dalcanton et al.2010,F814W(F606W F814W),27.86,0.06,1,2010,2024,There are no specific comments on the publication.,Valencia et al.2024,2010-08-00,2455409.5
2012ApJ...751L..19J,Jang et al. 2012,F814W(F606W F814W),27.8,0.03,1,2012,2026,"As in NED: GClstr MESSIER 081 GROUP BCG 1 of 1, GC-1",Quintero-Salazar et al.2024,2012-05-00,2456048.5
2012ApJ...751L..19J,Jang et al. 2012,F814W(F606W F814W),27.81,0.03,1,2012,2026,"As in NED: GClstr MESSIER 081 GROUP BCG 1 of 1, Field 1",Quintero-Salazar et al.2024,2012-05-00,2456048.5
2012ApJ...751L..19J,Jang et al. 2012,F814W(F606W F814W),27.81,0.03,1,2012,2026,"As in NED: GClstr MESSIER 081 GROUP BCG 1 of 1, Field 2",Quintero-Salazar et al.2024,2012-05-00,2456048.5
2012ApJ...751L..19J,Jang et al. 2012,F814W(F606W F814W),28.04,0.08,1,2012,2026,"As in NED: GClstr MESSIER 081 GROUP BCG 1 of 1, GC-2",Quintero-Salazar et al.2024,2012-05-00,2456048.5
