RefCode,Citation,Band,mu_0,e_R,e_S,e_T,Category,Ncef,Zcorr,zeroP,Rank,Year,Date,Comments,Author,ADS_date,JD
2000ApJ...529..745F,Ferrarese et al.2000,W(VI),29.34,0.1,,,1,61,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
2001ApJ...548..564W,Willick & Batra 2001,W(VI),29.2,0.08,,,1,33,False,LMC,1,2001,2024,No metallicity correction applied.,Valencia et al.2024,2001-02-00,2451941.5
2001ApJ...549..721M,Macri et al.2001,J,29.19,0.08,,,1,8,True,LMC,1,2001,2024,Internal region of the galaxy.,Valencia et al.2024,2001-03-00,2451969.5
2001ApJ...549..721M,Macri et al.2001,J,29.53,0.1,,,1,8,True,LMC,1,2001,2024,External region of the galaxy.,Valencia et al.2024,2001-03-00,2451969.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),29.13,0.11,,,1,25,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),29.13,0.11,,,1,25,True,LMC,1,2001,2024,"Metallicity correction applied, systematic errors only analyzed in H0.",Valencia et al.2024,2001-05-00,2452030.5
2002A&A...383..398P,Paturel et al. 2002,W(VI),29.3,0.07,,,3,-1,False,GC,1,2002,2026,"Preferred near-solar-metallicity solution, with modest Vlim sensitivity (+0.10/-0.01 mag). Table 6 lists 102 sosie matches rather than a verified number of distinct Cepheids.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),29.23,0.07,,,1,102,False,GC,1,2002,2024,Use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
2004ApJ...608...42S,Sakai et al.2004,BVRI,29.14,0.09,,,1,-1,False,LMC,1,2004,2024,"They calculate gamma from TRGB, outer and inner regions of the galaxy, respectively.",Valencia et al.2024,2004-06-00,2453157.5
2004ApJ...608...42S,Sakai et al.2004,BVRI,29.24,0.08,,,1,-1,False,LMC,1,2004,2024,"They calculate gamma from TRGB, outer and inner regions of the galaxy, respectively.",Valencia et al.2024,2004-06-00,2453157.5
2006ApJS..165..108S,Saha et al.2006,W(VI),29.16,0.04,0.08,0.0894427190999915,2,65,True,GC+LMC,1,2006,2024,"They delve into the HST CTE correction, inner region of the galaxy.",Valencia et al.2024,2006-07-00,2453917.5
2011ApJ...733..124S,Shappee & Stanek 2011,W(VI),29.04,0.05,0.18,0.186815416922694,2,827,False,LMC,1,2011,2024,External region of the galaxy.,Valencia et al.2024,2011-06-00,2455713.5
2013ApJ...777...79M,Mager et al.2013,W(VI),28.96,0.11,,,3,619,True,LMC,1,2015,2024,They use the [O/H] function with respect to its galactic radius.,Valencia et al.2024,2013-11-00,2456597.5
2015MNRAS.449.1171N,Nataf et al. 2015,W(VI),29.1,0.011,,,5,228,True,LMC,1,2015,2026,Alternative relative solution using CCM89 and a fixed literature metallicity coefficient gamma=-0.23 mag dex^-1. The LMC absolute modulus is not added; the author regards the fixed-gamma analysis mainly as a comparison.,Quintero-Salazar et al.2026,2015-05-00,2457143.5
