RefCode,Citation,Band,mu_0,e_R,Rank,Year,Date,Comments,Author,ADS_date,JD
2003AJ....125.3046D,Davidge 2003,I(VI),27.51,0.24,2,2003,2024,Data from Freedman and Madore 1988.,Valencia et al.2024,2003-06-00,2452791.5
2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.54,0.048,1,2009,2024,There are no specific comments on the publication.,Valencia et al.2024,2009-07-00,2455013.5
2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),27.5,0.05,1,2009,2024,The values for mu_0 and sigma_ran do not appear in the publication because the table has been truncated.,Valencia et al.2024,2009-08-00,2455044.5
2011ApJS..195...18R,Radburn-Smith et al.2011,F814W(F606W F814W),27.45,0.04,1,2011,2024,Field 5 with 117 stars in TRGB.,Valencia et al.2024,2011-08-00,2455774.5
2016ApJ...828L...5C,Carlin et al.2016,i(gi),27.39,0.16,2,2016,2024,There are no specific comments on the publication.,Valencia et al.2024,2016-09-00,2457632.5
2024ApJ...966..175N,Newman et al. 2024,F814W(F606W F814W),27.43,0.03,1,2024,2026,Direct F814W measurement for NGC2403-2. It has smaller statistical uncertainty and agrees with field NGC2403-1 within errors. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
2024ApJ...966..175N,Newman et al. 2024,F110W(F110W F160W),27.43,0.14,1,2024,2026,NGC2403-2 NIR result with asymmetric uncertainty. It matches the corresponding F814W modulus but shares its calibration scale and covariance. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
2024ApJ...966..175N,Newman et al. 2024,F160W(F110W F160W),27.43,0.1,1,2024,2026,"NGC2403-2 F160W result. It reproduces the F814W modulus, but it is tied to the same optical anchor and should not be treated as independent. The error range is used considering they report asymmetric errors.",Quintero-Salazar et al.2026,2024-05-00,2460431.5
2024ApJ...966..175N,Newman et al. 2024,F814W(F606W F814W),27.45,0.11,1,2024,2026,Direct F814W measurement for NGC2403-1. The ML fit incorporates photometric errors and completeness from artificial-star tests. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
2024ApJ...966..175N,Newman et al. 2024,F160W(F110W F160W),27.5,0.14,1,2024,2026,NGC2403-1 F160W result. It agrees with the optical measurement within errors and validates the color-corrected NIR relation internally. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
2024ApJ...966..175N,Newman et al. 2024,F110W(F110W F160W),27.51,0.11,1,2024,2026,NGC2403-1 NIR result. The slightly larger modulus remains consistent with F814W within errors; it is an internal F814W-anchored calibration test. The error range is used considering they report asymmetric errors.,Quintero-Salazar et al.2026,2024-05-00,2460431.5
