# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          NGC3319
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
NGC3319,J103909.5+414113,30.56,0.094,,,12.9419552315211,0.572541131174189,,,30.5448619002646,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Fouque+2003           ,31671,51510,2003A&A...411..361K,2003LNP...635...21F,
NGC3319,J103909.5+414113,30.64,0.09,,,13.4276458371719,0.568224438113059,,,30.705138779509,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001         ,31671,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC3319,J103909.5+414113,30.62,0.09,,,13.304549321739,0.563015300996712,,,30.6254218771128,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001:Z       ,31671,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC3319,J103909.5+414113,30.569,0.096,,,12.9957111177367,0.587429075001833,,,30.5334586683151,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Gieren+1998           ,31671,51510,2003A&A...411..361K,1998ApJ...496...17G,
NGC3319,J103909.5+414113,30.501,0.092,,,12.5950498326937,0.545081348882295,,,30.5555539733484,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003           ,31671,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC3319,J103909.5+414113,30.479,0.092,,,12.4680925772308,0.539586965535053,,,30.5465338005918,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:PLmax     ,31671,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC3319,J103909.5+414113,30.477,0.092,,,12.456609687146,0.539090015598426,,,30.4618218511518,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:Z         ,31671,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC3319,J103909.5+414113,30.7,0.08,,,13.8038474959629,0.518036025522385,,,30.7284288658355,Cepheids  ,    51470,Paturel+2002           ,Cepheids:Lanoix+1999           ,31671,51470,2002A&A...389...19P,1999MNRAS.308..969L,
NGC3319,J103909.5+414113,30.593,0.094,,,13.1401427234322,0.58130877785303,,,30.5554361061485,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Madore+1991           ,31671,51510,2003A&A...411..361K,1991PASP..103..933M,
NGC3319,J103909.5+414113,30.74,0.08,,,14.0604737592692,0.527666793286743,,,30.6389078990214,Cepheids  ,    51333,Saha+2006              ,Cepheids:Saha+2006             ,31671,51333,2006ApJS..165..108S,2006ApJS..165..108S,
NGC3319,J103909.5+414113,30.95,,,,15.4881716308404,,,,30.8166832213706,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:Galaxy   ,31671,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC3319,J103909.5+414113,30.78,,,,14.3218835214853,,,,30.8142195991848,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:LMC      ,31671,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC3319,J103909.5+414113,30.528,0.093,,,12.752636347702,0.558037989232478,,,30.5538476165697,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Tammann+2002:LMC=18.50,31671,51510,2003A&A...411..361K,2002Ap&SS.280..165T,
NGC3319,J103909.5+414113,30.639,0.096,,,13.4214669965879,0.606673992022863,,,30.5316423545481,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Tammann+2003          ,31671,51510,2003A&A...411..361K,2003A&A...404..423T,
NGC3319,J103909.5+414113,30.511,0.092,,,12.6531872749636,0.547597387792315,,,30.556574120733,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Udalski+1999:LMC=18.50,31671,51510,2003A&A...411..361K,1999AcA....49..201U,
NGC3319,J103909.5+414113,30.7,0.08,,,13.8038474959629,0.518036025522385,,,30.7642929014644,Cepheids  ,    51338,Willick+2001           ,Cepheids:Willick+2001          ,31671,51338,2001ApJ...548..564W,2001ApJ...548..564W,Willick+2001
NGC3319,J103909.5+414113,30.78,0.21,,,14.3218835214853,1.45422751264318,,,30.7478173363317,Sosie     ,    51162,Terry+2002             ,Sosie:Terry+2002               ,31671,51162,2002A&A...393...57T,2002A&A...393...57T,Paturel+2002
NGC3319,J103909.5+414113,30.57,0.45,,,13.0016939530924,2.99388970505034,,,30.5196023152449,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:MC[3.6]          ,31671,51984,2014MNRAS.444..527S,2014MNRAS.444..527S,
NGC3319,J103909.5+414113,30.59,0.54,,,13.121999912266,3.70474897526611,,,30.5437659391965,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           ,31671,51984,2014MNRAS.444..527S,2014MNRAS.444..527S,
NGC3319,J103909.5+414113,30.92,0.35,,,15.2756611190859,2.67167893268117,,,30.9421786014413,TF        ,    51600,Tully+2008             ,TF:Tully+2008                  ,31671,51600,2008ApJ...676..184T,2008ApJ...676..184T,Freedman+2001
NGC3319,J103909.5+414113,30.62,,,c,13.304549321739,,,c,30.6254218771128,Cepheids  ,    51600,Tully+2008             ,Cepheids:Freedman+2001:Z       ,31671,51600,2008ApJ...676..184T,2001ApJ...553...47F,Freedman+2001
NGC3319,J103909.5+414113,30.78,0.1,,c,14.3218835214853,0.674972210268649,,c,30.7800006866455,Cepheids  ,    51384,Ferrarese+2000         ,                               ,31671,51384,2000ApJS..128..431F,,Ferrarese+2000
NGC3319,J103909.5+414113,30.74,,,c,14.0604737592692,,,c,30.7399997711182,Cepheids  ,    52014,Tammann+2008           ,                               ,31671,52014,2008A&ARv..15..289T,,
#-- end of data table ----------------------------------------------------------
# 23 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-02-03T22:40:15
