# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          M66
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
NGC3627,J112015.0+125930,30.206,0.083,,,10.9951175010534,0.428401581412954,,,30.1908618087119,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Fouque+2003           ,34695,51510,2003A&A...411..361K,2003LNP...635...21F,
NGC3627,J112015.0+125930,29.86,0.08,,,9.37562270453298,0.351851925636996,,,29.9251400002121,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001         ,34695,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC3627,J112015.0+125930,30.01,0.08,,,10.046158961689,0.377016064673406,,,30.0154212667612,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001:Z       ,34695,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC3627,J112015.0+125930,30.237,0.083,,,11.153210587667,0.434561345354473,,,30.2014579358933,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Gieren+1998           ,34695,51510,2003A&A...411..361K,1998ApJ...496...17G,
NGC3627,J112015.0+125930,30.127,0.084,,,10.6023017819329,0.418167503459729,,,30.1815553313807,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003           ,34695,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC3627,J112015.0+125930,30.116,0.087,,,10.5487219328509,0.431214428638716,,,30.1835329308408,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:PLmax     ,34695,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC3627,J112015.0+125930,30.277,0.084,,,11.3605690435474,0.448074474065383,,,30.261822995561,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:Z         ,34695,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC3627,J112015.0+125930,29.77,0.07,,,8.99497771151308,0.294686809064689,,,29.7984285606597,Cepheids  ,    51470,Paturel+2002           ,Cepheids:Lanoix+1999           ,34695,51470,2002A&A...389...19P,1999MNRAS.308..969L,
NGC3627,J112015.0+125930,30.238,0.083,,,11.1583549921989,0.434761786235319,,,30.2004365639122,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Madore+1991           ,34695,51510,2003A&A...411..361K,1991PASP..103..933M,
