No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,29.12,0.23,6.67,Cepheids,2008ApJ...684..102B,"GClstr LGG 290 BCG 1 of 1, inner",,,,
2,29.15,0.21,6.76,Cepheids,2010ApJ...715..277B,"GClstr LGG 290 BCG 1 of 1, BV(W), inner",,,,
3,29.18,0.21,6.85,Cepheids,2010ApJ...715..277B,"GClstr LGG 290 BCG 1 of 1, VI(W), inner",,,,
4,29.18,0.23,6.85,Cepheids,2015AJ....149..183H,"GClstr LGG 290 BCG 1 of 1, 40, gri",,,,18.49
5,29.21,0.02,6.95,Cepheids,2007AJ....133.1810B,"GClstr LGG 290 BCG 1 of 1, W",,,,
6,29.22,0.03,6.98,Cepheids,2007MNRAS.379..723V,"GClstr LGG 290 BCG 1 of 1, GAL+LMC PL",,,,
7,29.22,0.03,6.98,Cepheids,2007MNRAS.379..723V,"GClstr LGG 290 BCG 1 of 1, VI, inner",,,,
8,29.24,0.08,7.05,Cepheids,2014MNRAS.440.1138E,"GClstr LGG 290 BCG 1 of 1, GAL PL",,,,
9,29.26,0.03,7.11,Cepheids,2008ApJ...689..721M,"GClstr LGG 290 BCG 1 of 1, 281, VI(W), outer",,,,
10,29.28,0.08,7.18,Cepheids,2007AJ....133.1810B,"GClstr LGG 290 BCG 1 of 1, W, Z",,,,
11,29.28,0.1,7.18,Cepheids,2007ApJ...671.1640A,GClstr LGG 290 BCG 1 of 1,,,,
12,29.28,0.02,7.18,Cepheids,2008ApJ...689..721M,"GClstr LGG 290 BCG 1 of 1, 113, VI",,,,
13,29.28,0.03,7.18,Cepheids,2008MNRAS.390.1762D,"GClstr LGG 290 BCG 1 of 1, Surface Brightness",,,,
14,29.28,0.05,7.18,Cepheids,2013MNRAS.430..546D,"GClstr LGG 290 BCG 1 of 1, VI(W), Z, Baade-Wesselink",,,,
15,29.29,0.04,7.21,Cepheids,2006ApJ...652.1133M,"GClstr LGG 290 BCG 1 of 1, 281, W+Z, LMC ZP",,,,18.41
16,29.29,0.08,7.21,Cepheids,2014MNRAS.440.1138E,"GClstr LGG 290 BCG 1 of 1, LMC PL",,,,
17,29.31,0.06,7.28,Cepheids,2003ApJ...586..959N,"GClstr LGG 290 BCG 1 of 1, 15, VI, HST cte correction of -0.07 mag",,,,
18,29.32,0.16,7.3,Cepheids,2002ApJ...566..833C,"GClstr LGG 290 BCG 1 of 1, HSTKP",,,,
19,29.35,0.0,7.4,Cepheids,2013MNRAS.434.2866F,"GClstr LGG 290 BCG 1 of 1, V, I, NIR (W), 117, Syst. +/- 0.34 mag",,,,
20,29.35,0.12,7.41,Cepheids,2008ApJ...684..102B,"GClstr LGG 290 BCG 1 of 1, outer",,,,
21,29.37,0.06,7.48,Cepheids,2003A&A...411..361K,"GClstr LGG 290 BCG 1 of 1, cte LMC K03",,,,
22,29.38,0.06,7.51,Cepheids,2003A&A...411..361K,"GClstr LGG 290 BCG 1 of 1, cte MW GFG98",,,,
23,29.38,0.06,7.53,Cepheids,2003A&A...411..361K,"GClstr LGG 290 BCG 1 of 1, cte U99",,,,
24,29.38,0.06,7.53,Cepheids,2003ApJ...586..959N,"GClstr LGG 290 BCG 1 of 1, 15, VI",,,,
25,29.39,0.06,7.56,Cepheids,2003A&A...411..361K,"GClstr LGG 290 BCG 1 of 1, cte LMC STS02",,,,
26,29.4,0.06,7.59,Cepheids,2001ApJ...553..562N,"GClstr LGG 290 BCG 1 of 1, 29, VI, DaPHOT",,,,
27,29.4,0.06,7.59,Cepheids,2003A&A...411..361K,"GClstr LGG 290 BCG 1 of 1, cte MW FSG03",,,,
28,29.4,0.13,7.59,Cepheids,2010ApJ...715..277B,"GClstr LGG 290 BCG 1 of 1, VI(W), outer",,,,
29,29.4,0.08,7.59,Cepheids,2015MNRAS.450.3597F,"GClstr LGG 290 BCG 1 of 1, 43, BVI(W), Z",,,,18.57
30,29.4,0.08,7.59,Cepheids,2015MNRAS.450.3597F,"GClstr LGG 290 BCG 1 of 1, 81, BVIH, Z, syst. +/- 0.09 mag",,,,18.57
31,29.44,0.06,7.71,Cepheids,2003A&A...411..361K,"GClstr LGG 290 BCG 1 of 1, cte MF91",,,,
32,29.44,0.07,7.73,Cepheids,2001ApJ...553...47F,"GClstr LGG 290 BCG 1 of 1, 15, VI, KEY PROJECT",,,,
33,29.44,0.06,7.73,Cepheids,2003A&A...411..361K,"GClstr LGG 290 BCG 1 of 1, cte MW STS03",,,,
34,29.45,0.07,7.76,Cepheids,2002A&A...389...19P,"GClstr LGG 290 BCG 1 of 1, MW HIPP",,,,
35,29.45,0.08,7.76,Cepheids,2008ApJ...689..721M,"GClstr LGG 290 BCG 1 of 1, 281, VI(W), inner",,,,
36,29.46,0.12,7.8,Cepheids,2008ApJ...684..102B,"GClstr LGG 290 BCG 1 of 1, outer, Z = -0.29 mag dex-1",,,,
37,29.47,0.09,7.8,Cepheids,2002ApJ...566..833C,"GClstr LGG 290 BCG 1 of 1, HSTKP",,,,
38,29.47,0.09,7.83,Cepheids,2001ApJ...553..562N,"GClstr LGG 290 BCG 1 of 1, 29, VI, adopt",,,,
39,29.48,0.16,7.87,Cepheids,2002A&A...389...19P,"GClstr LGG 290 BCG 1 of 1, MW P02",,,,
40,29.49,0.12,7.9,Cepheids,2001ApJ...548..564W,"GClstr LGG 290 BCG 1 of 1, LMC W01",,,,
41,29.49,,7.91,Cepheids,2004MNRAS.349.1130N,"GClstr LGG 290 BCG 1 of 1, 15, VI, GAL PL",,,,
42,29.49,0.21,7.91,Cepheids,2010ApJ...715..277B,"GClstr LGG 290 BCG 1 of 1, BV(W), outer",,,,
43,29.49,0.17,7.91,Cepheids,2011ApJ...743..176G,"GClstr LGG 290 BCG 1 of 1, Z = -0.62 mag dex-1",,,,18.41
44,29.51,0.07,7.98,Cepheids,2001ApJ...553...47F,"GClstr LGG 290 BCG 1 of 1, 15, VI, +Z, KEY PROJECT",,,,
45,29.51,0.06,7.98,Cepheids,2001ApJ...553..562N,"GClstr LGG 290 BCG 1 of 1, 29, VI, Feast99",,,,
