No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
5,27.6,0.03,3.31,Cepheids,2011ApJ...743..176G,"GClstr MESSIER 081 GROUP BCG 1 of 1, 107, VI, Z = -0.56 mag dex-1",,,,18.41
6,27.66,0.09,3.4,Cepheids,2001ApJ...548..564W,"GClstr MESSIER 081 GROUP BCG 1 of 1, LMC W01",,,,
7,27.66,0.08,3.4,Cepheids,2002A&A...389...19P,"GClstr MESSIER 081 GROUP BCG 1 of 1, MW HIPP",,,,
8,27.7,0.16,3.47,Cepheids,2002A&A...389...19P,"GClstr MESSIER 081 GROUP BCG 1 of 1, MW P02",,,,
10,27.75,0.08,3.55,Cepheids,2001ApJ...553...47F,"GClstr MESSIER 081 GROUP BCG 1 of 1, 17, VI, KEY PROJECT",,,,
11,27.75,0.1,3.55,Cepheids,2002A&A...383..398P,"GClstr MESSIER 081 GROUP BCG 1 of 1, 92, VI",,,,
12,27.75,0.1,3.55,Cepheids,2002A&A...389...19P,"GClstr MESSIER 081 GROUP BCG 1 of 1, MW GFG",,,,
13,27.75,0.08,3.55,Cepheids,2004ApJ...608...42S,"GClstr MESSIER 081 GROUP BCG 1 of 1, LMC VIHJK",,,,
14,27.78,0.05,3.6,Cepheids,2009AJ....137.4707M,"GClstr MESSIER 081 GROUP BCG 1 of 1, 13, VI, LMC ZP",,,,18.41
16,27.79,0.09,3.62,Cepheids,2003A&A...411..361K,"GClstr MESSIER 081 GROUP BCG 1 of 1, cte LMC K03",,,,
18,27.8,0.08,3.63,Cepheids,2000ApJ...529..745F,"GClstr MESSIER 081 GROUP BCG 1 of 1, HST KP Calibrated",,,,
19,27.8,0.08,3.63,Cepheids,2001ApJ...553...47F,"GClstr MESSIER 081 GROUP BCG 1 of 1, 17, VI, +Z, KEY PROJECT",,,,
20,27.8,0.09,3.63,Cepheids,2003A&A...411..361K,"GClstr MESSIER 081 GROUP BCG 1 of 1, cte U99",,,,
21,27.8,0.09,3.63,Cepheids,2006ApJS..165..108S,"GClstr MESSIER 081 GROUP BCG 1 of 1, LMC ZP",,,,18.54
22,27.8,0.14,3.63,Cepheids,2011ApJ...743..176G,"GClstr MESSIER 081 GROUP BCG 1 of 1, 107, VI, Z = -0.56 mag dex-1",,,,18.41
23,27.82,0.09,3.66,Cepheids,2003A&A...411..361K,"GClstr MESSIER 081 GROUP BCG 1 of 1, cte LMC STS02",,,,
24,27.85,0.1,3.72,Cepheids,2003A&A...411..361K,"GClstr MESSIER 081 GROUP BCG 1 of 1, cte MW FSG03",,,,
25,27.87,0.1,3.74,Cepheids,2003A&A...411..361K,"GClstr MESSIER 081 GROUP BCG 1 of 1, cte MW GFG98",,,,
26,27.89,0.09,3.78,Cepheids,2003A&A...411..361K,"GClstr MESSIER 081 GROUP BCG 1 of 1, cte MF91",,,,
27,27.91,0.08,3.82,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 081 GROUP BCG 1 of 1, 6, H",,,,
28,27.94,0.1,3.87,Cepheids,2003A&A...411..361K,"GClstr MESSIER 081 GROUP BCG 1 of 1, cte MW STS03",,,,
29,28.02,0.13,4.02,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 081 GROUP BCG 1 of 1, 6, I",,,,
31,28.15,0.17,4.27,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 081 GROUP BCG 1 of 1, 6, V",,,,
32,28.39,,4.76,Cepheids,2006A&A...452..423P,"GClstr MESSIER 081 GROUP BCG 1 of 1, 22, VI",,,,
52,27.68,0.09,3.44,TRGB,2009AJ....138..332J,"GClstr MESSIER 081 GROUP BCG 1 of 1, I",,,,
53,27.69,0.04,3.45,TRGB,2007ApJ...661..815R,"GClstr MESSIER 081 GROUP BCG 1 of 1, I",,,,
54,27.72,0.06,3.49,TRGB,2009ApJS..183...67D,"GClstr MESSIER 081 GROUP BCG 1 of 1, I",,,,
55,27.77,0.02,3.58,TRGB,2009ApJS..183...67D,"GClstr MESSIER 081 GROUP BCG 1 of 1, I",,,,
56,27.77,0.04,3.58,TRGB,2009ApJS..183...67D,"GClstr MESSIER 081 GROUP BCG 1 of 1, I",,,,
57,27.78,0.04,3.6,TRGB,2009ApJS..183...67D,"GClstr MESSIER 081 GROUP BCG 1 of 1, I",,,,
58,27.79,0.07,3.6,TRGB,2011ApJS..195...18R,"GClstr MESSIER 081 GROUP BCG 1 of 1, I",,,,
59,27.8,0.03,3.63,TRGB,2012ApJ...751L..19J,"GClstr MESSIER 081 GROUP BCG 1 of 1, GC-1",,,,
60,27.81,0.03,3.65,TRGB,2012ApJ...751L..19J,"GClstr MESSIER 081 GROUP BCG 1 of 1, Field 1",,,,
61,27.81,0.03,3.65,TRGB,2012ApJ...751L..19J,"GClstr MESSIER 081 GROUP BCG 1 of 1, Field 2",,,,
62,27.86,0.06,3.73,TRGB,2010ApJ...718.1118D,"GClstr MESSIER 081 GROUP BCG 1 of 1, I",,,,
63,27.93,0.04,3.85,TRGB,2005A&A...431..127T,"GClstr MESSIER 081 GROUP BCG 1 of 1, VI",,,,
64,28.03,0.12,4.04,TRGB,2004ApJ...608...42S,GClstr MESSIER 081 GROUP BCG 1 of 1,,,,
65,28.04,0.08,4.05,TRGB,2012ApJ...751L..19J,"GClstr MESSIER 081 GROUP BCG 1 of 1, GC-2",,,,
