#C.D.S.  -  SIMBAD4 rel 1.8  -  2026.02.04CET22:27:00
#
#NGC4496
#-------
#
#Object NGC 4496  ---  GiP  ---  OID=@1939677   (@@121453,1)  ---  coobox=14003
#
#Coordinates(ICRS,ep=J2000,eq=2000): 12 31 39.2222392512  +03 56 21.641352828 (Opt ) C [1.4076 1.0395 90] 2020yCat.1350....0G
#
#Identifiers (29):
#   Gaia DR3 3706865365553882368         IRAS 12291+0412                      KPG 343a                           
#   KPG 343                              LEDA 41471                           MCG+01-32-090                      
#   NGC 4496                             NGC 4496A                            UGC 7668                           
#   VCC 1375                             VV 76                                VV 76a                             
#   Z 42-144                             [H37] 415                            2MASX J12313920+0356220            
#   [CCA99] UGC 7668a                    [CHM2007] LDC 904 J123139.20+0356220  Z 1229.1+0413                      
#   [CHM2007] HDC 720 J123139.20+0356220  [M98c] 122906.6+041254               PSCz Q12291+0412                   
#   [BEC2010] HRS 187                    WVFSCC J123134+035912                SDSS J123139.23+035622.1           
#   PCCS1 857 G290.53+66.33              PCCS1 545 G290.54+66.32              NGC 4505                           
#   EVCC 808                             Gaia DR2 3706865365553882368                                            
#
#Measures (distance:12  ):
distance  | distance Q unit|  err-        err+     | method |     reference     |
distance  |   14.5     Mpc |  -1.4        +1.4     |kin     |2018ApJ...861...49H|
distance  |   15.78    Mpc |  -1.60       +1.60    |Cep     |2010ApJ...715..277B|
distance  |   14.59    Mpc |  -1.14       +1.14    |Cep     |2010ApJ...715..277B|
distance  |   14.79    Mpc |  -1.29       +1.29    |Cep     |2010ApJ...715..277B|
distance  |   14.5881  Mpc |                       |redshift|2019A&A...631A..38L|
distance  |   14.72    Mpc |                       |        |2016AJ....152...50T|
distance  |   14.72    Mpc |  -0.10       +0.10    |        |2013AJ....146...86T|
distance  |   18       Mpc |  -3          +3       |T-F     |2008ApJ...676..184T|
distance  |   14.86    Mpc |                       |Cep     |2008ApJ...676..184T|
distance  |   13.1     Mpc |                       |        |2007ApJ...659.1176M|
distance  |   19.63    Mpc |                       |redshift|2007ApJ...655..790C|
distance  |   19.43    Mpc |                       |redshift|2007ApJ...655..790C|
#
#================================================================================

