galaxy,bibcode,citation,band,modulus,random_error,systematic_error,total_error,category_error,cepheids_number,metal_correction,zero_point,probe_quality,publication_year,review_year,comments,review_author,ads_date,ads_jd
IC0010,2000ApJ...529..745F,Ferrarese et al.2000,W(VI),24.1,0.19,,,1,4,False,LMC,1,2000,2024,There are no specific comments on the publication.,Valencia et al.2024,2000-02-00,2451575.5
M33,2000ApJ...529..745F,Ferrarese et al.2000,VI,24.64,0.09,,,1,10,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
M33,2001ApJ...548..564W,Willick & Batra 2001,W(VI),24.47,0.13,,,1,12,False,LMC,1,2001,2024,They do not apply correction for metallicity.,Valencia et al.2024,2001-02-00,2451941.5
M33,2001ApJ...553...47F,Freedman et al.2001,W(VI),24.56,0.1,,,1,11,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
M33,2001ApJ...553...47F,Freedman et al.2001,W(VI),24.62,0.1,,,1,11,True,LMC,1,2001,2024,Correction for metallicity and same uncertainty as without correction. The systematic errors are only when analyzing H0.,Valencia et al.2024,2001-05-00,2452030.5
M33,2002A&A...383..398P,Paturel et al. 2002,W(VI),24.83,0.12,,,3,-1,False,GC,3,2002,2026,"Ground-based VI sample; not flagged as secure. A +/-0.5 mag Vlim change shifts mu by -0.38/-0.23 mag. Table 6 lists 22 sosie matches, not a verified count of unique Cepheids.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
M33,2002ApJ...565..959L,Lee et al.2002,W(VI),24.52,0.14,0.13,0.1910497317,2,21,False,LMC,1,2002,2024,They use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-02-00,2452306.5
M33,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),24.7,0.13,,,1,22,False,GC,1,2002,2024,They do not apply correction for metallicity.,Valencia et al.2024,2002-07-00,2452456.5
M33,2004ApJ...608...42S,Sakai et al.2004,BVRI,24.47,0.11,,,1,-1,False,LMC,1,2004,2024,They apply the metallicity correction from Freedman et al. 2001.,Valencia et al.2024,2004-06-00,2453157.5
M33,2006ApJS..165..108S,Saha et al.2006,W(VI),24.64,0.06,0.08,0.1,2,10,True,GC+LMC,1,2006,2024,They calculate gamma from TRGB.,Valencia et al.2024,2006-07-00,2453917.5
M33,2009MNRAS.396.1287S,Sowcroft et al.2009,W(BVI_C),24.37,0.02,,,1,98,False,LMC,3,2009,2024,They delve into the HST CTE correction.,Valencia et al.2024,2009-07-00,2455013.5
M33,2009MNRAS.396.1287S,Sowcroft et al.2009,W(BVI_C),24.54,0.03,,,1,28,False,LMC,3,2009,2024,Internal region of the galaxy.,Valencia et al.2024,2009-07-00,2455013.5
M33,2010ApJ...715..277B,Bono et al. 2010,BV(W),24.39,0.3,,,1,-1,True,LMC,1,2010,2026,"As in NED: BV(W), inner",Quintero-Salazar et al.2026,2010-05-00,2455317.5
M33,2010ApJ...715..277B,Bono et al. 2010,VI(W),24.41,0.27,,,1,-1,True,LMC,1,2010,2026,"As in NED: VI(W), inner",Quintero-Salazar et al.2026,2010-05-00,2455317.5
M33,2010ApJ...715..277B,Bono et al. 2010,VI(W),24.65,0.19,,,1,-1,True,LMC,1,2010,2026,"As in NED: VI(W), outer",Quintero-Salazar et al.2026,2010-05-00,2455317.5
M33,2010ApJ...715..277B,Bono et al. 2010,BV(W),24.67,0.31,,,1,-1,True,LMC,1,2010,2026,"As in NED: BV(W), outer",Quintero-Salazar et al.2026,2010-05-00,2455317.5
M33,2011ApJS..193...26P,Pellerin & Macri 2011,W(VI),24.76,0.02,,,1,564,False,LMC,3,2011,2024,Photometry of all galaxies and all Cepheids.,Valencia et al.2024,2011-04-00,2455652.5
M33,2011ApJS..193...26P,Pellerin & Macri 2011,W(VI),24.77,0.04,,,1,564,False,LMC,3,2011,2024,External region of the galaxy.,Valencia et al.2024,2011-04-00,2455652.5
M33,2013ApJ...773...69G,Gieren et al.2013,JK,24.62,0.03,0.04,0.05,2,26,True,LMC,2,2013,2024,There are no specific comments on the publication.,Valencia et al.2024,2013-08-00,2456505.5
M33,2023ApJ...951..118B,Breuval et al.2023,gri,24.622,0.0094,0.028,0.02953574106,2,150,True,LMC,1,2023,2024,"They apply a filter to Cepheids and add the effect of blending to e_S. Publication with more recent and accurate data for all systematic effects, e_R considers photometric error and RPL of M33, e_S considers correction for galaxy geometry, RPL of LMC, correction for metallicity, correction for CRNL (count-rate nonlinearity) for bright stars near the WFC3-IR instrument.Numero de cefeidas similar a 150.",Valencia et al.2024,2023-07-00,2460126.5
M81,2000ApJ...529..745F,Ferrarese et al.2000,W(VI),27.8,0.08,,,1,30,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
M81,2001ApJ...548..564W,Willick & Batra 2001,W(VI),27.66,0.09,,,1,25,False,LMC,1,2001,2024,They do not apply metallicity correction.,Valencia et al.2024,2001-02-00,2451941.5
M81,2001ApJ...549..721M,Macri et al.2001,H,27.91,0.08,,,1,6,True,LMC,1,2001,2024,They use the H band.,Valencia et al.2024,2001-03-00,2451969.5
M81,2001ApJ...553...47F,Freedman et al.2001,W(VI),27.75,0.08,,,1,17,False,LMC,1,2001,2024,No specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
M81,2001ApJ...553...47F,Freedman et al.2001,W(VI),27.8,0.08,,,1,17,True,LMC,1,2001,2024,They apply metallicity correction.,Valencia et al.2024,2001-05-00,2452030.5
M81,2002A&A...383..398P,Paturel et al. 2002,W(VI),27.75,0.1,,,3,-1,False,GC,1,2002,2026,"Preferred near-solar-metallicity solution. Table 6 gives 92 sosie matches, not a verified unique-Cepheid count. The quoted uncertainty is internal; total errors may approach 0.3 mag.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
M81,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),27.66,0.08,,,1,92,False,GC,1,2002,2024,They use data from Paurel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
M81,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),27.791,0.093,,,1,17,False,LMC,1,2003,2026,Representative mean-light result using the authors' OGLE LMC PL fit. No CTE or metallicity correction was applied; the error is random only.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
M81,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),27.793,0.094,,,1,17,False,LMC,1,2003,2026,Maximum-light OGLE LMC PL solution used as a consistency check. No CTE or metallicity correction was required.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
M81,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),27.83,0.095,,,1,17,True,GC,1,2003,2026,FSG03 Galactic solution with a -0.024 mag metallicity correction relative to Galactic abundance.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
M81,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),27.841,0.093,,,1,17,True,LMC,1,2003,2026,LMC mean-light solution with a +0.050 mag metallicity correction. The additive correction leaves the random error unchanged.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
M81,2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),27.854,0.095,,,1,17,False,GC,1,2003,2026,Representative mean-light result using the FSG03 Galactic PL relations. No CTE or metallicity correction was applied.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
M81,2004ApJ...608...42S,Sakai et al.2004,BVRI,27.75,0.08,,,1,-1,False,LMC,1,2004,2024,Calculate gamma from TRGB.,Valencia et al.2024,2004-06-00,2453157.5
M81,2006ApJS..165..108S,Saha et al.2006,VI,27.8,0.09,0.08,0.1204159458,2,24,True,GC+LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
M81,2009AJ....137.4707M,McCommas et al.2009,W(VI),27.78,0.05,0.14,0.1486606875,2,12,False,N4258,1,2009,2024,"Final value of the publication, they remove an outlier.",Valencia et al.2024,2009-06-00,2454983.5
M81,2011ApJ...743..176G,Gerke et al.2011,W(VI),27.74,0.05,,,1,81,False,LMC,1,2011,2024,OGLE-II + N4258 LMC RPL with fixed metallicity gradient value.,Valencia et al.2024,2011-12-00,2455896.5
M81,2011ApJ...743..176G,Gerke et al.2011,W(VI),27.8,0.14,,,3,81,True,LMC,1,2011,2024,OGLE-II LMC RPL with fixed metallicity gradient value.,Valencia et al.2024,2011-12-00,2455896.5
M81,2011ApJ...743..176G,Gerke et al.2011,W(VI),27.8,0.16,,,3,81,False,LMC,1,2011,2024,"OGLE-II+N4258 LMC RPL with [O/H] function, sigma_rand = +0.11,-0.16.",Valencia et al.2024,2011-12-00,2455896.5
M81,2011ApJ...743..176G,Gerke et al.2011,W(VI),27.81,0.15,,,3,81,False,LMC,1,2011,2024,"OGLE-II LMC RPL, using [O/H] function",Valencia et al.2024,2011-12-00,2455896.5
M101,2000ApJ...529..745F,Ferrarese et al.2000,W(VI),29.34,0.1,,,1,61,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
M101,2001ApJ...548..564W,Willick & Batra 2001,W(VI),29.2,0.08,,,1,33,False,LMC,1,2001,2024,No metallicity correction applied.,Valencia et al.2024,2001-02-00,2451941.5
M101,2001ApJ...549..721M,Macri et al.2001,J,29.19,0.08,,,1,8,True,LMC,1,2001,2024,Internal region of the galaxy.,Valencia et al.2024,2001-03-00,2451969.5
M101,2001ApJ...549..721M,Macri et al.2001,J,29.53,0.1,,,1,8,True,LMC,1,2001,2024,External region of the galaxy.,Valencia et al.2024,2001-03-00,2451969.5
M101,2001ApJ...553...47F,Freedman et al.2001,W(VI),29.13,0.11,,,1,25,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
M101,2001ApJ...553...47F,Freedman et al.2001,W(VI),29.13,0.11,,,1,25,True,LMC,1,2001,2024,"Metallicity correction applied, systematic errors only analyzed in H0.",Valencia et al.2024,2001-05-00,2452030.5
M101,2002A&A...383..398P,Paturel et al. 2002,W(VI),29.3,0.07,,,3,-1,False,GC,1,2002,2026,"Preferred near-solar-metallicity solution, with modest Vlim sensitivity (+0.10/-0.01 mag). Table 6 lists 102 sosie matches rather than a verified number of distinct Cepheids.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
M101,2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),29.23,0.07,,,1,102,False,GC,1,2002,2024,Use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
M101,2004ApJ...608...42S,Sakai et al.2004,BVRI,29.14,0.09,,,1,-1,False,LMC,1,2004,2024,"They calculate gamma from TRGB, outer and inner regions of the galaxy, respectively.",Valencia et al.2024,2004-06-00,2453157.5
M101,2004ApJ...608...42S,Sakai et al.2004,BVRI,29.24,0.08,,,1,-1,False,LMC,1,2004,2024,"They calculate gamma from TRGB, outer and inner regions of the galaxy, respectively.",Valencia et al.2024,2004-06-00,2453157.5
M101,2006ApJS..165..108S,Saha et al.2006,W(VI),29.16,0.04,0.08,0.0894427191,2,65,True,GC+LMC,1,2006,2024,"They delve into the HST CTE correction, inner region of the galaxy.",Valencia et al.2024,2006-07-00,2453917.5
M101,2011ApJ...733..124S,Shappee & Stanek 2011,W(VI),29.04,0.05,0.18,0.1868154169,2,827,False,LMC,1,2011,2024,External region of the galaxy.,Valencia et al.2024,2011-06-00,2455713.5
M101,2013ApJ...777...79M,Mager et al.2013,W(VI),28.96,0.11,,,3,619,True,LMC,1,2015,2024,They use the [O/H] function with respect to its galactic radius.,Valencia et al.2024,2013-11-00,2456597.5
M101,2015MNRAS.449.1171N,Nataf et al. 2015,W(VI),29.1,0.011,,,5,228,True,LMC,1,2015,2026,Alternative relative solution using CCM89 and a fixed literature metallicity coefficient gamma=-0.23 mag dex^-1. The LMC absolute modulus is not added; the author regards the fixed-gamma analysis mainly as a comparison.,Quintero-Salazar et al.2026,2015-05-00,2457143.5
