,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,10.NGC2541,1,30.5,0.1,--,--,--,--,--,--
1,11.NGC3198,1,30.8,0.1131370849898476,--,--,--,--,--,--
2,12.NGC3319,1,30.74,0.1131370849898476,--,--,--,--,--,--
3,15.NGC4258,2,29.559999999999995,0.08438009243891591,0.1344716110912165,0.11200000000026322,0.2274135499999943,0.12258644999999646,0.08654350932854958,0.23823783511333774
4,17.NGC6822,5,23.345342595967004,0.03229050840957029,0.02375037312273668,0.023609399612403412,0.029923585545493125,0.024040256811247218,0.03211973268025424,0.010551168610898443
5,3.M33,3,24.6226074168976,0.024645829213142022,0.003632312240835834,0.0015951410219341936,0.001818097690126308,0.0011529735657234141,0.024548844277696914,0.00041006022974188303
6,4.M81,1,27.8,0.1204159457879229,--,--,--,--,--,--
7,5.M101,1,29.16,0.0894427190999915,--,--,--,--,--,--
8,7.NGC0925,1,29.84,0.0894427190999915,--,--,--,--,--,--
9,9.NGC2403,1,27.43,0.1699999999999999,--,--,--,--,--,--
