,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,1.IC0010,1,24.1,0.19000000000000003,--,--,--,--,--,--
1,10.NGC2541,5,30.322696208741686,0.028373035621186173,0.029598709396797256,0.03319776358475411,0.028286848208583848,0.029526366411825933,0.031252162828077135,0.03618874569857973
2,11.NGC3198,6,30.758171660741485,0.027043219176028997,0.022311771817827383,0.023854922549857563,0.02160171156378965,0.019512768574923456,0.02827462038039469,0.02416466105211957
3,12.NGC3319,6,30.647139759511138,0.03574004308994274,0.035696719347269604,0.03856112012955415,0.035158845903154656,0.034012538553874094,0.03555141740552671,0.04447477321074094
4,15.NGC4258,21,29.317987625582475,0.012672868537039398,0.03640558858784254,0.03580332904082657,0.03587736454095136,0.036006879244261825,0.012933839372585448,0.07312643101119672
5,16.NGC4395,1,28.02,0.18,--,--,--,--,--,--
6,17.NGC6822,8,23.306094022590276,0.0186356406558916,0.025228537989575053,0.021797472607498387,0.02288603674283962,0.021746341707228112,0.0199623977432897,0.02774622004040727
7,3.M33,10,24.579050491249713,0.011775650398657264,0.09535644181124661,0.10274899005067833,0.10703920147823354,0.11079239583534317,0.012696101862416901,0.3086845029244504
8,4.M81,11,27.755495763372668,0.023215541701929108,0.014611982958379458,0.014547330632287223,0.014259702323670354,0.0142883450007254,0.02319613904725523,0.010334801559905423
9,5.M101,7,29.1584356040935,0.028598486775497204,0.04397268731751817,0.0484068613593364,0.04649743032322462,0.05134355728856832,0.02939264992506627,0.055702847416862246
10,6.MRK116,1,31.379999999999995,0.17,--,--,--,--,--,--
11,7.NGC0925,6,29.780200804679115,0.022698640855019974,0.012416814154325781,0.013023451550885795,0.011974084375651728,0.012756358208015683,0.021934276200690425,0.00816221659568014
12,9.NGC2403,1,27.48,0.1,--,--,--,--,--,--
