,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,15.NGC4258,3,29.32346277208607,0.03835474515470072,0.10315621588080977,0.05503887072528373,0.07682536063694201,0.10904113993401054,0.03798085423756736,0.13725998996339075
1,17.NGC6822,4,23.332380423778748,0.03233362811244525,0.02020889537774587,0.009188932078608207,0.009317332410407886,0.013152421963578576,0.03218893396061521,0.006998004340067307
2,21.M96,2,30.28219336219336,0.13157498589008818,0.056623598635848725,0.0799398645286101,0.080796356709957,0.0792036432900467,0.13183756212837586,0.04870189887198607
3,23.M66,2,30.11670520231214,0.1419924283579327,0.03236959781458544,0.041955294196002774,0.05073579104046644,0.03926420895953697,0.140853110316968,0.013189713317521444
4,24.NGC4414,1,31.41,0.188679622641132,--,--,--,--,--,--
5,25.NGC4496,2,31.005,0.1234908903522847,0.010622459539143552,0.01499999999999949,0.01503764999999646,0.014962350000004676,0.12411884013499117,0.0018312617464625858
6,27.NGC4536,2,30.86780141843972,0.13154833537147892,0.06734293430389897,0.09327498616770691,0.10162777269503565,0.08837222730496208,0.13170082106402942,0.06743829395143842
7,3.M33,1,24.519999999999996,0.191049731745428,--,--,--,--,--,--
8,4.M81,1,27.780000000000005,0.148660687473185,--,--,--,--,--,--
9,5.M101,1,29.04,0.186815416922694,--,--,--,--,--,--
