galaxy,bibcode,citation,band,modulus,random_error,probe_quality,publication_year,review_year,comments,review_author,ads_date,ads_jd
IC0010,2000ApJ...529..745F,Ferrarese et al.2000,I (BVI),24.17,0.39,1,2000,2024,There are no specific comments on the publication.,Valencia et al.2024,2000-02-00,2451575.5
IC0010,2001ApJ...559..225H,Hunter 2001,F814W(F555W F814W),24.95,0.2,1,2001,2026,HST/WFPC2 TRGB measurement adopting E(B-V)=0.77. The luminosity function shows only a weak break at I_0~20.8; the 0.20 mag error is the bin width. Extinction is the main systematic uncertainty.,Quintero-Salazar et al.2026,2001-09-00,2452153.5
IC0010,2007ApJ...662..272V,Vacca et al.2007,F814W(HK),24.48,0.08,2,2007,2024,E(B-V)=0.95+/-0.15.,Valencia et al.2024,2007-06-00,2454252.5
IC0010,2008ApJ...688L..69S,Sanna et al.2008,F814W(F555W F606W),24.51,0.8,1,2008,2024,There are no specific comments on the publication.,Valencia et al.2024,2008-12-00,2454801.5
IC0010,2009ApJ...703..816K,Kim et al.2009,J(JHK),24.15,0.06,2,2009,2024,Region 2.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009ApJ...703..816K,Kim et al.2009,J(JHK),24.17,0.06,2,2009,2024,Region 1.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009ApJ...703..816K,Kim et al.2009,J(JHK),24.22,0.06,2,2009,2024,Region 3.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009ApJ...703..816K,Kim et al.2009,K(JHK),24.25,0.03,2,2009,2024,Region 3.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009ApJ...703..816K,Kim et al.2009,H(JHK),24.28,0.04,2,2009,2024,Region 2.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009ApJ...703..816K,Kim et al.2009,K(JHK),24.29,0.03,2,2009,2024,Region 1.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009ApJ...703..816K,Kim et al.2009,K(JHK),24.3,0.03,2,2009,2024,Region 2.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009ApJ...703..816K,Kim et al.2009,H(JHK),24.35,0.05,2,2009,2024,Region 3.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009ApJ...703..816K,Kim et al.2009,H(JHK),24.38,0.04,2,2009,2024,Region 1.,Valencia et al.2024,2009-09-00,2455075.5
IC0010,2009AstL...35..748T,Tikhonov & Galazutdinova 2009,F814W(F555W F606W F814W),24.47,0.11,1,2009,2026,"Median of six HST TRGB determinations, adopted over a simple mean. The modulus error is propagated from the reported D=780+/-40 kpc.",Quintero-Salazar et al.2026,2009-11-00,2455136.5
IC0010,2017ApJ...834...78M,McQuinn et al.2017,F814W(F555W F814W),24.43,0.03,1,2017,2024,"No specific publication on distance, they use TRGB for CM diagram analysis.",Valencia et al.2024,2017-01-00,2457754.5
IC2574,2003A&A...398..479K,Karachentsev et al. 2003,F814W(F606W F814W),28.02,0.22,1,2003,2026,Compiled from Karachentsev et al. (2002). I_TRGB=24.04+/-0.22 and A_I=0.07 mag. No separate mu_0 error is reported; 0.22 mag represents the quoted TRGB detection uncertainty.,Quintero-Salazar et al.2026,2003-02-00,2452671.5
IC2574,2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.89,0.03,1,2009,2024,There are no specific comments on the publication.,Valencia et al.2024,2009-07-00,2455013.5
