No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,30.25,0.05,11.2,Cepheids,2001ApJ...553...47F,"29, VI, +Z, KEY PROJECT",,,,
2,30.25,0.05,11.2,Cepheids,2001ApJ...553...47F,"29, VI, KEY PROJECT",,,,
3,30.32,0.08,11.6,Cepheids,2001ApJ...548..564W,LMC W01,,,,
4,30.33,0.06,11.6,Cepheids,2002A&A...389...19P,MW HIPP,,,,
5,30.35,0.07,11.7,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
6,30.36,0.07,11.8,Cepheids,2003A&A...411..361K,cte U99,,,,
7,30.38,0.07,11.9,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
8,30.39,0.16,12.0,Cepheids,2002A&A...389...19P,MW P02,,,,
9,30.43,0.07,12.2,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
10,30.46,0.07,12.4,Cepheids,2003A&A...411..361K,cte MF91,,,,
11,30.46,0.08,12.4,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
13,30.47,0.07,12.4,Cepheids,2002A&A...383..398P,"88, VI",,,,
14,30.47,0.07,12.4,Cepheids,2002A&A...389...19P,MW GFG,,,,
15,30.5,0.06,12.6,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
16,30.5,,12.6,Cepheids,2008A&ARv..15..289T,,,,,18.54
17,30.54,0.08,12.8,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
18,31.05,,16.2,Cepheids,2006A&A...452..423P,"28, VI",,,,
