No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
5,24.37,0.02,0.748,Cepheids,2009MNRAS.396.1287S,inner,,,,
6,24.39,0.3,0.755,Cepheids,2010ApJ...715..277B,"BV(W), inner",,,,
7,24.41,0.27,0.762,Cepheids,2010ApJ...715..277B,"VI(W), inner",,,,
8,24.47,0.13,0.78,Cepheids,2001ApJ...548..564W,LMC W01,,,,
9,24.47,0.11,0.783,Cepheids,2004ApJ...608...42S,LMC VIHJK,,,,
11,24.52,0.14,0.802,Cepheids,2002ApJ...565..959L,"21, I",,,,
12,24.52,0.15,0.802,Cepheids,2002ApJ...565..959L,"21, I(W)",,,,
13,24.52,0.14,0.802,Cepheids,2004MNRAS.350..243M,,,,,
14,24.53,0.11,0.805,Cepheids,2009MNRAS.396.1287S,Z,,,,
15,24.54,0.03,0.809,Cepheids,2009MNRAS.396.1287S,outer,,,,
16,24.55,0.28,0.813,Cepheids,2007ApJ...671.1640A,,,,,
17,24.56,0.08,0.82,Cepheids,2001ApJ...553...47F,"11, VI, KEY PROJECT",,,,
18,24.59,0.03,0.828,Cepheids,2007Natur.449..872O,,,,,
19,24.6,0.08,0.832,Cepheids,2016AJ....151...88B,"24, JHKs, GAL PL",,,,
20,24.61,0.06,0.836,Cepheids,2016AJ....151...88B,"24, JHKs, LMC PL",,,,
21,24.62,0.07,0.839,Cepheids,2013ApJ...773...69G,"26, JK",,,,
22,24.62,0.06,0.839,Cepheids,2016AJ....151...88B,"24, JHKs, GAL+LMC PL",,,,
23,24.62,0.08,0.84,Cepheids,2001ApJ...553...47F,"11, VI, +Z, KEY PROJECT",,,,
27,24.64,0.09,0.847,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
28,24.64,0.06,0.847,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
29,24.65,0.19,0.851,Cepheids,2010ApJ...715..277B,"VI(W), outer",,,,
30,24.67,0.31,0.859,Cepheids,2010ApJ...715..277B,"BV(W), outer",,,,
32,24.7,0.13,0.871,Cepheids,2002A&A...389...19P,MW HIPP,,,,
34,24.76,0.02,0.895,Cepheids,2011ApJS..193...26P,"564, WVI, Cleaned Sample",,,,
35,24.77,0.39,0.899,Cepheids,2002A&A...389...19P,MW P02,,,,
36,24.77,0.04,0.899,Cepheids,2011ApJS..193...26P,"564, WVI",,,,
38,24.83,0.12,0.925,Cepheids,2002A&A...383..398P,"22, VI",,,,
39,24.83,0.12,0.925,Cepheids,2002A&A...389...19P,MW GFG,,,,
75,24.5,0.06,0.794,TRGB,2004MNRAS.350..243M,,,,,
76,24.54,0.06,0.809,TRGB,2005MNRAS.356..979M,,,,,
77,24.57,0.05,0.82,TRGB,2012ApJ...758...11C,,,,,
79,24.63,0.1,0.843,TRGB,2007Natur.449..872O,,,,,
80,24.64,0.15,0.847,TRGB,2004A&A...423..925G,I,,,,
81,24.65,,0.85,TRGB,2008AJ....135.1482S,outer disk,,,,
82,24.69,0.07,0.867,TRGB,2004AJ....128..224T,I,,,,
84,24.71,0.03,0.875,TRGB,2007ApJ...661..815R,"I, blue edge",,,,
85,24.71,0.04,0.875,TRGB,2007ApJ...661..815R,"I, red edge",,,,
86,24.72,0.14,0.88,TRGB,2004AJ....128..237B,,,,,
87,24.73,0.11,0.883,TRGB,2011A&A...533A..91G,"I, M33 center",,,,
88,24.75,0.1,0.89,TRGB,2008AJ....135.1482S,M33-EC1 star cluster,,,,
89,24.75,0.11,0.891,TRGB,2011A&A...533A..91G,"I, field SE3b",,,,
90,24.77,0.13,0.899,TRGB,2010ApJ...724..799Y,I,,,,
92,24.81,0.04,0.916,TRGB,2002AJ....123..244K,,,,,
93,24.81,0.04,0.916,TRGB,2004ApJ...608...42S,,,,,
94,24.81,0.13,0.916,TRGB,2004MNRAS.350..243M,,,,,
96,24.82,0.1,0.92,TRGB,2009AJ....138..332J,I,,,,
98,24.84,0.1,0.929,TRGB,2009ApJ...704.1120U,,,,,
101,24.93,0.18,0.968,TRGB,2000ApJ...529..745F,HST KP Calibrated,,,,
102,24.97,,0.986,TRGB,2010AJ....140.1038P,"I, M TRGB(I) = -4.05 mag",,,,
104,24.99,0.04,0.995,TRGB,2002AJ....123..244K,,,,,
64,24.36,0.09,0.745,RR Lyrae,2013MNRAS.435.3206D,V,,,,
65,24.52,0.11,0.802,RR Lyrae,2010ApJ...724..799Y,"65, RRab, Z",,,,
67,24.66,0.09,0.855,RR Lyrae,2007Natur.449..872O,,,,,
68,24.67,0.08,0.859,RR Lyrae,2006AJ....132.1361S,43 RR Lyrae,,,,
70,24.69,0.17,0.867,RR Lyrae,2011AJ....142..198P,,,,,
72,24.77,,0.899,RR Lyrae,2008ApJ...679...52T,,,,,
