#C.D.S.  -  SIMBAD4 rel 1.8  -  2026.02.04CET22:31:09
#
#NGC5584
#-------
#
#Object NGC 5584  ---  EmG  ---  OID=@2258109   (@@47446,4)  ---  coobox=15681
#
#Coordinates(ICRS,ep=J2000,eq=2000): 14 22 23.811  -00 23 14.82 (IR  ) C [~ ~ ] 2006AJ....131.1163S
#
#Identifiers (25):
#   HIPASS J1422-00                      GSC 04977-00156                      IRAS 14198-0009                    
#   K73 626                              LEDA 51344                           MCG+00-37-001                      
#   NGC 5584                             QDOT B1419491-000919                 TC 541                             
#   UGC 9201                             Z 19-8                               2MASX J14222381-0023148            
#   6dFGS gJ142223.8-002315              SDSS J142223.76-002315.6             Z 1419.8-0009                      
#   [CHM2007] LDC 1076 J142223.81-0023148  [M98c] 141949.9-000934               UZC J142223.7-002310               
#   PSCz Q14198-0009                     SDSS J142223.76-002315.5             H-ATLAS J142223.4-002313           
#   SDSS J142223.77-002315.5             PLCKERC -857 G345.11+54.84           GAMA 63349                         
#   GAMA J142223.76-002315.5                                                                                     
#
#Measures (distance:9  ):
distance  | distance Q unit|  err-        err+     | method |     reference     |
distance  |   18.4     Mpc |  -5.2        +5.2     |T-F     |2022MNRAS.511.6160K|
distance  |   20.04    Mpc |  -3.88       +3.88    |T-F     |2020ApJ...902..145K|
distance  |   28.1838  Mpc |                       |redshift|2019A&A...631A..38L|
distance  |   22.08    Mpc |                       |        |2016AJ....152...50T|
distance  |   23.1     Mpc |  -4.80       +4.80    |T-F     |2011PASP..123.1011A|
distance  |   18.0     Mpc |                       |T-F     |2014MNRAS.444..527S|
distance  |   22.49    Mpc |  -0.07       +0.07    |        |2013AJ....146...86T|
distance  |   26.0     Mpc |                       |redshift|2011MNRAS.413..813C|
distance  |   26.03    Mpc |                       |redshift|2007ApJ...655..790C|
#
#================================================================================

