#C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.26CEST07:19:51
#
#NGC7331
#-------
#
#Object NGC 7331  ---  LIN  ---  OID=@1528485   (@@143748,0)  ---  coobox=10051
#
#Coordinates(ICRS,ep=J2000,eq=2000): 22 37 04.0506038088  +34 24 56.800076508 (Opt ) A [0.2096 0.2437 90] 2020yCat.1350....0G
#
#Identifiers (24):
#   Gaia DR3 1903152720991758464         2E 4630                              IRAS F22347+3409                   
#   ISOSS J22370+3426                    LEDA 69327                           MCG+06-49-045                      
#   NGC 7331                             RX J2237.0+3425                      TC 402                             
#   UGC 12113                            Z 514-68                             [BTW2003] J2237+3424               
#   [SLK2004] 1798                       [SRC98] 1                            [VDD93] 245                        
#   2MASX J22370410+3424573              1RXS J223705.9+342519                2E 2234.7+3408                     
#   UZC J223704.5+342501                 Z 2234.8+3410                        [M98c] 223447.7+340935             
#   IRAS 22347+3409                      PSCz Q22347+3409                     SDSS J223704.05+342456.8           
#
#Measures (distance:15  ):
distance  | distance Q unit|  err-        err+     | method |     reference     |
distance  |   13.6     Mpc |  -2.6        +2.6     |T-F     |2022MNRAS.511.6160K|
distance  |   14.5     Mpc |  -1.5        +1.5     |kin     |2018ApJ...861...49H|
distance  |   11.38    Mpc |  -0.67       +0.67    |T-F     |2020ApJ...902..145K|
distance  |   15.00    Mpc |  -1.10       +1.10    |Cep     |2010ApJ...715..277B|
distance  |   14.520   Mpc |  +0.600      +0.600   |Ceph    |2010ApJS..190..233M|
distance  |   14.5211  Mpc |                       |redshift|2019A&A...631A..38L|
distance  |   14.06    Mpc |                       |        |2016AJ....152...50T|
distance  |   16.2     Mpc |                       |T-F     |2014MNRAS.444..527S|
distance  |   14.70    Mpc |  -1.50       +1.50    |Cep     |2016ApJ...816L..14L|
distance  |   13.87    Mpc |  -0.08       +0.08    |        |2013AJ....146...86T|
distance  |   12.8     Mpc |                       |redshift|2011MNRAS.413..813C|
distance  |   13.93    Mpc |                       |Cep     |2008ApJ...676..184T|
distance  |   13       Mpc |  -2          +2       |T-F     |2008ApJ...676..184T|
distance  |   15       Mpc |                       |        |2007ApJS..173..185G|
distance  |   15.7     Mpc |                       |        |2007AJ....133..791S|
#
#================================================================================
