####################################################
#  2222   555555       NN   NN   GGGG   CCCCC      44       44             666   
# 222222  55           NNN  NN  GG  GG CC    C    444      444    99999   66     
#     222 555555       NN N NN GG      CC       44  4    44  4   99   99 666666  
#  2222      5555 ...  NN  NNN GG   GG CC    C 44444444 44444444  999999 66   66 
# 2222222 555555  ...  NN   NN  GGGGGG  CCCCC     444      444       99   66666  
#                                                                  999           
####################################################
#        PPPPPP  LL      RRRRRR   CCCCC  
#        PP   PP LL      RR   RR CC    C 
#        PPPPPP  LL      RRRRRR  CC      
#        PP      LL      RR  RR  CC    C 
#        PP      LLLLLLL RR   RR  CCCCC  
####################################################
RefCode,Citation,Band,mu_0,e_R,e_S,e_T,Category,Ncef,Zcorr,zeroP,Rank,Year,Date,Comments,Author,ADS_date,JD
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.833,0.043,,,1,45,False,LMC,1,2003,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2024,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.926,0.043,,,1,45,False,GC,1,2003,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2024,2003-12-00,2452974.5
2006ApJS..165..108S,Saha et al.2006,W(VI),31.18,0.05,0.08,0.0854400374531753,2,39,True,LMC,1,2006,2026,They delve into the HST CTE correction.,Quintero-Salazar et al.2024,2006-07-00,2453917.5
2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.81,0.03,,,1,280,False,GC,1,2002,2026,They use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Quintero-Salazar et al.2024,2002-07-00,2452456.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.81,0.03,,,1,94,False,LMC,1,2001,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2024,2001-05-00,2452030.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.86,0.03,,,1,94,True,LMC,1,2001,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2024,2001-05-00,2452030.5
2001ApJ...549..721M,Macri et al.2001,H,31.12,0.07,,,1,7,True,LMC,1,2001,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2024,2001-03-00,2451969.5
2001ApJ...548..564W,Willick & Batra 2001,W(VI),30.80,0.05,,,1,94,False,LMC,1,2001,2026,They do not apply a metallicity correction.,Quintero-Salazar et al.2024,2001-02-00,2451941.5
2000ApJ...529..745F,Ferrarese et al.2000,W(VI),31.02,0.07,,,1,-1,False,LMC,1,2000,2026,They calculate gamma.,Quintero-Salazar et al.2024,2000-02-00,2451575.5


