,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,M33,4,24.62220129096318,0.00883668555387904,0.003261645480660869,0.0005384752093268721,0.0013378925254627916,0.00036625501074283306,0.00873455827023546,0.00027463070461638953
1,M81,4,27.835294260307197,0.04531538630592232,0.027959842143491002,0.032588965384566314,0.03370730542766154,0.03242766389749363,0.04545170598125503,0.019453404456150205
2,M101,6,29.170147830744508,0.0262926819492608,0.03988838713818441,0.03215437136575785,0.031322052213617724,0.032637493755267144,0.026287318906678944,0.090543136406237
3,NGC0925,3,29.826666666666668,0.02666666666666667,0.009664830260508595,0.011758894716002827,0.007429716666660369,0.012570283333339205,0.026504483912690925,0.004141325652672987
4,NGC2403,2,27.506153846153843,0.08320502943378437,0.04031699899927509,0.04686390532545084,0.06545444230768993,0.0445455576923095,0.0828538785850077,0.0308471363443374
5,NGC2541,2,30.35245901639344,0.03841106397986879,0.08890825761049455,0.1209352324644232,0.11388299180327621,0.13611700819672734,0.03850432053261533,0.3945114808854654
6,NGC3198,2,30.75,0.0565685424949238,0.03535637481581272,0.05,0.05008950000000212,0.0499104999999993,0.05662670208612712,0.044239611094114985
7,NGC3319,2,30.68703448275862,0.059792745494692774,0.042520131232447855,0.059175267538642086,0.06347379724138236,0.056526202758615085,0.05907603960477957,0.05866861864251818
8,NGC4258,11,29.3443015373773,0.003914132945226863,0.03751142930419202,0.0030634044186040395,0.021745859562450676,0.006261841186365302,0.0039299756139748055,0.02409157174605119
9,NGC6822,10,23.377443419712936,0.00951815236753044,0.024481610161427275,0.024956610308767314,0.02480936708822412,0.024624324747957616,0.009468092790403275,0.04438031720593908
