,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,M101,1,29.16,0.0894427190999915,--,--,--,--,--,--
1,M33,3,24.6226074168976,0.024645829213142022,0.0036302574060140297,0.0015951410219341936,0.001818477988081213,0.0011525932677685091,0.024469483274028418,0.0004085496617122374
2,M81,1,27.8,0.1204159457879229,--,--,--,--,--,--
3,NGC0925,1,29.84,0.0894427190999915,--,--,--,--,--,--
4,NGC2403,1,27.43,0.1699999999999999,--,--,--,--,--,--
5,NGC2541,1,30.5,0.1,--,--,--,--,--,--
6,NGC3198,1,30.8,0.1131370849898476,--,--,--,--,--,--
7,NGC3319,1,30.74,0.1131370849898476,--,--,--,--,--,--
8,NGC4258,2,29.559999999999995,0.08438009243891591,0.13450050287521345,0.11200000000026322,0.22737679999999827,0.1226231999999925,0.0847453631691579,0.23328779748997297
9,NGC6822,5,23.345342595967004,0.03229050840957029,0.02375963122579446,0.023609399612403412,0.02995087174555522,0.02404317142237744,0.03233419382565854,0.010621617889542608
