# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          NGC4725
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
NGC4725,J125026.6+253003,30.49,0.066,,,12.5314104285536,0.386728509078791,,,30.4748622054404,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Fouque+2003           ,43451,51510,2003A&A...411..361K,2003LNP...635...21F,
NGC4725,J125026.6+253003,30.38,0.06,,,11.9124154763475,0.333738771540112,,,30.4451385506271,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001         ,43451,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC4725,J125026.6+253003,30.46,0.06,,,12.359469123495,0.346263446767214,,,30.465420122352,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001:Z       ,43451,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC4725,J125026.6+253003,30.541,0.067,,,12.8292147006943,0.402007421765683,,,30.5054587903855,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Gieren+1998           ,43451,51510,2003A&A...411..361K,1998ApJ...496...17G,
NGC4725,J125026.6+253003,30.393,0.067,,,11.9839483839335,0.375520739561511,,,30.4475541717127,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003           ,43451,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4725,J125026.6+253003,30.388,0.066,,,11.9563906884168,0.368982978512872,,,30.4555341973203,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:PLmax     ,43451,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4725,J125026.6+253003,30.477,0.067,,,12.456609687146,0.390331728098678,,,30.4618218511518,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:Z         ,43451,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4725,J125026.6+253003,30.44,0.06,,,12.2461650045041,0.343089113437625,,,30.4684286369537,Cepheids  ,    51470,Paturel+2002           ,Cepheids:Lanoix+1999           ,43451,51470,2002A&A...389...19P,1999MNRAS.308..969L,
NGC4725,J125026.6+253003,30.522,0.066,,,12.717445109566,0.392469675664554,,,30.4844350532921,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Madore+1991           ,43451,51510,2003A&A...411..361K,1991PASP..103..933M,
NGC4725,J125026.6+253003,30.65,0.06,,,13.4896264561491,0.377925985787611,,,30.5489077464335,Cepheids  ,    51333,Saha+2006              ,Cepheids:Saha+2006             ,43451,51333,2006ApJS..165..108S,2006ApJS..165..108S,
NGC4725,J125026.6+253003,30.63,,,,13.3659499997742,,,,30.4966816191978,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:Galaxy   ,43451,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC4725,J125026.6+253003,30.41,,,,12.0781375023453,,,,30.4442187599514,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:LMC      ,43451,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC4725,J125026.6+253003,30.426,0.067,,,12.167465374289,0.381271301374051,,,30.4518483337328,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Tammann+2002:LMC=18.50,43451,51510,2003A&A...411..361K,2002Ap&SS.280..165T,
NGC4725,J125026.6+253003,30.618,0.067,,,13.292296069965,0.416518220101462,,,30.5106424461009,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Tammann+2003          ,43451,51510,2003A&A...411..361K,2003A&A...404..423T,
NGC4725,J125026.6+253003,30.399,0.067,,,12.0171099173827,0.376559866497523,,,30.4445746090142,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Udalski+1999:LMC=18.50,43451,51510,2003A&A...411..361K,1999AcA....49..201U,
NGC4725,J125026.6+253003,30.37,0.1,,,11.8576920644465,0.55883799148466,,,30.4342929777584,Cepheids  ,    51338,Willick+2001           ,Cepheids:Willick+2001          ,43451,51338,2001ApJ...548..564W,2001ApJ...548..564W,Willick+2001
NGC4725,J125026.6+253003,30.57,0.178885,,,13.0016939530924,1.11642511246585,,,30.5699996948242,Cepheids  ,    51384,Ferrarese+2000         ,                               ,43451,51384,2000ApJS..128..431F,,Ferrarese+2000
NGC4725,J125026.6+253003,30.5,0.23,,,12.5892541179417,1.4066161573433,,,30.5,Cepheids  ,    51556,Gibson+1999            ,                               ,43451,51556,1999ApJ...512...48G,,
NGC4725,J125026.6+253003,30.3301,0.158933,,,11.6417916124604,0.884028420466581,,,30.5676454271722,SBF       ,    50007,Jensen+2003            ,SBF:Jensen+2003                ,43451,50007,2003ApJ...583..712J,2003ApJ...583..712J,Freedman+2001
NGC4725,J125026.6+253003,30.61,0.34,,,13.2434190743704,2.24475255646998,,,30.5539557059652,SBF       ,    50006,Tonry+2001             ,SBF:Tonry+2000                 ,43451,50006,2001ApJ...546..681T,2000ApJ...530..625T,Ferrarese+2000
NGC4725,J125026.6+253003,30.81,0.15,,,14.5211126045165,1.0385371513368,,,30.7778161156286,Sosie     ,    51162,Terry+2002             ,Sosie:Terry+2002               ,43451,51162,2002A&A...393...57T,2002A&A...393...57T,Paturel+2002
NGC4725,J125026.6+253003,30.7,0.45,,,13.8038474959629,3.17860096210147,,,30.6496033833602,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:MC[3.6]          ,43451,51984,2014MNRAS.444..527S,2014MNRAS.444..527S,
NGC4725,J125026.6+253003,30.77,0.54,,,14.2560789413165,4.02493478145696,,,30.7237662443723,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           ,43451,51984,2014MNRAS.444..527S,2014MNRAS.444..527S,
NGC4725,J125026.6+253003,30.5,0.35,,,12.5892541179417,2.20183236213915,,,30.5221785251474,TF        ,    51600,Tully+2008             ,TF:Tully+2008                  ,43451,51600,2008ApJ...676..184T,2008ApJ...676..184T,Freedman+2001
NGC4725,J125026.6+253003,30.46,,,c,12.359469123495,,,c,30.465420122352,Cepheids  ,    51258,Solanes+2002           ,Cepheids:Freedman+2001:Z       ,43451,51258,2002AJ....124.2440S,2001ApJ...553...47F,Solanes+2002B
NGC4725,J125026.6+253003,30.5,0.233452,,c,12.5892541179417,1.42888509635708,,c,30.5,Cepheids  ,    51384,Ferrarese+2000         ,                               ,43451,51384,2000ApJS..128..431F,,Ferrarese+2000
NGC4725,J125026.6+253003,30.65,,,c,13.4896264561491,,,c,30.6499996185303,Cepheids  ,    52014,Tammann+2008           ,                               ,43451,52014,2008A&ARv..15..289T,,
NGC4725,J125026.6+253003,30.78,,,c,14.3218835214853,,,c,30.7800006866455,TF        ,    51258,Solanes+2002           ,                               ,43451,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4725,J125026.6+253003,30.46,0.06,,c,12.359469123495,0.346263446767214,,c,30.4599990844727,average   ,    51258,Solanes+2002           ,                               ,43451,51258,2002AJ....124.2440S,,Solanes+2002B
#-- end of data table ----------------------------------------------------------
# 29 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-02-04T01:22:56
