# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          IC0010
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
IC0010,J002023.1+591735,24.85,,,,0.933254464744871,,,,24.8500003814697,BS3B      ,    51435,Karachentsev+1993      ,                               ,1305,51435,1993A&AS..100..227K,,deVaucouleurs1978
IC0010,J002023.1+591735,25.2,,,,1.09647858138714,,,,25.2000007629395,BS3R      ,    51435,Karachentsev+1993      ,                               ,1305,51435,1993A&AS..100..227K,,deVaucouleurs1978
IC0010,J002023.1+591735,24.3,0.14,,,0.724435705546922,0.0482443908872784,,,24.2379749676756,PNLF      ,    51565,Kniazev+2008           ,PNLF:Ciardullo+2002            ,1305,51565,2008MNRAS.384.1045K,2002ApJ...577...31C,Ciardullo+2002
IC0010,J002023.1+591735,24.5,0.120001,,,0.794328234724282,0.0451320762307341,,,24.5025474308261,TRGB      ,    52052,Jacobs;+2009           ,TRGB:Rizzi+2007                ,1305,52052,2009AJ....138..332J,2007ApJ...661..815R,
IC0010,J002023.1+591735,24.5,0.120001,,p,0.794328234724282,0.0451320762307341,,p,24.5025474308261,TRGB      ,    51764,Jacobs+2009            ,TRGB:Rizzi+2007                ,1305,51764,2009AJ....138..332J,2007ApJ...661..815R,Rizzi+2007
IC0010,J002023.1+591735,24.1,,,c,0.660693564073806,,,c,24.1000003814697,Cepheids  ,    51600,Tully+2008             ,Cepheids:unknown               ,1305,51600,2008ApJ...676..184T,,Freedman+2001
IC0010,J002023.1+591735,24.1,0.19,,c,0.660693564073806,0.0604142191395537,,c,24.1000003814697,Cepheids  ,    51384,Ferrarese+2000         ,                               ,1305,51384,2000ApJS..128..431F,,Ferrarese+2000
IC0010,J002023.1+591735,24.0977,,,c,0.659999852526375,,,c,24.0977191925049,Cepheids  ,    51160,Karachentsev+2004      ,                               ,1305,51160,2004AJ....127.2031K,,
IC0010,J002023.1+591735,23.56,,,c,0.515228517865088,,,c,23.5599994659424,TRGB      ,    52014,Tammann+2008           ,                               ,1305,52014,2008A&ARv..15..289T,,
#-- end of data table ----------------------------------------------------------
# 9 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-02-03T22:05:02
