# The object name (NGC4496) was resolved at position  by leda
# A cone search within 1.00 arcmin of this position matched 30 records in the table a007
#-------------------------------------------------------------------------------
# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          NGC4496
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
NGC4496A,J123139.3+035623,31.2152,,,,17.5000051901863,,,,31.2151908874512,BS        ,    51695,Tikhonov+2000          ,                               ,41471,51695,2000Ap.....43..367T,,
NGC4496A,J123139.3+035623,30.926,0.043,,,15.3179313568181,0.306347177830068,,,30.910863029415,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Fouque+2003           ,41471,51510,2003A&A...411..361K,2003LNP...635...21F,
NGC4496A,J123139.3+035623,30.81,0.03,,,14.5211126045165,0.202013454394752,,,30.8751388558029,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001         ,41471,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC4496A,J123139.3+035623,30.86,0.03,,,14.8593605994982,0.20671906117361,,,30.8654216482309,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001:Z       ,41471,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC4496A,J123139.3+035623,30.974,0.043,,,15.6603039195364,0.313194373179885,,,30.9384593549606,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Gieren+1998           ,41471,51510,2003A&A...411..361K,1998ApJ...496...17G,
NGC4496A,J123139.3+035623,30.833,0.043,,,14.675740931511,0.293503849325743,,,30.8875547057703,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003           ,41471,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4496A,J123139.3+035623,30.84,0.044,,,14.7231260589112,0.301378355461701,,,30.907533861627,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:PLmax     ,41471,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4496A,J123139.3+035623,30.887,0.043,,,15.0452644614395,0.300894043725947,,,30.8718216985639,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:Z         ,41471,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4496A,J123139.3+035623,30.81,0.03,,,14.5211126045165,0.202013454394752,,,30.8384275688385,Cepheids  ,    51470,Paturel+2002           ,Cepheids:Lanoix+1999           ,41471,51470,2002A&A...389...19P,1999MNRAS.308..969L,
NGC4496A,J123139.3+035623,30.959,0.043,,,15.5524898563035,0.311038172500274,,,30.9214353279503,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Madore+1991           ,41471,51510,2003A&A...411..361K,1991PASP..103..933M,
NGC4496A,J123139.3+035623,31.18,0.05,,,17.2186881697509,0.401068579979988,,,31.078908433079,Cepheids  ,    51333,Saha+2006              ,Cepheids:Saha+2006             ,41471,51333,2006ApJS..165..108S,2006ApJS..165..108S,
NGC4496A,J123139.3+035623,31.24,,,,17.701087717409,,,,31.1066822295493,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:Galaxy   ,41471,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC4496A,J123139.3+035623,30.99,,,,15.7761110341285,,,,31.0242186836574,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:LMC      ,41471,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC4496A,J123139.3+035623,30.865,0.043,,,14.8936092072634,0.297861051996307,,,30.8908475097582,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Tammann+2002:LMC=18.50,41471,51510,2003A&A...411..361K,2002Ap&SS.280..165T,
NGC4496A,J123139.3+035623,31.051,0.044,,,16.2255758517195,0.332133090964781,,,30.9436430106761,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Tammann+2003          ,41471,51510,2003A&A...411..361K,2003A&A...404..423T,
NGC4496A,J123139.3+035623,30.839,0.043,,,14.7163510925531,0.294316022192765,,,30.8845751430718,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Udalski+1999:LMC=18.50,41471,51510,2003A&A...411..361K,1999AcA....49..201U,
NGC4496A,J123139.3+035623,30.8,0.05,,,14.4543926289566,0.336680859134967,,,30.8642913755855,Cepheids  ,    51338,Willick+2001           ,Cepheids:Willick+2001          ,41471,51338,2001ApJ...548..564W,2001ApJ...548..564W,Willick+2001
NGC4496A,J123139.3+035623,31.02,0.07,,,15.9955836581427,0.524035484969804,,,31.0200004577637,Cepheids  ,    51479,Gibson+2000            ,                               ,41471,51479,2000ApJ...529..723G,,Ferrarese+2000
NGC4496A,J123139.3+035623,30.75,0.067,,,14.1253754462276,0.442623020745184,,,30.75,Cepheids  ,    51478,Gibson+2001            ,                               ,41471,51478,2001ApJ...547L.103G,,Gibson+2001a
NGC4496A,J123139.3+035623,30.804,0.067,,,14.481053928926,0.45376831631806,,,30.8040008544922,Cepheids  ,    51478,Gibson+2001            ,                               ,41471,51478,2001ApJ...547L.103G,,Gibson+2001b
NGC4496A,J123139.3+035623,30.67,0.13,,,13.6144473029985,0.839945325958166,,,30.6700000762939,Cepheids  ,    51469,Kochanek1997           ,                               ,41471,51469,1997ApJ...491...13K,,Kochanek+1997
NGC4496A,J123139.3+035623,30.91,0.2,,,15.2054742288466,1.46700258291783,,,30.9099998474121,Cepheids  ,    51469,Kochanek1997           ,                               ,41471,51469,1997ApJ...491...13K,,Kochanek+1997
NGC4496A,J123139.3+035623,30.86,0.14,,,14.8593605994982,0.989571325112966,,,30.5308556144206,SNIa      ,    51914,Reindl+2005            ,SNIa:Reindl+2005               ,41471,51914,2005ApJ...624..532R,2005ApJ...624..532R,
NGC4496A,J123139.3+035623,31.34,0.36,,,18.5353175366123,3.34230638951076,,,31.3621786777353,TF        ,    51600,Tully+2008             ,TF:Tully+2008                  ,41471,51600,2008ApJ...676..184T,2008ApJ...676..184T,Freedman+2001
NGC4496A,J123139.3+035623,30.86,,,c,14.8593605994982,,,c,30.8654216482309,Cepheids  ,    51600,Tully+2008             ,Cepheids:Freedman+2001:Z       ,41471,51600,2008ApJ...676..184T,2001ApJ...553...47F,Freedman+2001
NGC4496A,J123139.3+035623,30.86,,,c,14.8593605994982,,,c,30.8654216482309,Cepheids  ,    51258,Solanes+2002           ,Cepheids:Freedman+2001:Z       ,41471,51258,2002AJ....124.2440S,2001ApJ...553...47F,Solanes+2002B
NGC4496A,J123139.3+035623,31.02,0.07,,c,15.9955836581427,0.524035484969804,,c,31.0200004577637,Cepheids  ,    51384,Ferrarese+2000         ,                               ,41471,51384,2000ApJS..128..431F,,Ferrarese+2000
NGC4496A,J123139.3+035623,31.18,,,c,17.2186881697509,,,c,31.1800003051758,Cepheids  ,    52014,Tammann+2008           ,                               ,41471,52014,2008A&ARv..15..289T,,
NGC4496A,J123139.3+035623,30.77,,,c,14.2560789413165,,,c,30.7700004577637,SNIa      ,    52014,Tammann+2008           ,                               ,41471,52014,2008A&ARv..15..289T,,
NGC4496A,J123139.3+035623,30.86,0.03,,c,14.8593605994982,0.20671906117361,,c,30.8600006103516,average   ,    51258,Solanes+2002           ,                               ,41471,51258,2002AJ....124.2440S,,Solanes+2002B
#-- end of data table ----------------------------------------------------------
# 30 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-02-04T01:21:08
