# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          NGC4535
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
NGC4535,J123420.3+081153,30.969,0.054,,,15.6242785346481,0.393421024709552,,,30.9538622969931,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Fouque+2003           ,41812,51510,2003A&A...411..361K,2003LNP...635...21F,
NGC4535,J123420.3+081153,30.85,0.05,,,14.7910864800808,0.344523345358487,,,30.9151397713302,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001         ,41812,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC4535,J123420.3+081153,30.99,0.05,,,15.7761110341285,0.367467160545951,,,30.9954208089975,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001:Z       ,41812,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC4535,J123420.3+081153,31.02,0.055,,,15.9955836581427,0.410319838010096,,,30.9844588819382,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Gieren+1998           ,41812,51510,2003A&A...411..361K,1998ApJ...496...17G,
NGC4535,J123420.3+081153,30.874,0.053,,,14.9554715107224,0.369511761952076,,,30.9285550719812,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003           ,41812,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4535,J123420.3+081153,30.856,0.053,,,14.832015821008,0.366461485041937,,,30.9235346093076,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:PLmax     ,41812,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4535,J123420.3+081153,31.014,0.053,,,15.9514434209172,0.394119701268933,,,30.9988225072797,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Kanbur+2003:Z         ,41812,51510,2003A&A...411..361K,2003A&A...411..361K,
NGC4535,J123420.3+081153,30.87,0.07,,,14.9279498651618,0.489058456032815,,,30.8984289421295,Cepheids  ,    51470,Paturel+2002           ,Cepheids:Lanoix+1999           ,41812,51470,2002A&A...389...19P,1999MNRAS.308..969L,
NGC4535,J123420.3+081153,31.001,0.054,,,15.856228297192,0.39926154483714,,,30.9634351448448,Cepheids  ,    51510,Kanbur+2003            ,Cepheids:Madore+1991           ,41812,51510,2003A&A...411..361K,1991PASP..103..933M,
