# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          M101
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
NGC5457,J140312.6+542057,28.4,,,,4.78630008240118,,,,28.3999996185303,BRSLF     ,    51532,Humphreys+1986         ,                               ,50063,51532,1986AJ.....91..808H,,
NGC5457,J140312.6+542057,29.2,,,,6.9183121399144,,,,29.2000007629395,BS3B      ,    51702,Karachentsev+1994      ,                               ,50063,51702,1994BSAO...38....5K,,
NGC5457,J140312.6+542057,29.18,,,,6.85488322790253,,,,29.1800003051758,BS3R      ,    51702,Karachentsev+1994      ,                               ,50063,51702,1994BSAO...38....5K,,
NGC5457,J140312.6+542057,29.13,0.11,,,6.69884350518728,0.348086441709691,,,29.1951385506271,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001         ,50063,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC5457,J140312.6+542057,29.13,0.11,,,6.69884350518728,0.348086441709691,,,29.135420198646,Cepheids  ,    51278,Freedman+2001          ,Cepheids:Freedman+2001:Z       ,50063,51278,2001ApJ...553...47F,2001ApJ...553...47F,
NGC5457,J140312.6+542057,29.23,0.07,,,7.01455150547626,0.229805549992963,,,29.2584276451324,Cepheids  ,    51470,Paturel+2002           ,Cepheids:Lanoix+1999           ,50063,51470,2002A&A...389...19P,1999MNRAS.308..969L,
NGC5457,J140312.6+542057,29.16,0.04,,,6.79203584890009,0.126276291014315,,,29.0589079753153,Cepheids  ,    51333,Saha+2006              ,Cepheids:Saha+2006             ,50063,51333,2006ApJS..165..108S,2006ApJS..165..108S,
NGC5457,J140312.6+542057,29.18,0.08,,,6.85488322790253,0.257252658278167,,,29.078908433079,Cepheids  ,    51333,Saha+2006              ,Cepheids:Saha+2006             ,50063,51333,2006ApJS..165..108S,2006ApJS..165..108S,
NGC5457,J140312.6+542057,29.08,,,,6.54636151066856,,,,28.9466823821372,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:Galaxy   ,50063,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC5457,J140312.6+542057,29.48,,,,7.87045623779598,,,,29.3466820006675,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:Galaxy   ,50063,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC5457,J140312.6+542057,28.93,,,,6.10942110766541,,,,28.9642192177151,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:LMC      ,50063,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC5457,J140312.6+542057,29.27,,,,7.14496476697043,,,,29.3042193703029,Cepheids  ,    51333,Saha+2006              ,Cepheids:Sandage+2004:LMC      ,50063,51333,2006ApJS..165..108S,2004A&A...424...43S,
NGC5457,J140312.6+542057,29.2,0.08,,,6.9183121399144,0.259633042550846,,,29.2642929014644,Cepheids  ,    51338,Willick+2001           ,Cepheids:Willick+2001          ,50063,51338,2001ApJ...548..564W,2001ApJ...548..564W,Willick+2001
NGC5457,J140312.6+542057,29.06,0.11,,,6.48634274021406,0.33704444094003,,,29.0599994659424,Cepheids  ,    51469,Kochanek1997           ,                               ,50063,51469,1997ApJ...491...13K,,Kochanek+1997
NGC5457,J140312.6+542057,29.32,0.21,,,7.31138980730132,0.742390077218962,,,29.3199996948242,Cepheids  ,    51469,Kochanek1997           ,                               ,50063,51469,1997ApJ...491...13K,,Kochanek+1997
NGC5457,J140312.6+542057,28.93,0.11,,,6.10942110766541,0.317458775179117,,,28.9300003051758,Cepheids  ,    51332,Sakai+2004             ,                               ,50063,51332,2004ApJ...608...42S,,
NGC5457,J140312.6+542057,29.01,0.11,,,6.33869778069321,0.329372488526738,,,29.0100002288818,Cepheids  ,    51332,Sakai+2004             ,                               ,50063,51332,2004ApJ...608...42S,,
NGC5457,J140312.6+542057,29.04,0.186815,,,6.42687988284453,0.577395868264922,,,29.0400009155273,Cepheids  ,    51790,Shappee+2011           ,                               ,50063,51790,2011ApJ...733..124S,,
NGC5457,J140312.6+542057,29.05,0.14,,,6.45654002186276,0.42997858637978,,,29.0499992370605,Cepheids  ,    51256,Stetson+1998           ,                               ,50063,51256,1998ApJ...508..491S,,
NGC5457,J140312.6+542057,29.14,0.09,,,6.72976467125896,0.284786834217295,,,29.1399993896484,Cepheids  ,    51332,Sakai+2004             ,                               ,50063,51332,2004ApJ...608...42S,,
