No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,30.5,0.09,12.6,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
2,30.51,0.09,12.7,Cepheids,2003A&A...411..361K,cte U99,,,,
3,30.53,0.09,12.8,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
4,30.56,0.09,12.9,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
5,30.57,0.1,13.0,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
6,30.59,0.09,13.1,Cepheids,2003A&A...411..361K,cte MF91,,,,
7,30.62,0.09,13.3,Cepheids,2001ApJ...553...47F,"33, VI, +Z, KEY PROJECT",,,,
8,30.64,0.09,13.4,Cepheids,2001ApJ...553...47F,"33, VI, KEY PROJECT",,,,
9,30.64,0.1,13.4,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
10,30.7,0.08,13.8,Cepheids,2001ApJ...548..564W,LMC W01,,,,
11,30.7,0.08,13.8,Cepheids,2002A&A...389...19P,MW HIPP,,,,
12,30.74,0.08,14.1,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
13,30.74,,14.1,Cepheids,2008A&ARv..15..289T,,,,,18.54
15,30.78,0.1,14.3,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
16,30.83,0.18,14.7,Cepheids,2002A&A...389...19P,MW P02,,,,
17,30.91,0.06,15.2,Cepheids,2002A&A...383..398P,"88, VI",,,,
18,30.91,0.06,15.2,Cepheids,2002A&A...389...19P,MW GFG,,,,
19,30.97,,15.6,Cepheids,2006A&A...452..423P,"33, VI",,,,
