#C.D.S.  -  SIMBAD4 rel 1.8  -  2026.02.04CET22:09:27
#
#NGC4258
#-------
#
#Object M 106  ---  Sy2  ---  OID=@609478   (@@136643,0)  ---  coobox=2036
#
#Coordinates(ICRS,ep=J2000,eq=2000): 12 18 57.620  +47 18 13.39 (IR  ) C [~ ~ ] 2006AJ....131.1163S
#
#Identifiers (52):
#   WN B1216.4+4735                      WN B1216.4+4735B                     NVSS J121855+471847                
#   VLSSr J121855.7+471836               [ZEH2003] RX J1219.0+4717 1          [KRL2007b] 111                     
#   B3 1216+475                          GB1 1216+476                         LEDA 39600                         
#   M 106                                MCG+08-22-104                        NGC 4258                           
#   OHIO N 427                           RX J1219.0+4717                      UGC 7353                           
#   VV 448                               XSS J12190+4715                      Z 243-67                           
#   Z 244-3                              [CPF88] 121629.0+473500.0            [VDD93] 154                        
#   2MASX J12185761+4718133              1RXP J121856.4+471755                1RXS J121900.4+471747              
#   RX J1218.9+4718                      SAX J1219.7+4721                     UZC J121857.7+471820               
#   Z 1216.5+4735                        [CHM2007] HDC 706 J121857.61+4718133  [CHM2007] LDC 867 J121857.61+4718133
#   [M98c] 121629.7+473455               [VV2000c] J121857.5+471814           [VV2003c] J121857.5+471814         
#   [VV2006c] J121857.5+471814           [VV98c] J121857.5+471814             PBC J1218.9+4718                   
#   SWIFT J1219.4+4720                   SWIFT J1219.0+4715                   [VV2010c] J121857.5+471814         
#   [BAG2012] 184.7378+47.2874           SDSS J121857.50+471814.3             2XMM J121857.5+471814              
#   87GB 121625.0+473537                 GB6 B1216+4735                       MY 121625.0+471813.7               
#   WB 1216+4735                         7C 121620.39+473545.00               7C 121626.19+473526.00             
#   7C 121635.39+473404.00               VLSS J1218.9+4718                    [NKB95] N4258                      
#   SWIFT J1218.9+4717                                                                                           
#
#Measures (distance:21  ):
distance  | distance Q unit|  err-        err+     | method |     reference     |
distance  |    8.51    Mpc |  -1.69       +1.69    |T-F     |2022MNRAS.511.6160K|
distance  |    6.95    Mpc |  -0.47       +0.47    |T-F     |2020ApJ...902..145K|
distance  |    7.98    Mpc |                       |T-F     |2011ApJS..192....6L|
distance  |    7.59    Mpc |  -0.31       +0.31    |Cep     |2010ApJ...715..277B|
distance  |    7.45    Mpc |  -0.75       +0.75    |Cep     |2010ApJ...715..277B|
distance  |    7.83    Mpc |  -0.86       +0.86    |Cep     |2010ApJ...715..277B|
distance  |    6.85    Mpc |  -0.41       +0.41    |Cep     |2010ApJ...715..277B|
distance  |    7.66    Mpc |                       |redshift|2018MNRAS.479.4136K|
distance  |    7.6208  Mpc |                       |redshift|2019A&A...631A..38L|
distance  |    7.66    Mpc |                       |T-RDB   |2017AJ....153....6K|
distance  |    7.31    Mpc |                       |        |2016AJ....152...50T|
distance  |    7.2     Mpc |                       |T-F     |2014MNRAS.444..527S|
distance  |    7.31    Mpc |  -0.05       +0.05    |        |2013AJ....146...86T|
distance  |    7.1     Mpc |                       |redshift|2011MNRAS.413..813C|
distance  |    7.5     Mpc |                       |        |2011ApJ...739...57K|
distance  |    6.60    Mpc |                       |redshift|2010ApJ...725.2270P|
distance  |    7       Mpc |  -2          +1       |T-F     |2008ApJ...676..184T|
distance  |    7.48    Mpc |                       |Cep     |2008ApJ...676..184T|
distance  |    7.2     Mpc |                       |        |2007ApJS..173..185G|
distance  |    6.85    Mpc |                       |redshift|2007ApJ...655..790C|
distance  |    6.8     Mpc |                       |        |2004ApJ...602..231C|
#
#================================================================================

