#C.D.S.  -  SIMBAD4 rel 1.8  -  2026.02.04CET22:26:37
#
#NGC4414
#-------
#
#Object NGC 4414  ---  GiC  ---  OID=@1928115   (@@115091,0)  ---  coobox=13458
#
#Coordinates(ICRS,ep=J2000,eq=2000): 12 26 27.1276893168  +31 13 24.626206488 (Opt ) C [0.3193 0.6807 90] 2020yCat.1350....0G
#
#Identifiers (38):
#   TGSSADR J122626.9+311328             7C 122358.1+312957                   Gaia DR3 4015140319715926272       
#   Ark 365                              IRAS F12239+3130                     IRAS 12239+3129                    
#   KUG 1223+314                         KUG 1223+315                         LEDA 40692                         
#   MCG+05-29-085                        NGC 4414                             UGC 7539                           
#   Z 1224.0+3130                        Z 158-108                            [KVB99] 19                         
#   2MASX J12262708+3113247              1RXS J122627.3+311322                CAIRNS J122626.88+311323.3         
#   RX J1226.4+3113                      UZC J122626.9+311324                 [CHM2007] HDC 706 J122627.08+3113247
#   [CHM2007] LDC 867 J122627.08+3113247  [M98c] 122358.2+313005               PSCz Q12239+3129                   
#   SDSS J122627.12+311324.5             B2.1 1223+31                         BWE 1223+3130                      
#   GB6 B1223+3130                       MITG J122627+3112                    NVSS J122627+311326                
#   WB 1223+3130                         87GB 122357.6+313037                 WN B1223.9+3130                    
#   6C 122358+313005                     7C 122358.00+313003.00               [CAB95] IRAS F12239+3130           
#   [DC78] UGC 7539                      [NKB95] N4414                                                           
#
#Measures (distance:16  ):
distance  | distance Q unit|  err-        err+     | method |     reference     |
distance  |   17.1     Mpc |  -3.5        +3.5     |T-F     |2022MNRAS.511.6160K|
distance  |   18.362   Mpc |  -0.820      +0.820   |        |2025ApJ...978...77B|
distance  |   16.6     Mpc |  -1.7        +1.7     |kin     |2018ApJ...861...49H|
distance  |   15.63    Mpc |  -1.41       +1.41    |T-F     |2020ApJ...902..145K|
distance  |   17.30    Mpc |  -0.56       +0.56    |Cep     |2010ApJ...715..277B|
distance  |   17.30    Mpc |  -0.88       +0.88    |Cep     |2010ApJ...715..277B|
distance  |   17.86    Mpc |                       |        |2016AJ....152...50T|
distance  |   17.7     Mpc |                       |T-F     |2014MNRAS.444..527S|
distance  |   17.86    Mpc |  -0.09       +0.09    |        |2013AJ....146...86T|
distance  |   17.9     Mpc |                       |redshift|2011MNRAS.413..813C|
distance  |   17       Mpc |  -2          +3       |T-F     |2008ApJ...676..184T|
distance  |   17.70    Mpc |                       |Cep     |2008ApJ...676..184T|
distance  |   19       Mpc |                       |        |2007ApJS..173..185G|
distance  |    9.7     Mpc |                       |        |2007ApJ...659.1176M|
distance  |    8.48    Mpc |                       |redshift|2007ApJ...655..790C|
distance  |   17.7     Mpc |                       |        |2001ApJ...553...47F|
#
#================================================================================

