#C.D.S.  -  SIMBAD4 rel 1.8  -  2026.02.04CET22:28:00
#
#NGC4535
#-------
#
#Object NGC 4535  ---  H2G  ---  OID=@1963370   (@@140163,9)  ---  coobox=13980
#
#Coordinates(ICRS,ep=J2000,eq=2000): 12 34 20.3443516704  +08 11 51.908488116 (Opt ) C [55.2507 60.3201 90] 2020yCat.1350....0G
#
#Identifiers (31):
#   Gaia DR3 3902492020556695424         IRAS F12317+0828                     IRAS 12318+0828                    
#   LEDA 41812                           MCG+01-32-104                        NGC 4535                           
#   UGC 7727                             VCC 1555                             Z 42-159                           
#   [BFA97] 114                          [DSB94] 213                          [YOF95] 191                        
#   2MASX J12342031+0811519              NVSS B123147+082825                  ALFALFA 3-313                      
#   87GB 123152.2+082718                 UZC J123420.3+081153                 Z 1231.8+0828                      
#   [CHM2007] HDC 720 J123420.31+0811519  [CHM2007] LDC 904 J123420.31+0811519  [M98c] 123147.9+082825             
#   PSCz Q12318+0828                     [BEC2010] HRS 204                    HIPASS J1234+08                    
#   WVFSCC J123428+081006                [TDA2012] AGESVC1 269                PCCS1 857 G290.06+70.64            
#   PCCS1 545 G290.09+70.63              SDSS J123420.27+081152.7             SDSS J123421.87+081216.7           
#   EVCC 892                                                                                                     
#
#Measures (distance:14  ):
distance  | distance Q unit|  err-        err+     | method |     reference     |
distance  |   11.9     Mpc |  -2.5        +2.5     |T-F     |2022MNRAS.511.6160K|
distance  |   14.8     Mpc |  -1.5        +1.5     |kin     |2018ApJ...861...49H|
distance  |   11.69    Mpc |  -1.26       +1.26    |T-F     |2020ApJ...902..145K|
distance  |   15.56    Mpc |  -1.36       +1.36    |Cep     |2010ApJ...715..277B|
distance  |   15.56    Mpc |  -1.50       +1.50    |Cep     |2010ApJ...715..277B|
distance  |   14.928   Mpc |                       |redshift|2019A&A...631A..38L|
distance  |   16.14    Mpc |                       |        |2016AJ....152...50T|
distance  |   16.14    Mpc |  -0.09       +0.09    |        |2013AJ....146...86T|
distance  |   15.8     Mpc |                       |redshift|2011MNRAS.413..813C|
distance  |   15.78    Mpc |                       |Cep     |2008ApJ...676..184T|
distance  |   14       Mpc |  -2          +2       |T-F     |2008ApJ...676..184T|
distance  |   16.12    Mpc |                       |        |2008AJ....136..713K|
distance  |   19.70    Mpc |                       |redshift|2007ApJ...655..790C|
distance  |   19.75    Mpc |                       |redshift|2007ApJ...655..790C|
#
#================================================================================

