,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,IC0010,1,24.1,0.19000000000000003,--,--,--,--,--,--
1,M101,7,29.1584356040935,0.028598486775497204,0.044110334193599096,0.0484068613593364,0.04663671538383696,0.0516751293886486,0.028537030402346692,0.05408133760215869
2,M33,10,24.579050491249713,0.011775650398657264,0.09557480812989369,0.10274899005067833,0.10726564477813127,0.11106924421432751,0.011853374406335306,0.288194965770117
3,M81,11,27.755495763372668,0.023215541701929108,0.014629297559839546,0.014547330632287223,0.014291790482143796,0.014259051735702855,0.02322240791931597,0.010346504838833221
4,MRK116,1,31.379999999999995,0.17,--,--,--,--,--,--
5,NGC0925,6,29.780200804679115,0.022698640855019974,0.012414788761454666,0.013023451550885795,0.01197951069400105,0.012750931889666361,0.022574216176411907,0.008400352000547347
6,NGC2403,1,27.48,0.1,--,--,--,--,--,--
7,NGC2541,5,30.322696208741686,0.028373035621186173,0.029617634511929693,0.03319776358475411,0.02822939774111788,0.029583816879291902,0.028143046359905177,0.03258830282746529
8,NGC3198,6,30.758171660741485,0.027043219176028997,0.022265488657524563,0.023854922549857563,0.02157148449839852,0.019542995640314587,0.027119298940314056,0.023177275243027474
9,NGC3319,6,30.647139759511138,0.03574004308994274,0.03565978446313949,0.03856112012955415,0.03499467299855041,0.03417671145847834,0.03580854057356952,0.04479626093203246
10,NGC4258,21,29.317987625582475,0.012672868537039398,0.036499356724644265,0.03580332904082657,0.03592062489708425,0.03590584512397399,0.012589724070784684,0.07118084083570757
11,NGC4395,1,28.02,0.18,--,--,--,--,--,--
12,NGC6822,8,23.306094022590276,0.0186356406558916,0.025061625419182065,0.021797472607498387,0.022767064869857023,0.021523663469725562,0.01859263936849471,0.025842245925514307
