,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,IC0010,13,24.308865586575035,0.011874370283577507,0.024991047405480096,0.025530571407204338,0.025160973235902162,0.025219420043359975,0.011867873645638785,0.04383594143762537
1,IC2574,5,27.918603773584906,0.014743082804014828,0.014477758601428506,0.01597290138980672,0.014871061331422908,0.015128938668574676,0.014828864533616905,0.014905029561507648
2,M33,15,24.706311350112887,0.01481142134472641,0.030894560483642506,0.029643210431887185,0.029674479517307617,0.029798635475668078,0.014878799743284142,0.046741171566757785
3,M81,9,27.78292617449664,0.013189379498051611,0.02467538669776605,0.021952531278327216,0.021951838885673425,0.022545665586672925,0.013308990595176767,0.04615042599626533
4,M101,26,29.26754358880056,0.006394514299852031,0.014910579731964363,0.015260269946823307,0.01504649054652063,0.0150943269960635,0.006447379551606107,0.024580308192114566
5,MRK116,1,31.3,0.17,--,--,--,--,--,--
6,NGC2366,5,27.558569585268103,0.020543023697951888,0.02093936807974261,0.01265007563921952,0.015107454169147161,0.012327315089450508,0.020332941575215355,0.010179527805059846
7,NGC2403,5,27.48811433153855,0.025687923249024025,0.02333698013370006,0.02460216185790029,0.02334777707277169,0.02578789421019323,0.02571287246800975,0.016181434172244654
8,NGC4214,11,27.358982396980405,0.01726425741854797,0.021111974240055034,0.020801424393238573,0.02325147107044856,0.021899703142938876,0.017248504386164154,0.012902808277986037
9,NGC4236,3,28.232726238830217,0.08922902923832565,0.04885237524090946,0.016610852795128903,0.025439658870055837,0.012261990249580634,0.08821730698175992,0.01201374962611786
10,NGC4258,6,29.35770461227402,0.016626236215818303,0.026090623290718894,0.018353359064033736,0.025013169448694583,0.020156657213416196,0.016559824986108588,0.020764961243911743
11,NGC4395,3,28.418476276006587,0.0195748862380309,0.02299044830419583,0.0022771430719014905,0.01930336973303426,0.013367240410463666,0.019608325929946015,0.001780407237668674
12,NGC6822,5,23.305082692014217,0.035080408626994,0.015950450367471093,0.014273968369618398,0.014748865814741663,0.013208086754634252,0.0351609131720532,0.00714694571659349
