MEMORY MONTH DAY YEAR NAME FOLDER
12288 ago  5  2022 NGC0001  /data2/CALIFA
4096 ago 24  2018 NGC0014  /data2/CALIFA
12288 mar 21  2020 NGC0023  /data2/CALIFA
12288 ago  5  2022 NGC0036  /data2/CALIFA
4096 ago 24  2018 NGC0155  /data2/CALIFA
4096 abr  8  2020 NGC0160  /data2/CALIFA
16384 ago  4  2022 NGC0165  /data2/CALIFA
4096 ago 24  2018 NGC0169  /data2/CALIFA
12288 mar 30  2020 NGC0171  /data2/CALIFA
4096 nov  1  2018 NGC0177  /data2/CALIFA
12288 mar 24  2020 NGC0180  /data2/CALIFA
12288 ago  5  2022 NGC0192  /data2/CALIFA
12288 ago  1  2022 NGC0214  /data2/CALIFA
4096 ago 24  2018 NGC0216  /data2/CALIFA
4096 abr 13  2020 NGC0217  /data2/CALIFA
4096 ago 24  2018 NGC0234  /data2/CALIFA
12288 ago  8  2022 NGC0237  /data2/CALIFA
12288 ago  2  2022 NGC0257  /data2/CALIFA
12288 mar 27  2020 NGC0309  /data2/CALIFA
4096 abr  3  2020 NGC0364  /data2/CALIFA
4096 sep  6  2018 NGC0426  /data2/CALIFA
4096 mar 29  2020 NGC0429  /data2/CALIFA
12288 ago  5  2022 NGC0444  /data2/CALIFA
4096 ago 24  2018 NGC0447  /data2/CALIFA
12288 ago  5  2022 NGC0477  /data2/CALIFA
4096 ago 24  2018 NGC0495  /data2/CALIFA
12288 ago  5  2022 NGC0496  /data2/CALIFA
4096 abr 10  2020 NGC0499  /data2/CALIFA
4096 ago 24  2018 NGC0504  /data2/CALIFA
4096 sep  6  2018 NGC0515  /data2/CALIFA
4096 abr 11  2020 NGC0517  /data2/CALIFA
4096 ago 24  2018 NGC0523  /data2/CALIFA
4096 mar 21  2020 NGC0528  /data2/CALIFA
4096 mar 29  2020 NGC0529  /data2/CALIFA
4096 ago 24  2018 NGC0548  /data2/CALIFA
12288 ago  8  2022 NGC0551  /data2/CALIFA
4096 ago 24  2018 NGC0570  /data2/CALIFA
4096 ago 24  2018 NGC0675  /data2/CALIFA
4096 abr  3  2020 NGC0677  /data2/CALIFA
12288 jul 31  2022 NGC0681  /data2/CALIFA
12288 ago  8  2022 NGC0693  /data2/CALIFA
12288 nov 12  2018 NGC0716  /data2/CALIFA
4096 ago 24  2018 NGC0731  /data2/CALIFA
4096 abr 14  2020 NGC0741  /data2/CALIFA
12288 jul 31  2022 NGC0755  /data2/CALIFA
12288 ago  4  2022 NGC0768  /data2/CALIFA
4096 sep  5  2018 NGC0774  /data2/CALIFA
12288 abr 12  2020 NGC0776  /data2/CALIFA
4096 sep 27  2018 NGC0781  /data2/CALIFA
4096 sep  6  2018 NGC0784  /data2/CALIFA
4096 ago  1  2022 NGC0787  /data2/CALIFA
4096 abr 11  2020 NGC0810  /data2/CALIFA
12288 abr  1  2020 NGC0825  /data2/CALIFA
4096 abr 26  2020 NGC0833  /data2/CALIFA
4096 abr 28  2020 NGC0842  /data2/CALIFA
4096 ago 24  2018 NGC0873  /data2/CALIFA
4096 abr  5  2020 NGC0924  /data2/CALIFA
4096 abr  2  2020 NGC0932  /data2/CALIFA
4096 mar 28  2020 NGC0938  /data2/CALIFA
12288 ago  5  2022 NGC0941  /data2/CALIFA
4096 ago 24  2018 NGC0955  /data2/CALIFA
4096 mar 28  2020 NGC0962  /data2/CALIFA
4096 ago 24  2018 NGC0976  /data2/CALIFA
4096 ago 24  2018 NGC0991  /data2/CALIFA
4096 abr  1  2020 NGC1026  /data2/CALIFA
4096 abr  7  2020 NGC1041  /data2/CALIFA
4096 ago 24  2018 NGC1056  /data2/CALIFA
4096 abr 11  2020 NGC1060  /data2/CALIFA
12288 jul 31  2022 NGC1070  /data2/CALIFA
4096 sep  6  2018 NGC1093  /data2/CALIFA
12288 ago  5  2022 NGC1094  /data2/CALIFA
4096 abr 11  2020 NGC1132  /data2/CALIFA
12288 ago 24  2018 NGC1142  /data2/CALIFA
12288 abr  4  2020 NGC1167  /data2/CALIFA
4096 abr 14  2020 NGC1211  /data2/CALIFA
12288 ago  3  2022 NGC1324  /data2/CALIFA
12288 ago  4  2022 NGC1349  /data2/CALIFA
4096 abr  9  2020 NGC1361  /data2/CALIFA
12288 ago  7  2022 NGC1542  /data2/CALIFA
12288 abr  8  2020 NGC1645  /data2/CALIFA
4096 ago 24  2018 NGC1656  /data2/CALIFA
4096 ago 24  2018 NGC1659  /data2/CALIFA
4096 abr  4  2020 NGC1665  /data2/CALIFA
4096 mar 29  2020 NGC1666  /data2/CALIFA
4096 ago 24  2018 NGC1667  /data2/CALIFA
4096 ago 24  2018 NGC1677  /data2/CALIFA
4096 sep 14  2018 NGC2253  /data2/CALIFA
12288 ago 24  2018 NGC2347  /data2/CALIFA
12288 ago  4  2022 NGC2410  /data2/CALIFA
12288 ago  5  2022 NGC2449  /data2/CALIFA
4096 ago 24  2018 NGC2476  /data2/CALIFA
4096 ago 24  2018 NGC2480  /data2/CALIFA
4096 ago 24  2018 NGC2481  /data2/CALIFA
4096 sep 14  2018 NGC2486  /data2/CALIFA
12288 ago  4  2022 NGC2487  /data2/CALIFA
4096 mar 28  2020 NGC2507  /data2/CALIFA
4096 abr 13  2020 NGC2513  /data2/CALIFA
4096 mar 19  2020 NGC2522  /data2/CALIFA
12288 ago 24  2018 NGC2530  /data2/CALIFA
12288 ago  8  2022 NGC2540  /data2/CALIFA
4096 ago 24  2018 NGC2543  /data2/CALIFA
4096 abr  3  2020 NGC2553  /data2/CALIFA
4096 ago 24  2018 NGC2554  /data2/CALIFA
4096 ago 24  2018 NGC2558  /data2/CALIFA
12288 ago  2  2022 NGC2565  /data2/CALIFA
12288 ago  4  2022 NGC2572  /data2/CALIFA
4096 mar 24  2020 NGC2577  /data2/CALIFA
4096 ago 24  2018 NGC2592  /data2/CALIFA
12288 ago  8  2022 NGC2595  /data2/CALIFA
12288 ago  8  2022 NGC2596  /data2/CALIFA
4096 ago 24  2018 NGC2604  /data2/CALIFA
4096 ago 24  2018 NGC2623  /data2/CALIFA
4096 ago 24  2018 NGC2638  /data2/CALIFA
12288 ago 24  2018 NGC2639  /data2/CALIFA
4096 ago 24  2018 NGC2691  /data2/CALIFA
4096 ago 24  2018 NGC2730  /data2/CALIFA
12288 ago  2  2022 NGC2730_abdias  /data2/CALIFA
4096 ago 24  2018 NGC2780  /data2/CALIFA
4096 nov  6  2018 NGC2793  /data2/CALIFA
12288 abr  6  2020 NGC2805  /data2/CALIFA
4096 ago 24  2018 NGC2880  /data2/CALIFA
12288 ago 24  2018 NGC2906  /data2/CALIFA
12288 ago  2  2022 NGC2916  /data2/CALIFA
4096 mar 21  2020 NGC2918  /data2/CALIFA
4096 ago 24  2018 NGC3057  /data2/CALIFA
12288 mar 31  2020 NGC3106  /data2/CALIFA
4096 abr 10  2020 NGC3158  /data2/CALIFA
4096 abr 12  2020 NGC3160  /data2/CALIFA
4096 ago 24  2018 NGC3220  /data2/CALIFA
4096 ago 24  2018 NGC3300  /data2/CALIFA
4096 ago 24  2018 NGC3303  /data2/CALIFA
4096 ago 24  2018 NGC3353  /data2/CALIFA
4096 ago 24  2018 NGC3381  /data2/CALIFA
4096 ago 24  2018 NGC3395  /data2/CALIFA
4096 ago 24  2018 NGC3406NED01  /data2/CALIFA
4096 ago 24  2018 NGC3600  /data2/CALIFA
12288 ago  4  2022 NGC3614  /data2/CALIFA
4096 mar 27  2020 NGC3615  /data2/CALIFA
12288 ago  1  2022 NGC3619  /data2/CALIFA
12288 ago 24  2018 NGC3687  /data2/CALIFA
4096 ago 24  2018 NGC3811  /data2/CALIFA
12288 ago  4  2022 NGC3815  /data2/CALIFA
4096 ago 24  2018 NGC3896  /data2/CALIFA
4096 ago 24  2018 NGC3991  /data2/CALIFA
4096 ago 24  2018 NGC3994  /data2/CALIFA
4096 abr  8  2020 NGC4003  /data2/CALIFA
4096 ago 24  2018 NGC4047  /data2/CALIFA
12288 ago  2  2022 NGC4149  /data2/CALIFA
12288 ago  2  2022 NGC4185  /data2/CALIFA
12288 ago  1  2022 NGC4210  /data2/CALIFA
12288 ago 24  2018 NGC4211NED02  /data2/CALIFA
12288 ago  4  2022 NGC4470  /data2/CALIFA
12288 may 29  2020 NGC4644  /data2/CALIFA
12288 ago 24  2018 NGC4676A  /data2/CALIFA
4096 ago 24  2018 NGC4676B  /data2/CALIFA
4096 ago 24  2018 NGC4711  /data2/CALIFA
4096 abr 13  2020 NGC4816  /data2/CALIFA
4096 mar 16  2020 NGC4841A  /data2/CALIFA
4096 abr 15  2020 NGC4874  /data2/CALIFA
4096 ago 24  2018 NGC4956  /data2/CALIFA
4096 ago 24  2018 NGC4961  /data2/CALIFA
12288 ago  6  2022 NGC5000  /data2/CALIFA
4096 ago 24  2018 NGC5016  /data2/CALIFA
4096 abr 11  2020 NGC5029  /data2/CALIFA
4096 ago 24  2018 NGC5056  /data2/CALIFA
4096 sep 17  2018 NGC5145  /data2/CALIFA
4096 abr  9  2020 NGC5157  /data2/CALIFA
4096 sep 14  2018 NGC5198  /data2/CALIFA
12288 jul 31  2022 NGC5205  /data2/CALIFA
4096 abr 11  2020 NGC5216  /data2/CALIFA
4096 ago 24  2018 NGC5218  /data2/CALIFA
12288 ago  2  2022 NGC5267  /data2/CALIFA
12288 ago  8  2022 NGC5289  /data2/CALIFA
12288 ago  6  2022 NGC5320  /data2/CALIFA
4096 ago 24  2018 NGC5358  /data2/CALIFA
20480 ago  6  2022 NGC5376  /data2/CALIFA
12288 jul 31  2022 NGC5378  /data2/CALIFA
4096 ago 24  2018 NGC5379  /data2/CALIFA
12288 ago  5  2022 NGC5379_abdias  /data2/CALIFA
12288 ago 24  2018 NGC5394  /data2/CALIFA
4096 ago 24  2018 NGC5402  /data2/CALIFA
12288 jul 31  2022 NGC5402_abdias  /data2/CALIFA
12288 ago  2  2022 NGC5406  /data2/CALIFA
4096 sep 14  2018 NGC5473  /data2/CALIFA
4096 ago 24  2018 NGC5475  /data2/CALIFA
4096 ago 24  2018 NGC5480  /data2/CALIFA
4096 ago 24  2018 NGC5481  /data2/CALIFA
4096 abr  4  2020 NGC5485  /data2/CALIFA
4096 ago 24  2018 NGC5520  /data2/CALIFA
12288 ago  4  2022 NGC5614  /data2/CALIFA
4096 ago 24  2018 NGC5630  /data2/CALIFA
4096 ago 24  2018 NGC5631  /data2/CALIFA
4096 ago 24  2018 NGC5633  /data2/CALIFA
4096 ago 24  2018 NGC5657  /data2/CALIFA
12288 ago 24  2018 NGC5682  /data2/CALIFA
4096 oct 18  2018 NGC5687  /data2/CALIFA
12288 ago  2  2022 NGC5720  /data2/CALIFA
4096 ago 24  2018 NGC5732  /data2/CALIFA
12288 mar 30  2020 NGC5732_abdias  /data2/CALIFA
12288 mar 31  2020 NGC5784  /data2/CALIFA
4096 ago 24  2018 NGC5794  /data2/CALIFA
4096 ago 24  2018 NGC5797  /data2/CALIFA
4096 ago 24  2018 NGC5876  /data2/CALIFA
12288 abr  6  2020 NGC5888  /data2/CALIFA
12288 ago 24  2018 NGC5908  /data2/CALIFA
4096 ago 24  2018 NGC5928  /data2/CALIFA
4096 ago 24  2018 NGC5929  /data2/CALIFA
4096 ago 24  2018 NGC5930  /data2/CALIFA
4096 ago 24  2018 NGC5934  /data2/CALIFA
4096 sep 18  2018 NGC5935  /data2/CALIFA
4096 ago 24  2018 NGC5947  /data2/CALIFA
4096 ago 24  2018 NGC5950  /data2/CALIFA
12288 ago  6  2022 NGC5951  /data2/CALIFA
4096 ago 24  2018 NGC5953  /data2/CALIFA
4096 ago 24  2018 NGC5954  /data2/CALIFA
16384 jul 31  2022 NGC5957  /data2/CALIFA
4096 abr 15  2020 NGC5966  /data2/CALIFA
12288 ago  2  2022 NGC5971  /data2/CALIFA
4096 ago 24  2018 NGC5980  /data2/CALIFA
4096 ago 24  2018 NGC5987  /data2/CALIFA
12288 ago  2  2022 NGC6004  /data2/CALIFA
4096 ago 24  2018 NGC6020  /data2/CALIFA
4096 mar 31  2020 NGC6021  /data2/CALIFA
4096 ago 24  2018 NGC6027  /data2/CALIFA
20480 mar  4  2020 NGC6032  /data2/CALIFA
4096 ago 24  2018 NGC6060  /data2/CALIFA
12288 ago  1  2022 NGC6060_abdias  /data2/CALIFA
4096 ago 24  2018 NGC6063  /data2/CALIFA
4096 mar 23  2020 NGC6081  /data2/CALIFA
4096 ago 24  2018 NGC6090  /data2/CALIFA
4096 mar 23  2020 NGC6125  /data2/CALIFA
4096 ago 24  2018 NGC6132  /data2/CALIFA
12288 ago  1  2022 NGC6132_abdias  /data2/CALIFA
4096 abr  4  2020 NGC6146  /data2/CALIFA
4096 ago 24  2018 NGC6150B  /data2/CALIFA
4096 abr 13  2020 NGC6150  /data2/CALIFA
12288 jul 31  2022 NGC6154  /data2/CALIFA
12288 ago  8  2022 NGC6155  /data2/CALIFA
4096 sep 27  2018 NGC6166NED01  /data2/CALIFA
12288 ago 24  2018 NGC6168  /data2/CALIFA
4096 abr 13  2020 NGC6173  /data2/CALIFA
4096 ago 24  2018 NGC6186  /data2/CALIFA
4096 abr  9  2020 NGC6278  /data2/CALIFA
12288 ago 24  2018 NGC6301  /data2/CALIFA
12288 ago  2  2022 NGC6310  /data2/CALIFA
4096 abr  7  2020 NGC6314  /data2/CALIFA
4096 abr 10  2020 NGC6338  /data2/CALIFA
12288 mar  4  2020 NGC6361  /data2/CALIFA
4096 ago 24  2018 NGC6394  /data2/CALIFA
12288 mar 28  2020 NGC6394_abdias  /data2/CALIFA
4096 ago 24  2018 NGC6411  /data2/CALIFA
4096 ago 24  2018 NGC6427  /data2/CALIFA
12288 ago  8  2022 NGC6478  /data2/CALIFA
4096 ago 24  2018 NGC6497  /data2/CALIFA
4096 abr 13  2020 NGC6515  /data2/CALIFA
4096 ago 24  2018 NGC6762  /data2/CALIFA
4096 sep 20  2018 NGC6789  /data2/CALIFA
4096 ago 24  2018 NGC6941  /data2/CALIFA
4096 ago 24  2018 NGC6945  /data2/CALIFA
4096 ago 24  2018 NGC6977  /data2/CALIFA
12288 abr 13  2020 NGC6978  /data2/CALIFA
12288 abr 10  2020 NGC7025  /data2/CALIFA
12288 mar  4  2020 NGC7047  /data2/CALIFA
4096 abr 11  2020 NGC7194  /data2/CALIFA
4096 sep 17  2018 NGC7236  /data2/CALIFA
4096 sep 24  2018 NGC7253B  /data2/CALIFA
12288 ago  8  2022 NGC7311  /data2/CALIFA
12288 ago  5  2022 NGC7321  /data2/CALIFA
12288 ago  1  2022 NGC7364  /data2/CALIFA
4096 abr 12  2020 NGC7436B  /data2/CALIFA
4096 sep 20  2018 NGC7457  /data2/CALIFA
12288 abr  7  2020 NGC7466  /data2/CALIFA
4096 sep 24  2018 NGC7469  /data2/CALIFA
12288 ago  4  2022 NGC7489  /data2/CALIFA
12288 ago  1  2022 NGC7536  /data2/CALIFA
4096 ago 17  2021 NGC7549  /data2/CALIFA
4096 abr 11  2020 NGC7550  /data2/CALIFA
4096 ago 24  2018 NGC7559B  /data2/CALIFA
4096 abr  3  2020 NGC7562  /data2/CALIFA
4096 abr  3  2020 NGC7563  /data2/CALIFA
12288 ago  5  2022 NGC7591  /data2/CALIFA
12288 ago  2  2022 NGC7608  /data2/CALIFA
4096 abr 11  2020 NGC7611  /data2/CALIFA
4096 abr 12  2020 NGC7619  /data2/CALIFA
4096 abr  9  2020 NGC7623  /data2/CALIFA
4096 ago 24  2018 NGC7625  /data2/CALIFA
12288 ago  2  2022 NGC7631  /data2/CALIFA
12288 ago  2  2022 NGC7653  /data2/CALIFA
4096 mar 27  2020 NGC7671  /data2/CALIFA
4096 ago 24  2018 NGC7683  /data2/CALIFA
4096 mar 20  2020 NGC7684  /data2/CALIFA
4096 ago 24  2018 NGC7691  /data2/CALIFA
4096 ago 24  2018 NGC7711  /data2/CALIFA
4096 ago 24  2018 NGC7716  /data2/CALIFA
4096 mar 22  2020 NGC7722  /data2/CALIFA
12288 ago  2  2022 NGC7738  /data2/CALIFA
12288 abr  5  2020 NGC7782  /data2/CALIFA
4096 ago 24  2018 NGC7783NED01  /data2/CALIFA
4096 ago 24  2018 NGC7787  /data2/CALIFA
4096 ago 24  2018 NGC7800  /data2/CALIFA
12288 ago  5  2022 NGC7819  /data2/CALIFA
4096 mar 28  2020 NGC7824  /data2/CALIFA
4096 ago 23  2018 2MASXJ01331766+1319567  /data3/CALIFA.COMB
4096 may  8 08:58 ARP143  /data3/CALIFA.COMB
4096 abr 26  2020 ARP180  /data3/CALIFA.COMB
4096 ago 23  2018 ARP220  /data3/CALIFA.COMB
4096 ago 23  2018 CGCG163-062  /data3/CALIFA.COMB
4096 sep 14  2018 CGCG251-041  /data3/CALIFA.COMB
4096 ago 23  2018 CGCG429-012  /data3/CALIFA.COMB
4096 ago 23  2018 CGCG536-030  /data3/CALIFA.COMB
12288 abr  5  2020 ESO539-G014  /data3/CALIFA.COMB
4096 ago  2  2022 ESO540-G003  /data3/CALIFA.COMB
4096 sep  6  2018 IC0010  /data3/CALIFA.COMB
4096 ago 23  2018 IC0159  /data3/CALIFA.COMB
12288 abr  8  2020 IC0307  /data3/CALIFA.COMB
4096 ago 23  2018 IC0480  /data3/CALIFA.COMB
4096 abr 11  2020 IC0485  /data3/CALIFA.COMB
4096 mar 23  2020 IC0540  /data3/CALIFA.COMB
12288 jul 30  2022 IC0674  /data3/CALIFA.COMB
4096 ago 23  2018 IC0776  /data3/CALIFA.COMB
4096 abr 13  2020 IC0944  /data3/CALIFA.COMB
4096 ago 23  2018 IC1078  /data3/CALIFA.COMB
4096 abr 14  2020 IC1079  /data3/CALIFA.COMB
12288 ago 23  2018 IC1151  /data3/CALIFA.COMB
12288 ago  1  2022 IC1151_abdias  /data3/CALIFA.COMB
4096 mar 27  2020 IC1199  /data3/CALIFA.COMB
12288 mar 22  2020 IC1256  /data3/CALIFA.COMB
4096 ago 23  2018 IC1528  /data3/CALIFA.COMB
4096 mar 19  2020 IC1652  /data3/CALIFA.COMB
12288 mar 31  2020 IC1683  /data3/CALIFA.COMB
4096 sep 20  2018 IC1689  /data3/CALIFA.COMB
4096 abr  9  2020 IC1755  /data3/CALIFA.COMB
12288 ago 23  2018 IC2095  /data3/CALIFA.COMB
4096 mar 23  2020 IC2098  /data3/CALIFA.COMB
12288 jul 31  2022 IC2101  /data3/CALIFA.COMB
12288 ago 23  2018 IC2247  /data3/CALIFA.COMB
4096 mar 31  2020 IC2341  /data3/CALIFA.COMB
4096 ago 23  2018 IC2361  /data3/CALIFA.COMB
12288 ago  2  2022 IC2361_abdias  /data3/CALIFA.COMB
4096 sep 20  2018 IC2407  /data3/CALIFA.COMB
12288 jul 30  2022 IC2487  /data3/CALIFA.COMB
4096 ago 23  2018 IC2604  /data3/CALIFA.COMB
4096 mar 21  2020 IC3598  /data3/CALIFA.COMB
4096 ago 23  2018 IC3631  /data3/CALIFA.COMB
4096 sep  6  2018 IC4215  /data3/CALIFA.COMB
12288 may 29  2020 IC4566  /data3/CALIFA.COMB
4096 ago 23  2018 IC5309  /data3/CALIFA.COMB
4096 ago  1  2022 IC5376  /data3/CALIFA.COMB
4096 sep 10  2018 KUG0210-078  /data3/CALIFA.COMB
4096 ago 23  2018 KUG1349+143  /data3/CALIFA.COMB
4096 abr 10  2020 MCG-01-01-012  /data3/CALIFA.COMB
12288 abr 20  2020 MCG-01-09-006  /data3/CALIFA.COMB
4096 ago 23  2018 MCG-01-10-015  /data3/CALIFA.COMB
12288 ago  2  2022 MCG-01-10-015_abdias  /data3/CALIFA.COMB
12288 ago  4  2022 MCG-01-10-019  /data3/CALIFA.COMB
4096 ago 23  2018 MCG-01-52-012  /data3/CALIFA.COMB
12288 ago 23  2018 MCG-01-54-016  /data3/CALIFA.COMB
16384 ago  3  2022 MCG-02-02-030  /data3/CALIFA.COMB
12288 ago  4  2022 MCG-02-02-040  /data3/CALIFA.COMB
4096 sep  6  2018 MCG-02-03-015  /data3/CALIFA.COMB
4096 sep 10  2018 MCG-02-08-014  /data3/CALIFA.COMB
12288 abr 14  2020 MCG-02-51-004  /data3/CALIFA.COMB
4096 ago 23  2018 Mrk1418  /data3/CALIFA.COMB
4096 ago 23  2018 SDSSJ015424  /data3/CALIFA.COMB
4096 ago 23  2018 SDSSJ100141.02+371447.4  /data3/CALIFA.COMB
4096 ago  1  2022 UGC00005  /data3/CALIFA.COMB
4096 sep 27  2018 UGC00029  /data3/CALIFA.COMB
12288 ago  8  2022 UGC00036  /data3/CALIFA.COMB
4096 ago 23  2018 UGC00139  /data3/CALIFA.COMB
4096 ago 23  2018 UGC00148  /data3/CALIFA.COMB
12288 ago  2  2022 UGC00148_abdias  /data3/CALIFA.COMB
4096 ago 23  2018 UGC00312  /data3/CALIFA.COMB
4096 ago 23  2018 UGC00312NED01  /data3/CALIFA.COMB
4096 oct  1  2018 UGC00335NED01  /data3/CALIFA.COMB
4096 abr 15  2020 UGC00335NED02  /data3/CALIFA.COMB
4096 oct 18  2018 UGC00386  /data3/CALIFA.COMB
12288 ago  2  2022 UGC00809  /data3/CALIFA.COMB
12288 ago  8  2022 UGC00841  /data3/CALIFA.COMB
4096 mar 21  2020 UGC00987  /data3/CALIFA.COMB
4096 jul 31  2022 UGC01057  /data3/CALIFA.COMB
4096 ago 23  2018 UGC01062  /data3/CALIFA.COMB
4096 ago  4  2022 UGC01123  /data3/CALIFA.COMB
4096 mar 27  2020 UGC01271  /data3/CALIFA.COMB
4096 oct  3  2018 UGC01274  /data3/CALIFA.COMB
12288 abr 13  2020 UGC01368  /data3/CALIFA.COMB
4096 ago  2  2022 UGC01659  /data3/CALIFA.COMB
4096 mar 28  2020 UGC01749  /data3/CALIFA.COMB
12288 ago  1  2022 UGC01918  /data3/CALIFA.COMB
4096 ago  2  2022 UGC01938  /data3/CALIFA.COMB
4096 ago 23  2018 UGC02018  /data3/CALIFA.COMB
4096 mar 31  2020 UGC02099  /data3/CALIFA.COMB
12288 ago  8  2022 UGC02134  /data3/CALIFA.COMB
4096 ago 23  2018 UGC02222  /data3/CALIFA.COMB
4096 ago 23  2018 UGC02229  /data3/CALIFA.COMB
4096 ago  1  2022 UGC02239  /data3/CALIFA.COMB
4096 ago 23  2018 UGC02311  /data3/CALIFA.COMB
12288 ago  2  2022 UGC02311_abdias  /data3/CALIFA.COMB
12288 ago  5  2022 UGC02319  /data3/CALIFA.COMB
4096 sep 27  2018 UGC02367  /data3/CALIFA.COMB
4096 ago 23  2018 UGC02403  /data3/CALIFA.COMB
12288 mar 22  2020 UGC02403_abdias  /data3/CALIFA.COMB
