,OBJ,ra,dec
0,LMC,80.89417,-69.75611
1,IC0010,5.07205,59.30385
2,MESSIER033,23.46204,30.66022
3,MESSIER081,148.88822,69.06529
4,MESSIER101,210.80227,54.34895
5,MRK0116,143.50845,55.24107
6,NGC0925,36.82016,33.57912
7,NGC2366,112.22542,69.21497
8,NGC2403,114.21374,65.60268
9,NGC2541,123.66728,49.06193
10,NGC3198,154.97918,45.54982
11,NGC3319,159.78939,41.68669
12,MESSIER106,184.7396,47.30397
13,NGC4395,186.45358,33.54686
14,NGC6822,296.24042,-14.80333
15,NGC1073,40.91883,1.37614
16,NGC2500,120.47154,50.73714
17,NGC3184,154.57057,41.42428
18,MESSIER096,161.69035,11.82
19,NGC3370,161.76701,17.27378
20,MESSIER066,170.06254,12.99161
21,NGC4214,183.91321,36.32689
22,NGC4414,186.61312,31.22353
23,NGC4496,187.91333,3.93944
24,NGC4535,188.58458,8.19792
25,NGC4536,188.61278,2.18824
26,NGC4725,192.61072,25.50077
27,UGC08091,194.66845,14.21739
28,NGC5204,202.40213,58.41872
29,UGC09128,213.98478,23.05501
30,NGC5584,215.599,-0.38767
