No.,Object Name,RA,Dec,Object Type,Redshift (z)
1,UM 199,1.7376141,0.8571812,G,0.07368165
2,UM 282,12.947112,0.16112404,G,0.037556257
3,UM 336,23.4361743,0.9530784,G,0.019235605
4,MRK 0627,131.6433974,36.4389781,G,0.0106340233549171
5,SBS 0934+546,144.5563008,54.4736184,G,0.102102056
6,UM 455,177.5992087,-0.5282325,G,0.0128859999
7,UM 570,200.94775,-1.5477633,G,0.022448
8,ESO 383-IG 043,204.28496,-32.92506,G,0.01217
9,UM 162,352.4022941,-1.182524,G,0.06599529
10,WISEA J084220.93+115001.2,130.5872411,11.8336909,G,0.02944152
11,KUG 0952+418,148.939744,41.575092,G,0.015659137
12,TON 0542,161.8483898,30.3622841,G,0.02944653
13,SHOC 391,193.2748505,-3.2163223,G,0.022723058
14,WAS 69,201.4558777,33.0651771,G,0.01462014
15,WAS 17,167.1603851,22.6360635,G,0.023815481
16,WISEA J095000.75+300340.9,147.5031371,30.061366,G,0.017297493
17,WISEA J095227.57+322810.3,148.1149003,32.4695289,G,0.014931013
18,WISEA J094252.78+354725.7,145.7199432,35.7904965,G,0.014856592
19,WISEA J105040.86+342946.3,162.6702805,34.4962189,G,0.052196342
20,SCHG 0513-393,78.83241195974,-39.29476365941,G,0.0500000007
21,SCHG 0645-376,101.7089043741,-37.72267894281,G,0.0260000005
22,SCHG 1025-284,156.8841102,-28.7004269,G,0.032
23,TOLOLO 1057+083,164.9206431,8.0158215,G,0.027515905
24,SCHG 1214-277,184.321464,-28.0420635,G,0.025968
25,TOLOLO 1343+049,206.38126,4.7090875,G,0.030410333
26,SBS 0948+532,147.88236,52.993348,G,0.046169195
27,SHOC 143,43.608916,-0.6897268,G,0.014783848
28,SHOC 220,130.1246211,47.1195229,G,0.041964702
29,SHOC 316,164.4243723,65.5943463,G,0.011494174
30,SHOC 008,4.1987442,-10.795012,G,0.023245985
31,SBS 0813+521,124.4066444,52.0434358,G,0.023524
32,WISEA J094809.88+425713.1,147.0411787,42.9536655,G,0.017127134
33,SBS 0911+472,138.6456105,47.0354623,G,0.02726946
34,2MASS J00242593+1404094,6.108075,14.069299,G,0.014240381
35,SHOC 022,8.0773672,15.0039565,G,0.017907074
36,WISEA J121329.48+114057.2,183.3728631,11.6825796,G,0.0206542887746696
37,CGCG 037-076 NED02,158.3687489,7.1338112,G,0.044530436
38,WISEA J130119.26+123959.7,195.330276,12.6665894,G,0.06915495
39,WISEA J104653.98+134646.4,161.72494,13.7795635,G,0.01061039
40,SHOC 293,153.6290639,0.7986693,G,0.14691077
41,SBS 0926+606A,142.5276896,60.4479397,G,0.013658786
42,SHOC 168,53.860999,-0.63647854,G,0.023167994
43,SHOC 282,147.597169,0.7081685,G,0.09771754
44,SHOC 308,161.47824,1.0682879,G,0.026198672
45,SHOC 014,5.9150767,-9.8134691,G,0.05303453
46,SHOC 043,14.0094476,-10.1693957,G,0.058174483
47,SHOC 113,34.7202548,-9.205149,G,0.012707892
48,SHOC 592,320.8863807,-7.8088356,G,0.027974518
49,SHOC 590,319.7596136,-7.7075669,G,0.08956413
50,SHOC 247,139.2178522,0.5203883,G,0.05699043
51,WISEA J231442.11+010621.6,348.6754887,1.106016,G,0.03419902
52,SHOC 072,23.243947,-8.8938049,G,0.095246606
53,SHOC 084,26.7793161,13.9414527,G,0.05662303
54,SHOC 115,35.1568704,-9.4852776,G,0.113163844
55,SHOC 133,40.2174583,-8.4742897,G,0.08221846
56,SHOC 134,41.223606,-8.3605378,G,0.077590935
57,SHOC 148,45.8392412,-7.9896568,G,0.16481298
58,SHOC 153,47.599773,-8.5757858,G,0.051518492
59,SHOC 174,62.406767,-5.3016157,G,0.07477541
60,SHOC 203,126.3777214,50.8013853,G,0.09685791
61,CGCG 264-011 NED04,131.365051,53.1480755,G,0.0310660005
62,SHOC 257,142.3266499,0.47034477,G,0.09387433
63,SHOC 283,148.1121962,2.2999951,G,0.11912298
64,SHOC 486,222.0222862,-1.1828004,G,0.027397912
65,SHOC 584,315.30998,-5.9195304,G,0.19617945
66,SHOC 586,316.2563404,-6.3775091,G,0.14284359
67,SHOC 595,346.7656373,1.2197925,G,0.12576854
68,SHOC 588,318.86283,-7.9976009,G,0.02844937
69,WISEA J104457.84+035312.9,161.2410102,3.886926,G,0.012892
70,WISEA J105326.00+043014.5,163.3583447,4.5040359,G,0.019001396
71,SHOC 079a,25.405075,-9.2431219,PofG,0.018064704
72,WISEA J220802.85+131334.5,332.0118974,13.2262608,G,0.11621713
73,WISEA J212043.94+010006.9,320.1831085,1.0019185,G,0.11375217
74,WISEA J104755.92+073951.2,161.9830066,7.6642302,G,0.16828404
75,WISEA J214350.85-072003.9,325.96192,-7.3343537,G,0.109874
76,WISEA J092540.91+063116.8,141.4204593,6.521349,G,0.07486449
77,WISEA J103509.33+094517.2,158.788903,9.7547976,G,0.04920457
78,WISEA J092749.17+084037.1,141.9549112,8.6769771,G,0.10706248
79,WISEA J101036.62+641242.6,152.652596,64.2118528,G,0.039531853
80,WISEA J100746.48+025229.1,151.9436723,2.8747633,G,0.023503376
81,WISEA J222510.11-001153.1,336.29222,-0.19801052,G,0.06668141
82,WISEA J105331.37+011740.5,163.3807163,1.2946058,G,0.12379566
83,WISEA J105210.40+032712.7,163.04339,3.4536887,G,0.1501504
84,WISEA J221823.83+003918.6,334.599319,0.6551724,G,0.10842797
85,WISEA J102429.21+052451.0,156.1217497,5.4141923,G,0.03319079
86,WISEA J090531.04+033530.3,136.3793606,3.5917501,G,0.039088156
87,WISEA J084414.20+022621.3,131.0592038,2.4392677,G,0.09109308
88,WISEA J084056.00+022030.8,130.2333443,2.3419051,G,0.05037655
89,WISEA J225140.29+132713.7,342.9179067,13.4538119,G,0.06214196
90,WISEA J230123.64+133314.2,345.3485128,13.5539682,G,0.030289205
91,WISEA J230117.65+135229.7,345.3235814,13.8749203,G,0.02455618
92,WISEA J224556.90+125022.4,341.487084,12.8395659,G,0.08047768
93,WISEA J081334.13+313251.9,123.3922438,31.5477617,G,0.019529924
94,WISEA J080000.72+274641.8,120.0030151,27.7782874,G,0.039253492
95,SDSS J171236.62+321633.4,258.15263,32.275952,G,0.011949655
96,WISEA J084219.11+300703.6,130.5796647,30.1176752,G,0.08406011
97,WISEA J081403.76+235328.7,123.5156744,23.8913294,G,0.019882856
98,WISEA J074806.32+193146.4,117.0263669,19.5295797,G,0.06291268
99,WISEA J104829.15+111520.0,162.1214802,11.2555804,G,0.09270343
100,WISEA J101042.53+125516.8,152.6772414,12.9213396,G,0.06131285
101,SDSS J082520.11+082723.0,126.3338,8.4564458,G,0.086850785
102,WISEA J101157.10+130822.0,152.98787,13.139479,G,0.14377628
103,WISEA J080619.49+194927.2,121.5812161,19.8242364,G,0.06977919
104,WISEA J081420.73+575007.7,123.5864074,57.835496,G,0.05525259
105,WISEA J105108.90+131928.2,162.7871169,13.324505,G,0.045425665
106,WISEA J074947.00+154013.4,117.44587,15.670369,G,0.07418911
107,WISEA J090418.13+260106.2,136.075545,26.0184042,G,0.098387554
108,WISEA J082722.53+202613.0,126.8439118,20.4369701,G,0.10859887
109,SDSS J094254.26+340411.9,145.72614,34.06997,G,0.022487357
110,WISEA J142342.85+225728.4,215.9285518,22.9579036,G,0.032848038
111,2MASS J11421221+0020039,175.550901,0.334422,G,0.018
112,WISEA J103411.72+014247.2,158.548874,1.7131248,*,
113,SDSS J131235.33+125744.5,198.1472474571,12.9623639909,G,
114,WISEA J105032.51+153806.6,162.6354968,15.6351686,G,0.084426604
115,WISEA J085221.70+121651.7,133.0904493,12.2810493,G,0.075923815
116,WISEA J083946.00+140033.4,129.9416907,14.0093014,G,0.111610256
117,WISEA J101458.63+193219.3,153.74434,19.538765,G,0.012628524
118,WISEA J100720.55+193348.5,151.83539,19.563786,G,0.031409662
119,WISEA J091640.96+182808.4,139.17076,18.468865,G,0.021770705
120,WISEA J093424.08+222522.6,143.6003412,22.4229571,G,0.08432252
121,WISEA J084000.36+180530.9,130.0015237,18.0919195,G,0.07218827
122,WISEA J103726.55+270759.4,159.3606545,27.1331729,G,0.07707741
123,WISEA J103226.97+271755.3,158.1123199,27.298679,G,0.19249046
124,WISEA J101136.07+263027.5,152.9003168,26.5076596,G,0.05466604
125,WISEA J162152.58+151855.9,245.4690976,15.3155374,G,0.034340594
126,WISEA J090506.84+223834.7,136.2786,22.642759,G,0.12554839
127,WISEA J094000.50+203122.7,145.0021095,20.522973,G,0.044799022
128,WISEA J192757.99-413431.8,291.9916572,-41.5755132,IrS,
