 #name                 RA              Dec          r_petro r_auto z_tonry z_spec   M_r    r_e    <mu(re)> mu(re)  mu(2re) ellip  PA      M*     g-i   A_g     CATAID  SURV_SAMI  tile                blue_cube                                                                        red_cube
J084728.99+021637.5   131.87080351     2.27709609  18.394  18.399 0.02939  0.0284  -17.13  2.25    18.79  22.58   24.52    0.198   2.36   8.68  0.78  0.128    417568         8  Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/417568/417568_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/417568/417568_red_7_Y13SAR1_P005_09T009.fits.gz
J142534.70-012234.0    216.3946087    -1.37611813  15.974  15.992 0.05629 0.05543  -21.05  3.77    21.43  21.19   22.89    0.454  49.54  10.46  1.07  0.152    492384         8  Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/492384/492384_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/492384/492384_red_8_Y13SAR1_P005_15T018.fits.gz
J145219.41-001609.1   223.08090459    -0.26920906  16.432  16.425 0.04432 0.04359  -20.07  2.17    12.38  20.85   22.51   0.3003  161.3  10.05  1.04  0.202     65410         8  Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/65410/65410_blue_7_Y13SAR1_P003_15T008.fits.gz   http://sami-survey.org/edr/data/65410/65410_red_7_Y13SAR1_P003_15T008.fits.gz
J142424.24-014553.6   216.10103095    -1.76490306  16.394   16.38   0.057 0.05613  -20.67  5.32    21.45  22.73   24.39   0.2314 121.21   10.2  0.94  0.177    485504         8  Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/485504/485504_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/485504/485504_red_8_Y13SAR1_P005_15T018.fits.gz
J085031.69+001908.6   132.63206755     0.31906756  15.011  14.979 0.05438 0.05333  -22.01  6.68    20.91   22.0   23.65   0.1314  79.46  10.88  1.12   0.15    599761         8  Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/599761/599761_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/599761/599761_red_7_Y13SAR1_P008_09T013.fits.gz
J141735.09+000932.7   214.39621924      0.1590901  16.341   16.36 0.05525 0.05436  -20.66  3.11    22.54   20.5   22.14   0.7312  30.68  10.38  1.18  0.133     77710         8  Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/77710/77710_blue_7_Y13SAR1_P014_15T029.fits.gz   http://sami-survey.org/edr/data/77710/77710_red_7_Y13SAR1_P014_15T029.fits.gz
J141727.96+002857.9   214.36652643     0.48277548  14.643  14.579 0.05087 0.04999  -22.26  7.36     20.9  21.78   23.41   0.2234  37.59  11.04  1.19  0.134     91963         8  Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/91963/91963_blue_7_Y13SAR1_P014_15T029.fits.gz   http://sami-survey.org/edr/data/91963/91963_red_7_Y13SAR1_P014_15T029.fits.gz
J120405.98+015049.1   181.02495228     1.84697816  13.747   13.63 0.01853 0.01641  -20.93  4.19    22.42  19.93   21.56   0.1296 123.69  10.59  1.22    0.1    289089         8  Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/289089/289089_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/289089/289089_red_7_Y13SAR1_P014_12T001.fits.gz
J084458.94+020305.9   131.24559559     2.05165301  16.167  16.153 0.05193 0.05091   -20.7  1.94    23.04  20.54   22.17   0.2758  93.58  10.26   1.0  0.316    345820         8  Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/345820/345820_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/345820/345820_red_7_Y13SAR1_P005_09T009.fits.gz
J085032.63-001510.1   132.63598101    -0.25281896  15.662  15.689 0.07084 0.06977   -21.9   3.9    21.05  21.38   22.99   0.3024  28.84  10.91  1.25  0.117    203114         8  Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/203114/203114_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/203114/203114_red_7_Y13SAR1_P008_09T013.fits.gz
