 # ; obj tags ;obj count;    raw id    ;            identifier             ;typ;      coord1 (FK5,J2000/2000)      ;  redshift  
1  ;d         ;        3;J000657+005125;SHOC 2                             ;Sy1;001.7374419936384 +00.8573176472766;0.07370     
2  ;d         ;        3;J001647-104742;LEDA 973666                        ;G  ;004.199012 -10.795065              ;0.02324     
3  ;d         ;        3;J002339-094848;6dFGS gJ002339.6-094848            ;Sy1;005.915047 -09.813533              ;0.05305     
4  ;d         ;        3;J002425+140410;LEDA 101427                        ;H2G;006.1081153099142 +14.0696497224747;0.01423     
5  ;d         ;        3;J003218+150014;SHOC 22                            ;H2G;008.0776246735898 +15.0039207329153;0.01795     
6  ;d         ;        3;J005147+000940;LEDA 3032                          ;Sy1;012.9470344881354 +00.1611412363457;0.037700    
7  ;d         ;        3;J005602-101009;SHOC 43                            ;Sy1;014.0094887057110 -10.1694025996181;0.05817     
8  ;d         ;        3;J013258-085337;[VV2003c] J013258.5-085337         ;Sy1;023.2439339392815 -08.8938938863430;0.09521     
9  ;d         ;        3;J013344+005711;LEDA 5815                          ;Sy1;023.4358754354052 +00.9531315883393;0.01924     
10 ;d         ;        3;J014137-091435;SDSS J014137.22-091435.2           ;H2G;025.4050704154404 -09.2429974673851;0.01807     
11 ;d         ;        3;J014707+135629;SHOC 84                            ;Sy1;026.7793149739792 +13.9414115175806;0.05671     
12 ;d         ;        3;J021852-091218;SDSS J021852.90-091218.7           ;bCG;034.7204703297744 -09.2052277974610;0.01282     
13 ;d         ;        3;J022037-092907;SHOC 115                           ;Sy1;035.1569247328938 -09.4853282620674;0.11307     
14 ;d         ;        3;J024052-082827;SHOC 133                           ;Sy1;040.2174818768132 -08.4743007842261;0.08238     
15 ;d         ;        3;J024453-082137;[VV2003c] J024453.6-082138         ;Sy1;041.2236217532830 -08.3605261376124;0.070       
16 ;d         ;        3;J025426-004122;PB 6923                            ;Sy1;043.6088158277717 -00.6894910501622;0.01480     
17 ;d         ;        3;J030321-075923;SHOC 148                           ;Sy1;045.8392386128234 -07.9897883605139;0.16481     
18 ;d         ;        3;J031023-083432;SDSS J031023.94-083432.8           ;Sy1;047.5997660805273 -08.5757947021476;0.050       
19 ;d         ;        3;J033526-003811;SDSS J033526.62-003811.5           ;H2G;053.8609400626708 -00.6365526922277;0.02320     
20 ;x*        ;        1;GD 50         ;GD 50                              ;WD*;057.2091144923913 -00.9756394412017;0.000588    
21 ;d         ;        3;J040937-051805;SHOC 174                           ;Sy1;062.4067965156003 -05.3016228784950;0.07478     
22 ;x*        ;        1;G191-B2B      ;BD+52 913                          ;WD*;076.3775867257754 +52.8310839179627;0.000230    
23 ;d         ;        3;J051519-391741;SCHG 0513-393                      ;H2G;078.8324155 -39.2947685            ;0.050000    
24 ;x*        ;        1;Hiltner 600   ;HD 289002                          ;*  ;101.3057253681570 +02.1374066535423;0.000166    
25 ;d         ;        3;J064650-374322;SCHG 0645-376                      ;H2G;101.7089095 -37.7226848            ;0.026000    
26 ;d         ;        3;J074806+193146;SDSS J074806.30+193146.9           ;EmG;117.0262687956015 +19.5297342814854;0.06295     
27 ;d         ;        3;J074947+154013;SDSS J074947.00+154013.3           ;G  ;117.4458687761180 +15.6704140704329;0.07421     
28 ;d         ;        3;J080000+274642;SDSS J080000.69+274642.0           ;H2G;120.002914 +27.778344              ;0.03924     
29 ;d         ;        3;J080619+194927;SDSS J080619.49+194927.3           ;H2G;121.5812482414307 +19.8242430962098;0.06978     
30 ;d         ;        3;J081334+313252;SDSS J081334.16+313252.1           ;G  ;123.3924068437549 +31.5478274799400;0.01961     
31 ;d         ;        3;J081403+235328;2MASS J08140376+2353288            ;AG?;123.515739 +23.891380              ;0.01988     
32 ;d         ;        3;J081420+575008;SDSS J081420.79+575007.9           ;QSO;123.5866131371163 +57.8355662693530;0.05524     
33 ;d         ;        3;J081737+520236;2MASX J08173762+5202361            ;PoG;124.4066455214393 +52.0434393290553;0.02356     
34 ;d         ;        3;J082520+082723;SDSS J082520.11+082723.2           ;G  ;126.3338069314821 +08.4563831992097;0.08688     
35 ;d         ;        3;J082530+504804;SHOC 203                           ;Sy1;126.3777460299859 +50.8012026112115;0.09686     
36 ;d         ;        3;J082722+202612;SDSS J082722.57+202612.7           ;G  ;126.8441003619400 +20.4368541092289;0.10860     
37 ;d         ;        3;J083946+140033;SDSS J083946.02+140033.2           ;G  ;129.941773 +14.009219              ;0.11159     
38 ;d         ;        3;J084000+180531;SDSS J084000.37+180530.9           ;EmG;130.0015474588215 +18.0919068206860;0.07232     
39 ;d         ;        3;J084029+470710;US 1442                            ;Sy1;130.1246349864106 +47.1195056398532;0.04196     
40 ;d         ;        3;J084056+022030;SDSS J084056.02+022030.9           ;G  ;130.2334384342931 +02.3419245732782;0.05038     
41 ;d         ;        3;J084219+300703;SDSS J084219.07+300703.5           ;G  ;130.5794944821724 +30.1176497051142;0.08406     
42 ;d         ;        3;J084220+115000;LEDA 3090963                       ;H2G;130.587260 +11.833436              ;0.02944     
43 ;x*        ;        1;HR 3454       ;* eta Hya                          ;bC*;130.8061552335704 +03.3986560533097;0.000054    
44 ;d         ;        3;J084414+022621;[BKD2008] WR 108                   ;EmG;131.059275 +02.439227              ;0.09109     
45 ;d         ;        3;J084527+530852;SHOC 222                           ;Sy1;131.365042 +53.148019              ;0.03108     
46 ;d         ;        3;J084634+362620;SDSS J084634.40+362620.8           ;PoG;131.643355 +36.439105              ;0.01062     
47 ;d         ;        3;J085221+121651;SDSS J085221.71+121651.7           ;EmG;133.090485 +12.281028              ;0.07592     
48 ;d         ;        3;J090418+260106;SDSS J090418.11+260106.3           ;EmG;136.0755052789735 +26.0184073397627;0.09839     
49 ;d         ;        3;J090506+223833;SDSS J090506.86+223833.9           ;EmG;136.2786151016744 +22.6427311432159;0.12561     
50 ;d         ;        3;J090531+033530;SDSS J090531.07+033530.4           ;EmG;136.3795401327058 +03.5917592454943;0.03909     
51 ;dx        ;        4;J091434+470207;LEDA 2291270                       ;SyG;138.645626 +47.035318              ;0.02731     
52 ;d         ;        3;J091640+182807;SDSS J091640.98+182807.8           ;EmG;139.1707566032105 +18.4688699401388;0.02184     
53 ;d         ;        3;J091652+003113;SHOC 247                           ;Sy1;139.2176865950352 +00.5205171199129;0.05699     
54 ;d         ;        3;J092540+063116;SDSS J092540.93+063116.8           ;G  ;141.4206370728955 +06.5212805151105;0.07486     
55 ;d         ;        3;J092749+084037;SDSS J092749.18+084037.1           ;G  ;141.9549962576258 +08.6769814446167;0.10706     
56 ;d         ;        3;J092918+002813;SHOC 257                           ;Sy1;142.3267070377275 +00.4703044904259;0.09391     
57 ;d         ;        3;J093006+602653;LB 555                             ;EmG;142.5269901116390 +60.4480972656328;0.01364     
