Index,Name,alpha(J2K),delta(J2K),z_hel,z_hel_err,FWHM(HB),FWHM(HB)_e,FWHM(O[III]),FWHM(O[III])_e
001,J000657+005125,1.73758,0.85719,0.07370,0.78,nan,nan,1.69,0.09
002,J001647-104742,4.19896,-10.79506,0.02325,0.78,1.06,0.08,0.91,0.05
003,J002339-094848,5.91508,-9.81350,0.05305,0.56,1.32,0.10,1.43,0.08
004,J002425+140410,6.10808,14.06961,0.01424,1.06,1.42,0.10,1.30,0.07
005,J003218+150014,8.07746,15.00392,0.01796,0.96,1.55,0.11,1.69,0.09
006,J005147+000940,12.94708,0.16111,0.03758,1.18,1.26,0.09,0.91,0.05
007,J005602-101009,14.00942,-10.16928,0.05817,1.46,1.52,0.11,1.30,0.07
008,J013258-085337,23.24392,-8.89378,0.09521,1.80,1.60,0.11,1.43,0.08
009,J013344+005711,23.43596,0.95311,0.01924,1.45,0.89,0.06,0.65,0.04
010,J014137-091435,25.40504,-9.24311,0.01807,1.61,1.04,0.08,0.91,0.05
011,J014707+135629,26.77929,13.94144,0.05671,1.31,1.86,0.13,1.69,0.09
012,J021852-091218,34.72042,-9.20519,0.01271,1.80,0.72,0.05,0.65,0.04
013,J022037-092907,35.15692,-9.48533,0.11316,1.06,2.45,0.18,1.95,0.10
014,J024052-082827,40.21746,-8.47428,0.08238,0.56,2.06,0.15,1.82,0.10
015,J024453-082137,41.22358,-8.36053,0.07759,0.94,1.79,0.13,1.69,0.09
016,J025426-004122,43.60883,-0.68961,0.01479,1.45,1.07,0.08,1.04,0.06
017,J030321-075923,45.83921,-7.98975,0.16481,3.39,3.17,0.23,2.73,0.14
018,J031023-083432,47.59975,-8.57578,0.05152,1.19,1.19,0.09,1.30,0.07
019,J033526-003811,53.86096,-0.63647,0.02317,1.63,1.02,0.07,0.78,0.05
020,J040937-051805,62.40675,-5.30161,0.07478,1.19,1.62,0.12,1.43,0.08
021,J051519-391741,78.82917,-39.29472,0.04991,2.00,1.26,0.07,1.11,0.01
022,J064650-374322,101.70833,-37.72278,0.02600,1.04,nan,nan,nan,nan
023,J074806+193146,117.02625,19.52969,0.06284,0.85,1.68,0.09,1.51,0.03
