ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
0,20,27,59,17,29
0,20,17,59,18,34
14,2,28,54,16,33
14,3,1.2,54,14,29
14,3,41,54,19,2
14,3,53.1,54,22,6
14,4,28.6,54,23,53
1,32,45.9,30,38,51
1,33,11.7,30,38,42
1,33,33.8,30,41,30
1,34,33.2,30,47,6
9,55,52.8,68,59,3
9,54,57,69,8,48
9,34,2,55,14,28
7,28,30.1,69,11,37
7,28,46.6,69,11,27
7,28,43,69,11,23
7,28,54.6,69,12,57
7,36,45.5,65,37,1
7,36,20,65,37,4
7,37,7,65,36,39
2,27,1.6,33,34,28
2,26,58.6,33,34,40
2,27,21.6,33,33,31
12,18,55.3,47,16,46
12,19,1.4,47,15,25
12,25,42.9,33,30,57
12,25,56,33,30,54
12,25,57.6,33,31,42
8,14,47.6,49,3,59
8,14,37.3,49,2,59
8,14,37.2,49,3,53
10,39,3.9,41,39,41
10,39,0.3,41,40,8
10,39,17.7,41,42,7
10,19,46.1,45,31,3
