Numero,NOMBRE,GALAXY,CLASS,RA,DEC,TIEMPO DE EXPOSICION (Segundos),NUMERO DE EXPOSICIONES
1,NGC 1073C,NGC1073,C,02:43:34.00,01:23:57.00,1000,3
2,NGC 1073A,NGC1073,A,02:43:35.00,01:22:36.00,900,3
3,NGC 1073A,NGC1073,A,02:43:35.00,01:22:37.00,800,3
4,NGC 1073B,NGC1073,B,02:43:39.00,01:23:51.00,900,3
5,NGC1073B,NGC1073,B,02:43:39.00,01:23:51.00,900,3
6,NGC1073C,NGC1073,C,02:43:44.00,01:21:29.00,900,3
7,NGC 1073D,NGC1073,D,02:43:44.00,01:21:30.00,1200,3
8,MESSIER 106A,NGC2500,A,08:01:46.00,50:44:02.00,900,3
9,NGC2500C,NGC2500,C,08:01:47.00,50:44:02.00,900,3
10,NGC2500D,NGC2500,D,08:01:54.00,50:44:43.00,900,3
11,NGC2500A,NGC2500,A,08:01:55.00,50:44:37.00,900,3
12,NGC 2541 C,NGC2541,C,08:14:35,49:03:12.00,1200,3
13,NGC 2541A,NGC2541,A,08:14:37.00,49:02:58.00,900,3
14,NGC 2541 B,NGC2541,B,08:14:37.00,49:03:53.00,900,3
15,NGC 2541 D,NGC2541,D,08:14:43.00,49:02:07.00,1200,3
16,NGC 3184A,NGC3184,A,10:18:11.00,41:24:46.00,1200,3
17,NGC 3198B,NGC3198,B,10:19:46.00,45:31:01.00,1500,2
18,NGC 3198A,NGC3198,A,10:19:50.00,45:32:47.00,1200,3
19,NGC 3198C,NGC3198,C,10:19:57.00,45:32:25.00,1500,2
20,NGC 3319A,NGC3319,A,10:39:00.00,41:40:07.00,900,3
21,NGC 3319B,NGC3319,B,10:39:03.00,41:39:39.00,1200,3
22,NGC 3319C,NGC3319,C,10:39:08.00,41:40:02.00,1600,2
23,MESSIER096A,MESSIER096,A,10:46:49.00,11:48:45.00,900,3
24,NGC 3370B,NGC3370,B,10:47:02.00,17:17:10.00,1200,3
25,NGC 3370A,NGC3370,A,10:47:02.00,17:16:41.00,1200,3
26,NGC 3370C,NGC3370,C,10:47:05.00,17:16:05.00,1200,3
27,MESSIER066C,MESSIER066,C,11:20:11.00,12:59:17.00,800,3
28,MESSIER066A,MESSIER066,A,11:20:13.00,13:00:27.00,600,4
29,MESSIER066B,MESSIER066,B,11:20:18.00,12:59:22.00,800,3
30,NGC4214A,NGC4214,A,12:15:39.00,36:19:36.00,600,4
31,NGC4214B,NGC4214,B,12:15:40.00,36:19:08.00,600,4
32,NGC4214C,NGC4214,C,12:15:41.00,36:19:04.00,600,4
33,MESSIER 106C,MESSIER106,C,12:18:43.00,47:17:29.00,1200,3
34,MESSIER 106B,MESSIER106,B,12:18:55.00,47:20:20.00,900,3
35,MESSIER 106A,MESSIER106,A,12:19:01.00,47:15:22.00,900,3
36,NGC 4414C,NGC4414,C,12:25:43.00,33:30:49.00,900,3
37,NGC 4414B,NGC4414,B,12:25:56,33:30:52.00,900,3
38,NGC 4414A,NGC4414,A,12:25:57.00,33:31:36.00,900,3
39,NGC4496AC,NGC4496,C,12:31:35.00,03:55:30.00,1200,3
40,NGC4496AA,NGC4496,A,12:31:37.00,03:55:50.00,900,3
41,NGC4496BB,NGC4496,B,12:31:39.00,03:55:29.00,1200,3
42,NGC4496AB,NGC4496,B,12:31:39.00,03:56:31.00,900,3
43,NGC4496BA,NGC4496,A,12:31:40.00,03:55:14.00,900,3
44,NGC4535B,NGC4535,B,12:34:17.00,08:12:32.00,1200,3
45,NGC4535A,NGC4535,A,12:34:18.00,08:14:21.00,900,3
46,NGC4536B,NGC4536,B,12:34:25.00,02:12:06.00,900,3
47,NGC4536A,NGC4536,A,12:34:31.00,02:11:13.00,900,3
48,NGC 4725A,NGC4725,A,12:50:33.00,25:30:44.00,1200,3
49,UGC 08091A,UGC08091,A,12:58:38.00,14:12:42.00,900,3
50,UGC 08091B,UGC08091,B,12:58:40.00,14:12:56.00,900,3
51,NGC5204A,NGC5204,A,13:29:32.00,58:26:49.00,600,4
52,NGC5204C,NGC5204,C,13:29:33.00,58:24:41.00,900,3
53,NGC5204B,NGC5204,B,13:29:35.00,58:24:08.00,900,3
54,NGC5204D,NGC5204,D,13:29:35.00,58:24:47.00,900,3
55,UGC 09128A,UGC09128,A,14:15:56.00,23:03:19.00,1200,3
56,NGC5584C,NGC5584,C,14:22:21.00,-00:22:08.66,1200,3
57,NGC5584B,NGC5584,B,14:22:22.00,-00:23:01.34,900,3
58,NGC5584A,NGC5584,A,14:22:23.00,-00:22:26.08,900,3
