Numero,NOMBRE,GALAXY,CLASS,RA,DEC,TIEMPO DE EXPOSICION (Segundos),NUMERO DE EXPOSICIONES,FOV(deg)
1,NGC1073C,NGC1073,C,02:43:34.83,01:23:57.58,1000,3,
2,NGC1073A,NGC1073,A,02:43:35.52,01:22:36.38,900,3,
3,NGC1073A,NGC1073,A,02:43:35.60,01:22:37.58,800,3,
4,NGC1073B,NGC1073,B,02:43:39.95,01:23:51.98,900,3,
5,NGC1073B,NGC1073,B,02:43:39.95,01:23:51.58,900,3,
6,NGC1073C,NGC1073,C,02:43:44.35,01:21:29.98,900,3,
7,NGC1073D,NGC1073,D,02:43:44.38,01:21:30.38,1200,3,
8,NGC2500B,NGC2500,B,08:01:46.74,50:44:02.11,900,3,
9,NGC2500C,NGC2500,C,08:01:47.53,50:44:02.11,900,3,
10,NGC2500D,NGC2500,D,08:01:54.54,50:44:43.30,900,3,
11,NGC2500A,NGC2500,A,08:01:55.33,50:44:37.76,900,3,
12,NGC2541C,NGC2541,C,08:14:35,   49:03:12.80,1200,3,
13,NGC2541A,NGC2541,A,08:14:37.09,49:02:58.54,900,3,
14,NGC2541B,NGC2541,B,08:14:37.17,49:03:53.21,900,3,
15,NGC2541D,NGC2541,D,08:14:43.86,49:02:07.05,1200,3,
16,NGC3184A,NGC3184,A,10:18:11.37,41:24:46.71,1200,3,
17,NGC3198B,NGC3198,B,10:19:46.36,45:31:01.66,1500,2,
18,NGC3198A,NGC3198,A,10:19:50.96,45:32:47.82,1200,3,
19,NGC3198C,NGC3198,C,10:19:57.75,45:32:25.64,1500,2,
20,NGC3319A,NGC3319,A,10:39:00.30,41:40:07.15,900,3,
21,NGC3319B,NGC3319,B,10:39:03.84,41:39:39.42,1200,3,
22,NGC3319C,NGC3319,C,10:39:08.29,41:40:02.40,1600,2,
23,MESSIER096A,MESSIER096,A,10:46:49.37,11:48:45.85,900,3,
24,NGC3370B,NGC3370,B,10:47:02.17,17:17:10.11,1200,3,
25,NGC3370A,NGC3370,A,10:47:02.80,17:16:41.99,1200,3,
26,NGC3370C,NGC3370,C,10:47:05.43,17:16:05.55,1200,3,
27,MESSIER066C,MESSIER066,C,11:20:11.71,12:59:17.44,800,3,0.17
28,MESSIER066A,MESSIER066,A,11:20:13.19,13:00:27.16,600,4,0.17
29,MESSIER066B,MESSIER066,B,11:20:18.67,12:59:22.19,800,3,0.17
30,NGC4214A,NGC4214,A,12:15:39.40,36:19:36.80,600,4,
31,NGC4214B,NGC4214,B,12:15:40.62,36:19:08.79,600,4,
32,NGC4214C,NGC4214,C,12:15:41.05,36:19:04.19,600,4,
33,MESSIER106C,MESSIER106,C,12:18:43.42,47:17:29.68,1200,3,
34,MESSIER106B,MESSIER106,B,12:18:55.72,47:20:20.79,900,3,
35,MESSIER106A,MESSIER106,A,12:19:01.17,47:15:22.91,900,3,
36,NGC4414C,NGC4414,C,12:25:43.14,33:30:49.21,900,3,
37,NGC4414B,NGC4414,B,12:25:56.00,33:30:52.38,900,3,
38,NGC4414A,NGC4414,A,12:25:57.90,33:31:36.74,900,3,
39,NGC4496AC,NGC4496A,C,12:31:35.46,03:55:30.48,1200,3,
40,NGC4496AA,NGC4496A,A,12:31:37.69,03:55:50.29,900,3,
41,NGC4496BB,NGC4496B,B,12:31:39.33,03:55:29.69,1200,3,
42,NGC4496AB,NGC4496A,B,12:31:39.94,03:56:31.49,900,3,
43,NGC4496BA,NGC4496B,A,12:31:40.97,03:55:14.64,900,3,
44,NGC4535B,NGC4535,B,12:34:17.03,08:12:32.41,1200,3,
45,NGC4535A,NGC4535,A,12:34:18.15,08:14:21.74,900,3,
46,NGC4536B,NGC4536,B,12:34:25.46,02:12:06.74,900,3,
47,NGC4536A,NGC4536,A,12:34:31.75,02:11:13.66,900,3,
48,NGC4725A,NGC4725,A,12:50:33.13,25:30:44.86,1200,3,
49,UGC08091A,UGC08091,A,12:58:38.82,14:12:42.40,900,3,
50,UGC08091B,UGC08091,B,12:58:40.34,14:12:56.66,900,3,
51,NGC5204A,NGC5204,A,13:29:32.33,58:26:49.79,600,4,
52,NGC5204B,NGC5204,B,13:29:33.09,58:24:41.79,900,3,
53,NGC5204C,NGC5204,C,13:29:35.54,58:24:08.99,900,3,
54,NGC5204D,NGC5204,D,13:29:37.22,58:24:30.99,900,3,
55,UGC09128A,UGC09128,A,14:15:56.40,23:03:19.07,1200,3,
56,NGC5584C,NGC5584,C,14:22:21.59,-00:22:08.66,1200,3,
57,NGC5584B,NGC5584,B,14:22:22.09,-00:23:01.34,900,3,
58,NGC5584A,NGC5584,A,14:22:23.36,-00:22:26.08,900,3,
