Numero,NOMBRE,GALAXY,CLASS_raw,CLASS,RA,DEC,FOV(deg)
1,IC0010A_old,IC0010,A,A_old,5.1125,59.2913888888889,0.15
2,IC0010B_old,IC0010,B,B_old,5.07083333333333,59.3094444444444,0.15
3,IC2574A_unid,IC2574,A,A_unid,157.09728,68.41216,0.15
4,IC2574B_unid,IC2574,B,B_unid,157.09728,68.41216,0.15
5,IC2574C_unid,IC2574,C,C_unid,157.09728,68.41216,0.15
6,M33A_old,M33,A,A_old,23.1917,30.6475,0.8
7,M33B_old,M33,B,B_old,23.3000,30.6450,0.8
8,M33C_old,M33,C,C_old,23.3917,30.6917,0.8
9,M33D_old,M33,D,D_old,23.6375,30.7850,0.8
10,M81A_old,M81,A,A_old,148.9708,68.9842,0.4
11,M81B_old,M81,B,B_old,148.7375,69.1467,0.4
12,M101A_old,M101,A,A_old,210.6167,54.2758,0.35
13,M101B_old,M101,B,B_old,210.7542,54.2414,0.35
14,M101C_old,M101,C,C_old,210.9208,54.3172,0.35
15,M101D_old,M101,D,D_old,210.9708,54.3683,0.35
16,M101E_old,M101,E,E_old,211.1208,54.3981,0.35
17,MRK116A_old,MRK116,A,A_old,143.5083,55.2411,0.05
18,NGC0925A_old,NGC0925,A,A_old,36.7583,33.5744,0.15
19,NGC0925B_old,NGC0925,B,B_old,36.7458,33.5778,0.15
20,NGC0925C_old,NGC0925,C,C_old,36.8417,33.5586,0.15
21,NGC2366A_old,NGC2366,A,A_old,112.1250,69.1936,0.1
22,NGC2366B_old,NGC2366,B,B_old,112.1958,69.1908,0.1
23,NGC2366C_old,NGC2366,C,C_old,112.1792,69.1897,0.1
24,NGC2366D_old,NGC2366,D,D_old,112.2292,69.2158,0.1
25,NGC2403A_old,NGC2403,A,A_old,114.1917,65.6169,0.25
26,NGC2403B_old,NGC2403,B,B_old,114.0833,65.6178,0.25
27,NGC2403C_old,NGC2403,C,C_old,114.2792,65.6108,0.25
28,NGC2541A_old,NGC2541,A,A_old,123.7000,49.0664,0.1
29,NGC2541B_old,NGC2541,B,B_old,123.6542,49.0497,0.1
30,NGC2541C_old,NGC2541,C,C_old,123.6542,49.0647,0.1
31,NGC2541A_new,NGC2541,A,A_new,123.6542,49.0497,0.1
32,NGC2541B_new,NGC2541,B,B_new,123.6542,49.0647,0.1
33,NGC2541C_new,NGC2541,C,C_new,123.6458,49.0536,0.1
34,NGC2541D_new,NGC2541,D,D_new,123.6833,49.0353,0.1
35,NGC3198A_old,NGC3198,A,A_old,154.9417,45.5175,0.15
36,NGC3198A_new,NGC3198,A,A_new,154.9625,45.5467,0.15
37,NGC3198B_new,NGC3198,B,B_new,154.9417,45.5172,0.15
38,NGC3198C_new,NGC3198,C,C_new,154.9917,45.5406,0.15
39,NGC3319A_old,NGC3319,A,A_old,159.7667,41.6614,0.1
40,NGC3319B_old,NGC3319,B,B_old,159.7500,41.6689,0.1
41,NGC3319C_old,NGC3319,C,C_old,159.8250,41.7019,0.1
42,NGC3319A_new,NGC3319,A,A_new,159.7500,41.6686,0.1
43,NGC3319B_new,NGC3319,B,B_new,159.7667,41.6608,0.1
44,NGC3319C_new,NGC3319,C,C_new,159.7833,41.6672,0.1
45,NGC4214A_unid,NGC4214,A,A_unid,183.91321,36.32689,0.1
46,NGC4214A_new,NGC4214,A,A_new,183.9125,36.3269,0.1
47,NGC4214B_new,NGC4214,B,B_new,183.9208,36.3192,0.1
48,NGC4214C_new,NGC4214,C,C_new,183.9208,36.3178,0.1
49,NGC4236A_unid,NGC4236,A,A_unid,184.1755,69.46258,0.1
50,NGC4236B_unid,NGC4236,B,B_unid,184.1755,69.46258,0.1
51,NGC4258A_old,NGC4258,A,A_old,184.7292,47.2794,0.2
52,NGC4258B_old,NGC4258,B,B_old,184.7542,47.2569,0.2
53,NGC4258A_new,NGC4258,A,A_new,184.7542,47.2564,0.2
54,NGC4258B_new,NGC4258,B,B_new,184.7333,47.3392,0.2
55,NGC4258C_new,NGC4258,C,C_new,184.6792,47.2917,0.2
56,NGC4258D_new,NGC4258,D,D_new,184.6826570,47.2921542,0.2
57,NGC4395A_old,NGC4395,A,A_old,186.4292,33.5158,0.3
58,NGC4395B_old,NGC4395,B,B_old,186.4833,33.5150,0.3
59,NGC4395C_old,NGC4395,C,C_old,186.4917,33.5283,0.3
60,NGC6822A_unid,NGC6822,A,A_unid,296.24042,-14.80333,0.3
61,NGC6822B_unid,NGC6822,B,B_unid,296.24042,-14.80333,0.3
62,NGC6822A_new,NGC6822,A,A_new,296.2721420,-14.7216777,0.3
63,NGC6822B_new,NGC6822,B,B_new,296.2200080,-14.7199241,0.3
64,NGC1073A_new,NGC1073,A,A_new,40.9000,1.3767,0.15
65,NGC1073B_new,NGC1073,B,B_new,40.9164997,1.3976041,0.15
66,NGC1073C_new,NGC1073,C,C_new,40.8950815,1.3992034,0.15
67,NGC1073D_new,NGC1073,D,D_new,40.9348643,1.3585650,0.15
68,NGC1073E_new,NGC1073,E,E_new,40.8961123,1.3766097,0.15
69,NGC1073F_new,NGC1073,F,F_new,40.9325867,1.3593164,0.15
70,NGC2500A_new,NGC2500,A,A_new,120.4809550,50.7440822,0.1
71,NGC2500B_new,NGC2500,B,B_new,120.4447860,50.7339321,0.1
72,NGC2500C_new,NGC2500,C,C_new,120.4500,50.7339,0.1
73,NGC2500D_new,NGC2500,D,D_new,120.4792,50.7453,0.1
74,NGC3184A_new,NGC3184,A,A_new,154.5458,41.4131,0.15
75,M96A_new,M96,A,A_new,161.7042,11.8128,0.17
76,NGC3370A_new,NGC3370,A,A_new,161.7615450,17.2784372,0.08
77,NGC3370B_new,NGC3370,B,B_new,161.7593580,17.2864263,0.08
78,NGC3370C_new,NGC3370,C,C_new,161.7727880,17.2684047,0.08
79,M66A_new,M66,A,A_new,170.0556220,13.0071813,0.17
80,M66B_new,M66,B,B_new,170.0772130,12.9896862,0.17
81,M66C_new,M66,C,C_new,170.0490790,12.9883075,0.17
82,NGC4414A_new,NGC4414,A,A_new,186.4917,33.5269,0.15
83,NGC4414B_new,NGC4414,B,B_new,186.4833,33.5144,0.15
84,NGC4414C_new,NGC4414,C,C_new,186.4292,33.5136,0.15
85,NGC4496AA_new,NGC4496A,A,A_new,187.9083,3.9306,0.1
86,NGC4496AB_new,NGC4496A,B,B_new,187.9167,3.9419,0.1
87,NGC4496AC_new,NGC4496A,C,C_new,187.8958,3.9250,0.1
88,NGC4496BA_new,NGC4496B,A,A_new,187.9208,3.9208,0.1
89,NGC4496BB_new,NGC4496B,B,B_new,187.9125,3.9250,0.1
90,NGC4535A_new,NGC4535,A,A_new,188.5762040,8.2398179,0.15
91,NGC4535B_new,NGC4535,B,B_new,188.5708,8.2089,0.15
92,NGC4536A_new,NGC4536,A,A_new,188.6333,2.1872,0.15
93,NGC4536B_new,NGC4536,B,B_new,188.6042,2.2019,0.15
94,NGC4725A_new,NGC4725,A,A_new,192.6375,25.5125,0.15
95,UGC08091A_new,UGC08091,A,A_new,194.6625,14.2117,0.08
96,UGC08091B_new,UGC08091,B,B_new,194.6667,14.2158,0.08
97,NGC5204A_new,NGC5204,A,A_new,202.3843090,58.4477193,0.1
98,NGC5204B_new,NGC5204,B,B_new,202.3875820,58.4115805,0.1
99,NGC5204C_new,NGC5204,C,C_new,202.3979140,58.4025538,0.1
100,NGC5204D_new,NGC5204,D,D_new,202.4053150,58.4087704,0.1
101,NGC5204E_new,NGC5204,E,E_new,202.3974770,58.4139827,0.1
102,UGC09128A_new,UGC09128,A,A_new,213.9833,23.0553,0.08
103,NGC5584A_new,NGC5584,A,A_new,215.5974180,-0.3739571,0.08
104,NGC5584B_new,NGC5584,B,B_new,215.5917,-0.3836,0.08
105,NGC5584C_new,NGC5584,C,C_new,215.5917,-0.3692,0.08
106,NGC7331A_new,NGC7331,A,A_new,339.2924830,34.3666383,0.1
107,NGC7331B_new,NGC7331,B,B_new,339.2775470,34.4385842,0.1
108,NGC7331C_new,NGC7331,C,C_new,339.2565230,34.4213392,0.1
109,NGC7331D_new,NGC7331,D,D_new,339.2613640,34.4042644,0.1
110,NGC7331E_new,NGC7331,E,E_new,339.2786770,34.4143966,0.1
