Numero,NOMBRE,GALAXY,CLASS,RA,DEC,TIEMPO DE EXPOSICION (Segundos),NUMERO DE EXPOSICIONES,FOV(deg),SDSS_id,RA_sloan,DEC_sloan
1,IC0010A,IC0010,A,00:20:27.0,59:17:29,1000,3,0.15,None,,
2,IC0010B,IC0010,B,00:20:17.0,59:18:34,1000,3,0.15,None,,
3,M101A,M101,A,14:02:28.0,54:16:33,1000,3,0.4,None,,
4,M101B,M101,B,14:03:01.2,54:14:29,1000,3,0.4,None,,
5,M101C,M101,C,14:03:41.0,54:19:02,1000,3,0.4,None,,
6,M101D,M101,D,14:03:53.1,54:22:06,1000,3,0.4,None,,
7,M101E,M101,E,14:04:28.6,54:23:53,1000,3,0.4,None,,
8,M33A,M33,A,01:32:45.9,30:38:51,1000,3,1.0,None,,
9,M33B,M33,B,01:33:11.7,30:38:42,1000,3,1.0,None,,
10,M33C,M33,C,01:33:33.8,30:41:30,1000,3,1.0,None,,
11,M33D,M33,D,01:34:33.2,30:47:06,1000,3,1.0,None,,
12,M81A,M81,A,09:55:52.8,68:59:03,1000,3,0.6,None,,
13,M81B,M81,B,09:54:57.0,69:08:48,1000,3,0.6,None,,
14,MRK116A,MRK116,A,09:34:02.0,55:14:28,1000,3,0.05,555-52266-558,143.508473305155,55.2410533686072
15,NGC0925A,NGC0925,A,02:27:01.6,33:34:28,1000,3,0.4,None,,
16,NGC0925B,NGC0925,B,02:26:58.6,33:34:40,1000,3,0.4,None,,
17,NGC0925C,NGC0925,C,02:27:21.6,33:33:31,1000,3,0.4,None,,
18,NGC2366A,NGC2366,A,07:28:30.1,69:11:37,1000,3,0.6,None,,
19,NGC2366B,NGC2366,B,07:28:46.6,69:11:27,1000,3,0.6,None,,
20,NGC2366C,NGC2366,C,07:28:43.0,69:11:23,1000,3,0.6,None,,
21,NGC2366D,NGC2366,D,07:28:54.6,69:12:57,1000,3,0.6,None,,
22,NGC2403A,NGC2403,A,07:36:45.5,65:37:01,1000,3,0.4,None,,
23,NGC2403B,NGC2403,B,07:36:20.0,65:37:04,1000,3,0.4,None,,
24,NGC2403C,NGC2403,C,07:37:07.0,65:36:39,1000,3,0.4,None,,
25,NGC4258A,NGC4258,A,12:18:55.3,47:16:46,1000,3,0.4,6640-56385-710,184.730564481924,47.2800013125779
26,NGC4258B,NGC4258,B,12:19:01.4,47:15:25,1000,3,0.4,1451-53117-174,184.755705481064,47.256942691441
27,NGC4395A,NGC4395,A,12:25:42.9,33:30:57,1000,3,0.3,None,,
28,NGC4395B,NGC4395,B,12:25:56.0,33:30:54,1000,3,0.3,None,,
29,NGC4395C,NGC4395,C,12:25:57.6,33:31:42,1000,3,0.3,None,,
30,NGC2541A,NGC2541,A,08:14:47.6,49:03:59,1000,3,0.15,440-51912-134,123.698033477002,49.0668691926314
31,NGC2541B,NGC2541,B,08:14:37.3,49:02:59,1000,3,0.15,440-51912-136,123.655391655199,49.0500114442075
32,NGC2541C,NGC2541,C,08:14:37.2,49:03:53,1000,3,0.15,None,,
33,NGC3319A,NGC3319,A,10:39:03.9,41:39:41,1000,3,0.15,1360-53003-637,159.766859891927,41.6613689225676 
34,NGC3319B,NGC3319,B,10:39:00.3,41:40:08,1000,3,0.15,1361-53047-221,159.751582480511,41.6690988747166 
35,NGC3319C,NGC3319,C,10:39:17.7,41:42:07,1000,3,0.15,1361-53047-222,159.823391141316,41.7019648237255
36,NGC3198A,NGC3198,A,10:19:46.1,45:31:03,1000,3,0.15,944-52614-162,154.94326410509,45.5179982050633
