name_sdss,name_table5
spSpec-51608-0267-421.fit,61
spSpec-51690-0341-606.fit,103
spSpec-51793-0388-457.fit,1
spSpec-51810-0415-141.fit,19
spSpec-51811-0381-370.fit,126
spSpec-51816-0382-328.fit,127
spSpec-51816-0410-220.fit,16
spSpec-51817-0418-302.fit,5
spSpec-51820-0400-441.fit,9
spSpec-51820-0429-495.fit,11
spSpec-51821-0384-281.fit,128
spSpec-51877-0447-361.fit,41
spSpec-51882-0442-156.fit,32
spSpec-51908-0481-483.fit,63
spSpec-51909-0270-617.fit,72
spSpec-51909-0485-550.fit,53
spSpec-51910-0275-445.fit,82
spSpec-51910-0456-195.fit,15
spSpec-51910-0456-306.fit,14
spSpec-51910-0465-524.fit,20
spSpec-51913-0394-472.fit,6
spSpec-51914-0488-439.fit,68
spSpec-51924-0459-253.fit,18
spSpec-51929-0458-185.fit,17
spSpec-51929-0490-128.fit,93
spSpec-51955-0472-546.fit,49
spSpec-51959-0283-389.fit,96
spSpec-51981-0549-621.fit,36
spSpec-51991-0556-224.fit,55
spSpec-51997-0337-097.fit,100
spSpec-52000-0474-610.fit,52
spSpec-52138-0652-090.fit,2
spSpec-52140-0375-118.fit,121
spSpec-52140-0375-348.fit,120
spSpec-52145-0653-462.fit,3
spSpec-52146-0639-143.fit,115
spSpec-52146-0639-242.fit,114
spSpec-52146-0658-312.fit,7
spSpec-52147-0662-466.fit,8
spSpec-52162-0668-089.fit,13
spSpec-52162-0668-152.fit,12
spSpec-52174-0637-399.fit,112
spSpec-52174-0637-523.fit,113
spSpec-52174-0664-355.fit,10
spSpec-52178-0640-267.fit,117
spSpec-52224-0564-216.fit,40
spSpec-52224-0564-283.fit,37
spSpec-52233-0753-094.fit,4
spSpec-52235-0501-602.fit,67
spSpec-52238-0566-497.fit,46
spSpec-52261-0741-279.fit,123
spSpec-52263-0740-259.fit,122
spSpec-52263-0742-161.fit,124
spSpec-52263-0742-179.fit,125
spSpec-52282-0769-100.fit,62
spSpec-52317-0505-228.fit,78
spSpec-52317-0859-070.fit,25
spSpec-52318-0861-489.fit,27
spSpec-52319-0575-521.fit,74
spSpec-52339-0578-060.fit,81
spSpec-52353-0507-087.fit,92
spSpec-52353-0507-521.fit,90
spSpec-52368-0580-302.fit,91
spSpec-52373-0854-514.fit,106
spSpec-52411-0920-575.fit,108
spSpec-52413-0976-600.fit,110
spSpec-52519-0735-461.fit,119
spSpec-52523-0987-440.fit,116
spSpec-52620-0899-594.fit,47
spSpec-52636-0999-517.fit,77
spSpec-52641-1003-327.fit,94
spSpec-52670-1001-363.fit,85
spSpec-52672-0934-369.fit,42
spSpec-52709-0941-109.fit,59
spSpec-52709-1216-619.fit,65
spSpec-52724-1195-060.fit,50
spSpec-52734-1240-340.fit,79
spSpec-52763-1302-639.fit,51
spSpec-52824-1177-556.fit,118
spSpec-52937-1269-177.fit,38
spSpec-52939-1582-335.fit,23
spSpec-52962-1585-261.fit,28
spSpec-52992-1594-563.fit,57
spSpec-53061-1745-463.fit,71
spSpec-53061-1745-475.fit,69
spSpec-53084-1758-338.fit,31
spSpec-53115-1601-168.fit,86
spSpec-53142-1697-415.fit,102
spSpec-53149-1612-073.fit,98
spSpec-53297-1781-055.fit,30
spSpec-53315-1922-588.fit,26
spSpec-53317-1921-281.fit,24
spSpec-53321-1927-006.fit,33
spSpec-53357-1749-026.fit,89
spSpec-53357-1749-499.fit,83
spSpec-53386-1872-526.fit,29
spSpec-53387-1935-204.fit,44
spSpec-53387-1945-346.fit,58
spSpec-53431-1947-448.fit,60
spSpec-53432-1946-609.fit,64
spSpec-53442-1983-308.fit,88
spSpec-53463-1981-438.fit,84
spSpec-53473-1695-627.fit,101
spSpec-53493-2132-241.fit,107
spSpec-53534-2112-557.fit,104
spSpec-53708-2284-545.fit,45
spSpec-53711-2278-411.fit,35
spSpec-53730-2293-005.fit,54
spSpec-53757-2347-501.fit,70
spSpec-53762-2361-523.fit,56
spSpec-53768-2372-508.fit,66
spSpec-53768-2373-560.fit,73
spSpec-53786-2356-172.fit,80
spSpec-53794-2353-585.fit,76
spSpec-53795-2426-015.fit,39
spSpec-53795-2439-372.fit,48
spSpec-53815-2427-117.fit,34
spSpec-53815-2430-117.fit,43
spSpec-53852-2483-254.fit,87
spSpec-53857-2489-123.fit,95
spSpec-53880-2208-306.fit,109
