sdss_pmf,tab5_index,Ned_name,PLATE,MJD,FIBERID,RA,DEC,Z,DESI_DR1
spSpec-51793-0388-457.fit,1,UM 199,388,51793,457,1.73758544441037,0.857230431344045,0.07368165,1
spSpec-52138-0652-090.fit,2,SHOC 008,652,52138,90,4.19900692273353,-10.7950668290856,0.02324598,0
spSpec-52145-0653-462.fit,3,SHOC 014,653,52145,462,5.91504256562465,-9.81353480088271,0.05303453,0
spSpec-52233-0753-094.fit,4,2MASS J00242593+1404094,753,52233,94,6.10809542060741,14.0695495109622,0.01424038,0
spSpec-51817-0418-302.fit,5,SHOC 022,418,51817,302,8.07750453626596,15.0039393153258,0.01788816,0
spSpec-51913-0394-472.fit,6,UM 282,394,51913,472,12.9470306991655,0.161116101734004,0.03755626,1
spSpec-52146-0658-312.fit,7,SHOC 043,658,52146,312,14.0094359946736,-10.1693922667689,0.05817448,0
spSpec-52147-0662-466.fit,8,SHOC 072,662,52147,466,23.2439274152965,-8.89383954755804,0.09524661,0
spSpec-51820-0400-441.fit,9,UM 336,400,51820,441,23.4359526850297,0.953121139115853,0.01924106,1
spSpec-52174-0664-355.fit,10,SHOC 079a,664,52174,355,25.4050906599671,-9.24310377449046,0.0180647,0
spSpec-51820-0429-495.fit,11,SHOC 084,429,51820,495,26.779343875627,13.9414254674982,0.05662303,0
spSpec-52162-0668-152.fit,12,SHOC 113,668,52162,152,34.7204381427193,-9.20519703237608,0.01270789,0
spSpec-52162-0668-089.fit,13,SHOC 115,668,52162,89,35.1569241414867,-9.48529387084885,0.1131638,0
spSpec-51910-0456-306.fit,14,SHOC 133,456,51910,306,40.217485051174,-8.47428151092793,0.08221846,0
spSpec-51910-0456-195.fit,15,SHOC 134,456,51910,195,41.2236197598615,-8.36054102570387,0.07759093,0
spSpec-51816-0410-220.fit,16,SHOC 143,410,51816,220,43.6088418917947,-0.689572212220896,0.01478385,0
spSpec-51929-0458-185.fit,17,SHOC 148,458,51929,185,45.8392181918358,-7.98978855825929,0.164813,1
spSpec-51924-0459-253.fit,18,SHOC 153,459,51924,253,47.5997860893018,-8.57580343695024,0.05151849,1
spSpec-51810-0415-141.fit,19,SHOC 168,415,51810,141,53.8609151908011,-0.636533804183749,0.02316799,1
spSpec-51910-0465-524.fit,20,SHOC 174,465,51910,524,62.4067794675881,-5.30161979054662,0.07477541,0
spSpec-52939-1582-335.fit,23,WISEA J074806.32+193146.4,1582,52939,335,117.02626837124,19.5297104526044,0.06291268,1
spSpec-53317-1921-281.fit,24,WISEA J074947.00+154013.4,1921,53317,281,117.445868047152,15.6703657715983,0.07418911,0
spSpec-52317-0859-070.fit,25,WISEA J080000.72+274641.8,859,52317,70,120.002908105926,27.778350381329,0.03925349,1
spSpec-53315-1922-588.fit,26,WISEA J080619.49+194927.2,1922,53315,588,121.581228407964,19.8242505111669,0.06977919,0
spSpec-52318-0861-489.fit,27,WISEA J081334.13+313251.9,861,52318,489,123.392369353295,31.547822150694,0.01952992,0
spSpec-52962-1585-261.fit,28,WISEA J081403.76+235328.7,1585,52962,261,123.515734491529,23.8913857165456,0.01988286,0
spSpec-53386-1872-526.fit,29,WISEA J081420.73+575007.7,1872,53386,526,123.586628160746,57.8355437809631,0.05525259,1
spSpec-53297-1781-055.fit,30,SBS 0813+521,1781,53297,55,124.406602111505,52.043424036998,0.02355351,1
spSpec-53084-1758-338.fit,31,SDSS J082520.11+082723.0,1758,53084,338,126.333814823016,8.45642583970685,0.08685078,1
spSpec-51882-0442-156.fit,32,SHOC 203,442,51882,156,126.377825178692,50.8012690367536,0.09685791,0
spSpec-53321-1927-006.fit,33,WISEA J082722.53+202613.0,1927,53321,6,126.844057066824,20.436890586719,0.1085989,1
spSpec-53815-2427-117.fit,34,WISEA J083946.00+140033.4,2427,53815,117,129.941767106108,14.0092246277788,0.1115934,1
spSpec-53711-2278-411.fit,35,WISEA J084000.36+180530.9,2278,53711,411,130.001550151982,18.0919350511313,0.07218827,0
spSpec-51981-0549-621.fit,36,SHOC 220,549,51981,621,130.124643778074,47.119515965845,0.04208103,0
spSpec-52224-0564-283.fit,37,WISEA J084056.00+022030.8,564,52224,283,130.233425813693,2.34193997659028,0.05037655,1
spSpec-52937-1269-177.fit,38,WISEA J084219.11+300703.6,1269,52937,177,130.579483885863,30.1176623489611,0.08406011,0
spSpec-53795-2426-015.fit,39,WISEA J084220.93+115001.2,2426,53795,15,130.587253480993,11.8334411955499,0.02944152,0
spSpec-52224-0564-216.fit,40,WISEA J084414.20+022621.3,564,52224,216,131.059269550442,2.43923267628427,0.09109308,1
spSpec-51877-0447-361.fit,41,CGCG 264-011 NED04,447,51877,361,131.365038079905,53.1480248071366,0.03107055,0
spSpec-52672-0934-369.fit,42,MRK 0627,934,52672,369,131.64334617991,36.4390915106511,0.01063635,0
spSpec-53815-2430-117.fit,43,WISEA J085221.70+121651.7,2430,53815,117,133.090475493234,12.2810385835711,0.07592382,0
spSpec-53387-1935-204.fit,44,WISEA J090418.13+260106.2,1935,53387,204,136.075489111866,26.0184299666772,0.09838755,0
spSpec-53708-2284-545.fit,45,WISEA J090506.84+223834.7,2284,53708,545,136.278595965378,22.6427524199796,0.1255484,0
spSpec-52238-0566-497.fit,46,WISEA J090531.04+033530.3,566,52238,497,136.379496383194,3.59178568418219,0.03908816,1
spSpec-52620-0899-594.fit,47,SBS 0911+472,899,52620,594,138.645621619008,47.0353238841518,0.02726946,1
spSpec-53795-2439-372.fit,48,WISEA J091640.96+182808.4,2439,53795,372,139.170750209393,18.4688585766741,0.0217707,0
spSpec-51955-0472-546.fit,49,SHOC 247,472,51955,546,139.217647636228,0.520534667169167,0.05699043,0
spSpec-52724-1195-060.fit,50,WISEA J092540.91+063116.8,1195,52724,60,141.420570962018,6.52133290833426,0.07486449,1
spSpec-52763-1302-639.fit,51,WISEA J092749.17+084037.1,1302,52763,639,141.954953128565,8.67698904940813,0.1070625,0
spSpec-52000-0474-610.fit,52,SHOC 257,474,52000,610,142.3266458722,0.470340475344925,0.09387433,0
spSpec-51909-0485-550.fit,53,SBS 0926+606A,485,51909,550,142.52681944382,60.4481509142727,0.01365879,0
spSpec-53730-2293-005.fit,54,WISEA J093424.08+222522.6,2293,53730,5,143.600361761916,22.4229482950441,0.08432252,0
spSpec-51991-0556-224.fit,55,SBS 0934+546,556,51991,224,144.556236238901,54.4736362531743,0.1021021,1
spSpec-53762-2361-523.fit,56,WISEA J094000.50+203122.7,2361,53762,523,145.002159252884,20.5229180197517,0.04479902,0
spSpec-52992-1594-563.fit,57,WISEA J094252.78+354725.7,1594,52992,563,145.719928157021,35.7905571698772,0.01485659,0
spSpec-53387-1945-346.fit,58,SDSS J094254.26+340411.9,1945,53387,346,145.726141539347,34.0699893569975,0.02248736,0
spSpec-52709-0941-109.fit,59,WISEA J094809.88+425713.1,941,52709,109,147.041227476213,42.9537564011014,0.01712713,1
spSpec-53431-1947-448.fit,60,WISEA J095000.75+300340.9,1947,53431,448,147.503220467538,30.0613881426123,0.01729749,0
spSpec-51608-0267-421.fit,61,SHOC 282,267,51608,421,147.597162628828,0.708127177268213,0.09770181,0
spSpec-52282-0769-100.fit,62,SBS 0948+532,769,52282,100,147.882377573571,52.9933279653564,0.0461692,0
spSpec-51908-0481-483.fit,63,SHOC 283,481,51908,483,148.112334702567,2.29996410813119,0.119123,0
spSpec-53432-1946-609.fit,64,WISEA J095227.57+322810.3,1946,53432,609,148.11472597429,32.4692432853759,0.01493101,0
spSpec-52709-1216-619.fit,65,KUG 0952+418,1216,52709,619,148.939831354241,41.5749624798775,0.01565914,0
spSpec-53768-2372-508.fit,66,WISEA J100720.55+193348.5,2372,53768,508,151.835372233101,19.563771071423,0.03140966,0
spSpec-52235-0501-602.fit,67,WISEA J100746.48+025229.1,501,52235,602,151.943818352223,2.87455625869643,0.02349219,1
spSpec-51914-0488-439.fit,68,WISEA J101036.62+641242.6,488,51914,439,152.652595599468,64.2118356009627,0.03953185,0
spSpec-53061-1745-475.fit,69,WISEA J101042.53+125516.8,1745,53061,475,152.677242609419,12.9213209850819,0.06131285,0
spSpec-53757-2347-501.fit,70,WISEA J101136.07+263027.5,2347,53757,501,152.900226191878,26.5076348729622,0.05466604,1
spSpec-53061-1745-463.fit,71,WISEA J101157.10+130822.0,1745,53061,463,152.987846286344,13.1394616668371,0.1437763,0
spSpec-51909-0270-617.fit,72,SHOC 293,270,51909,617,153.62905412036,0.798627952656554,0.1467433,0
spSpec-53768-2373-560.fit,73,WISEA J101458.63+193219.3,2373,53768,560,153.744333083821,19.5387552785828,0.01262852,0
spSpec-52319-0575-521.fit,74,WISEA J102429.21+052451.0,575,52319,521,156.121872398115,5.41416579320963,0.03319079,1
spSpec-53794-2353-585.fit,76,WISEA J103226.97+271755.3,2353,53794,585,158.112320858702,27.298677845718,0.1924905,0
spSpec-52636-0999-517.fit,77,CGCG 037-076 NED02,999,52636,517,158.368843879236,7.13382802868978,0.04453044,0
spSpec-52317-0505-228.fit,78,WISEA J103411.72+014247.2,505,52317,228,158.550948364493,1.71362726467767,0.06870404,1
spSpec-52734-1240-340.fit,79,WISEA J103509.33+094517.2,1240,52734,340,158.788856385291,9.75465295692724,0.04920457,0
spSpec-53786-2356-172.fit,80,WISEA J103726.55+270759.4,2356,53786,172,159.360613923123,27.1332450562639,0.07707741,0
spSpec-52339-0578-060.fit,81,WISEA J104457.84+035312.9,578,52339,60,161.240820365874,3.88698524967083,0.01287257,1
spSpec-51910-0275-445.fit,82,SHOC 308,275,51910,445,161.478244311513,1.06827527952586,0.02619867,1
spSpec-53357-1749-499.fit,83,WISEA J104653.98+134646.4,1749,53357,499,161.724945603128,13.7793710275593,0.01061039,0
spSpec-53463-1981-438.fit,84,TON 0542,1981,53463,438,161.848367195774,30.3622991323676,0.02944653,0
spSpec-52670-1001-363.fit,85,WISEA J104755.92+073951.2,1001,52670,363,161.98300556773,7.66422462279093,0.168284,0
spSpec-53115-1601-168.fit,86,WISEA J104829.15+111520.0,1601,53115,168,162.121764419201,11.255589923972,0.09270343,1
spSpec-53852-2483-254.fit,87,WISEA J105032.51+153806.6,2483,53852,254,162.635467975454,15.6350884314661,0.0844266,0
spSpec-53442-1983-308.fit,88,WISEA J105040.86+342946.3,1983,53442,308,162.670149947092,34.4964952502011,0.05219634,0
spSpec-53357-1749-026.fit,89,WISEA J105108.90+131928.2,1749,53357,26,162.787018186912,13.3244405033349,0.04542566,0
spSpec-52353-0507-521.fit,90,WISEA J105210.40+032712.7,507,52353,521,163.043392358698,3.45367832880545,0.1501504,1
spSpec-52368-0580-302.fit,91,WISEA J105326.00+043014.5,580,52368,302,163.358407349486,4.50403552200196,0.0190014,0
spSpec-52353-0507-087.fit,92,WISEA J105331.37+011740.5,507,52353,87,163.380874504651,1.29456286110105,0.1237957,0
spSpec-51929-0490-128.fit,93,SHOC 316,490,51929,128,164.424774637009,65.5943926257816,0.01149417,0
spSpec-52641-1003-327.fit,94,TOLOLO 1057+083,1003,52641,327,164.92068135733,8.01580628929196,0.0275159,1
spSpec-53857-2489-123.fit,95,WAS 17,2489,53857,123,167.160416589826,22.6360485538983,0.02381548,0
spSpec-51959-0283-389.fit,96,2MASS J11421221+0020039,283,51959,389,175.55166625976562,0.3340807855129242,0.018554294481873512,1
spSpec-53149-1612-073.fit,98,WISEA J121329.48+114057.2,1612,53149,73,183.372906574455,11.6824749006223,0.02065467,1
spSpec-51997-0337-097.fit,100,SHOC 391,337,51997,97,193.27488552987,-3.2163463587691,0.02272306,0
