Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.81911,1.83675,1.79156,1.75761,1.8012575
3401.0,0.0,1.8012,1.81954,1.77428,1.74052,1.783885
3402.0,0.0,1.78942,1.80714,1.76156,1.72959,1.7719275
3403.0,0.0,1.78224,1.79855,1.75277,1.72298,1.764135
3404.0,0.0,1.77737,1.79205,1.74623,1.7183,1.7584875
3405.0,0.0,1.773,1.78635,1.74069,1.71366,1.753425
3406.0,0.0,1.76883,1.78142,1.7361,1.70873,1.7487700000000002
3407.0,0.0,1.76617,1.77846,1.73338,1.70545,1.745865
3408.0,0.0,1.7664,1.77845,1.73331,1.70594,1.746025
3409.0,0.0,1.76906,1.7805,1.73519,1.70959,1.7485849999999998
3410.0,0.0,1.77163,1.78206,1.73678,1.71285,1.75083
3411.0,0.0,1.77171,1.78092,1.73617,1.71247,1.7503175
3412.0,0.0,1.76924,1.77728,1.73329,1.70852,1.7470825
3413.0,0.0,1.76639,1.77353,1.7301,1.70429,1.7435775
3414.0,0.0,1.76568,1.77254,1.72922,1.70297,1.7426024999999998
3415.0,0.0,1.76845,1.77599,1.73244,1.70602,1.7457250000000002
3416.0,0.0,1.77474,1.78397,1.74009,1.71344,1.75306
3417.0,0.0,1.78366,1.79516,1.75091,1.72396,1.7634225000000001
3418.0,0.0,1.79358,1.80718,1.76272,1.73565,1.7747825
3419.0,0.0,1.80246,1.81735,1.77297,1.74572,1.7846250000000001
3420.0,0.0,1.80856,1.82358,1.77962,1.75209,1.7909624999999998
3421.0,0.0,1.81118,1.82529,1.78203,1.75387,1.7930925
3422.0,0.0,1.81093,1.82361,1.78115,1.75234,1.7920075
3423.0,0.0,1.80916,1.82047,1.77865,1.74954,1.7894550000000002
3424.0,0.0,1.80702,1.81756,1.77615,1.74697,1.7869249999999999
3425.0,0.0,1.80539,1.81598,1.77486,1.74515,1.785345
3426.0,0.0,1.80531,1.81668,1.7757,1.74513,1.785705
3427.0,0.0,1.80764,1.82008,1.77898,1.74825,1.7887374999999999
3428.0,0.0,1.81168,1.8249,1.78351,1.75398,1.7935175
3429.0,0.0,1.81461,1.82798,1.78643,1.75845,1.7968675
3430.0,0.0,1.8134,1.82626,1.7852,1.75732,1.795545
3431.0,0.0,1.8077,1.81966,1.7796,1.74987,1.7892075000000003
3432.0,0.0,1.80057,1.81156,1.77235,1.74068,1.78129
3433.0,0.0,1.796,1.80601,1.76701,1.73533,1.7760875
3434.0,0.0,1.79525,1.80405,1.76455,1.73565,1.774875
3435.0,0.0,1.79519,1.80238,1.76223,1.7374,1.7743
3436.0,0.0,1.79041,1.79573,1.75549,1.73345,1.76877
3437.0,0.0,1.77727,1.78079,1.74119,1.71929,1.7546350000000002
3438.0,0.0,1.75668,1.75861,1.72019,1.69642,1.7329750000000002
3439.0,0.0,1.73357,1.73414,1.69687,1.67082,1.7088500000000002
3440.0,0.0,1.7141,1.71352,1.67692,1.64988,1.688605
3441.0,0.0,1.70256,1.7011,1.66447,1.63836,1.6766225000000001
3442.0,0.0,1.69942,1.69751,1.6603,1.63672,1.6734875000000002
3443.0,0.0,1.70168,1.69995,1.66211,1.64094,1.67617
3444.0,0.0,1.70532,1.70471,1.66663,1.64579,1.6806125
3445.0,0.0,1.70855,1.70999,1.67219,1.64928,1.6850025000000002
3446.0,0.0,1.71257,1.71648,1.6789,1.65353,1.6903700000000002
3447.0,0.0,1.71882,1.72484,1.68703,1.66149,1.6980449999999998
3448.0,0.0,1.72551,1.73274,1.69457,1.67092,1.705935
3449.0,0.0,1.72771,1.73558,1.6974,1.67507,1.70894
3450.0,0.0,1.7218,1.73038,1.69319,1.66888,1.7035624999999999
3451.0,0.0,1.70938,1.71897,1.68321,1.65462,1.691545
3452.0,0.0,1.696,1.70662,1.67172,1.6402,1.6786349999999999
3453.0,0.0,1.68649,1.69774,1.66293,1.63123,1.6695975
3454.0,0.0,1.68178,1.69308,1.65779,1.62807,1.66518
3455.0,0.0,1.67947,1.6901,1.65438,1.62714,1.6627725
3456.0,0.0,1.67624,1.68549,1.64982,1.62416,1.6589274999999999
3457.0,0.0,1.67022,1.67777,1.64259,1.61709,1.6519175000000001
3458.0,0.0,1.66222,1.6683,1.63397,1.60729,1.6429449999999999
3459.0,0.0,1.65533,1.66061,1.62695,1.59874,1.6354075000000001
3460.0,0.0,1.65312,1.65838,1.62486,1.59598,1.633085
3461.0,0.0,1.65754,1.66335,1.62935,1.60128,1.6378800000000002
3462.0,0.0,1.66736,1.67365,1.63898,1.61316,1.6482875
3463.0,0.0,1.67845,1.68497,1.64968,1.62593,1.6597575
3464.0,0.0,1.68668,1.69336,1.65825,1.63445,1.668185
3465.0,0.0,1.69092,1.69794,1.6636,1.63756,1.672505
3466.0,0.0,1.69284,1.7005,1.66667,1.63891,1.67473
3467.0,0.0,1.69439,1.70292,1.66935,1.64085,1.6768774999999998
3468.0,0.0,1.69592,1.70538,1.6718,1.64353,1.6791575
3469.0,0.0,1.69625,1.70618,1.67265,1.64511,1.6800475
3470.0,0.0,1.69354,1.70314,1.66983,1.64284,1.6773375000000001
3471.0,0.0,1.68686,1.6953,1.66255,1.63549,1.67005
3472.0,0.0,1.677,1.68353,1.65149,1.62413,1.6590375
3473.0,0.0,1.66571,1.66993,1.6384,1.61142,1.6463649999999999
3474.0,0.0,1.65463,1.65679,1.62568,1.59923,1.6340824999999999
3475.0,0.0,1.64501,1.64601,1.61534,1.58906,1.623855
3476.0,0.0,1.63773,1.63875,1.60846,1.58209,1.6167575
3477.0,0.0,1.63322,1.6353,1.60534,1.57865,1.6131275
3478.0,0.0,1.63142,1.63517,1.60547,1.57822,1.6125699999999998
3479.0,0.0,1.63191,1.63723,1.6076,1.58016,1.614225
3480.0,0.0,1.63362,1.63982,1.61022,1.58304,1.6166749999999999
3481.0,0.0,1.63518,1.64153,1.61222,1.58482,1.6184375
3482.0,0.0,1.63638,1.64265,1.61393,1.58506,1.6195049999999998
3483.0,0.0,1.63909,1.64547,1.61726,1.58665,1.6221174999999999
3484.0,0.0,1.64558,1.65223,1.624,1.59319,1.6287500000000001
3485.0,0.0,1.65587,1.66268,1.63372,1.60483,1.639275
3486.0,0.0,1.66696,1.67348,1.64379,1.61745,1.65042
3487.0,0.0,1.67471,1.68025,1.6503,1.62562,1.6577199999999999
3488.0,0.0,1.67634,1.68026,1.65066,1.62617,1.6583575000000002
3489.0,0.0,1.67212,1.67442,1.6457,1.61946,1.652925
3490.0,0.0,1.66571,1.66707,1.63915,1.61048,1.6456025
3491.0,0.0,1.66191,1.66299,1.63526,1.60588,1.64151
3492.0,0.0,1.66276,1.66371,1.63541,1.60816,1.64251
3493.0,0.0,1.66577,1.6665,1.63767,1.61334,1.64582
3494.0,0.0,1.66659,1.66728,1.63865,1.61491,1.6468575
3495.0,0.0,1.66338,1.66465,1.63669,1.61085,1.6438925
3496.0,0.0,1.65826,1.66091,1.6336,1.60486,1.6394075
3497.0,0.0,1.65442,1.659,1.6317,1.60183,1.6367374999999997
3498.0,0.0,1.6525,1.65922,1.63152,1.60234,1.636395
3499.0,0.0,1.6504,1.65944,1.63164,1.60229,1.6359425
3500.0,0.0,1.64671,1.65816,1.63076,1.59927,1.6337249999999999
3501.0,0.0,1.64252,1.65606,1.62919,1.59532,1.6307725000000002
3502.0,0.0,1.63949,1.65423,1.62751,1.59336,1.6286475
3503.0,0.0,1.63711,1.65207,1.6254,1.59241,1.6267475
3504.0,0.0,1.63334,1.64802,1.62172,1.58907,1.6230375000000001
3505.0,0.0,1.6274,1.64167,1.61597,1.58246,1.616875
