TAB5_INDEX,Name,F(Hb)DR7,Err_F(Hb)DR7,F(Hb)LSGF,Err_F(Hb)LSGF,F(Hb)LSI,Err_F(Hb)LSI,F([OIII]l4959)LSGF,Err_F([OIII]l4959)LSGF,F([OIII]l5007)LSGF,Err_F([OIII]l5007)LSGF,EW(Hb),Err_EW(Hb),Inst.
001,J000657+005125,88.1,1.1,112.7,11.6,113.0,11.3,126.9,8.1,381.7,22.6,102.2,5.3,1
002,J001647-104742,167.7,1.1,231.5,28.2,236.1,28.9,298.1,19.1,882.5,52.2,67.6,1.5,1
003,J002339-094848,125.6,0.9,153.6,18.7,155.1,19.0,315.3,20.2,955.5,56.5,123.9,4.1,1
004,J002425+140410,272.0,1.7,407.3,43.2,408.1,41.3,603.2,48.0,1804.8,147.0,66.3,1.3,1
005,J003218+150014,254.3,1.4,457.0,91.9,456.0,96.2,671.9,43.1,2060.0,121.8,82.8,1.7,1
006,J005147+000940,94.8,0.5,117.3,14.4,116.6,14.3,192.1,12.3,581.1,34.4,107.8,2.7,1
007,J005602-101009,65.7,0.8,66.7,8.2,66.6,8.2,88.8,5.7,252.0,14.9,52.8,1.7,1
008,J013258-085337,77.9,0.7,71.5,8.8,73.5,9.1,113.5,7.3,307.1,18.2,72.4,2.3,1
009,J013344+005711,70.5,1.0,81.4,10.0,83.8,10.3,64.7,4.1,166.6,9.9,72.3,3.6,1
010,J014137-091435,90.7,1.1,116.3,12.0,116.7,11.7,nan,nan,nan,nan,69.8,3.2,2
011,J014707+135629,115.8,0.6,154.6,18.9,156.2,19.1,288.3,18.5,867.7,51.3,163.4,6.2,1
012,J021852-091218,70.5,1.1,90.6,11.1,90.0,11.0,204.2,13.1,603.9,35.7,163.7,14.4,1
013,J022037-092907,88.0,0.9,160.3,19.9,157.6,19.6,293.8,18.8,879.0,52.0,155.4,7.5,1
014,J024052-082827,177.8,1.7,187.5,22.9,191.2,23.4,474.3,30.4,1397.0,82.6,448.6,45.5,1
015,J024453-082137,69.3,0.8,107.7,13.3,108.0,13.4,149.7,9.6,440.0,26.0,99.4,4.3,1
016,J025426-004122,130.5,1.0,202.6,24.7,199.8,24.5,305.1,19.6,898.9,53.2,64.1,1.8,1
017,J030321-075923,67.5,0.8,84.3,8.5,84.4,8.3,80.4,5.1,248.3,14.7,163.4,30.4,1
018,J031023-083432,59.7,0.7,73.8,7.3,73.9,7.1,nan,nan,nan,nan,85.3,3.8,2
019,J033526-003811,67.8,0.8,104.8,12.9,105.2,12.9,188.9,12.1,541.6,32.0,111.0,6.5,1
020,J040937-051805,61.9,0.6,76.8,7.6,76.9,7.4,nan,nan,nan,nan,131.2,5.8,2
021,J051519-391741,173.8,5.2,173.8,5.2,173.8,5.2,nan,nan,nan,nan,187.0,18.7,3
022,J064650-374322,182.0,5.5,182.0,5.5,182.0,5.5,nan,nan,nan,nan,50.0,5.0,3
023,J074806+193146,87.8,1.1,107.4,4.3,108.5,4.9,96.1,6.2,289.0,17.1,148.4,9.5,1
024,J074947+154013,44.6,0.7,60.6,7.4,60.6,7.4,94.2,6.0,282.5,16.7,65.4,3.4,1
025,J080000+274642,97.5,0.8,125.6,15.3,125.6,15.4,116.4,7.5,315.9,18.7,55.4,1.3,1
026,J080619+194927,292.1,1.2,386.3,47.1,404.8,49.4,526.2,33.7,1610.0,95.2,79.6,1.1,1
027,J081334+313252,224.4,1.0,352.0,85.8,349.4,76.1,791.2,50.7,2348.5,138.9,89.6,2.0,1
