TAB5_INDEX,Flag,z_c,z_cErr,A_v,A_vErr,Q,C_Hb,C_HbErr,log_sigma(Hb),log_sigma(Hb)Err,log_sigma([OIII]),log_sigma([OIII])Err,logL(Hb),logL(Hb)Err,12+logO/H,12+logO/HErr,logR_u,logR_uErr,logM_dyn,logM_dynErr,logM_cl,logM_clErr,logM_ion,logM_ionErr,logSFR,logSFRErr
001,1,0.07252,0.78e-5,0.66,0.20,0.00,0.07,0.02,nan,nan,1.551,0.027,41.31,0.10,8.06,0.16,3.04,0.03,nan,nan,8.16,0.10,7.00,0.10,0.50,0.10
002,4,0.02203,0.78e-5,1.41,0.28,0.88,0.14,0.03,1.377,0.039,1.324,0.026,40.88,0.15,8.06,0.19,3.00,0.03,8.06,0.08,7.74,0.15,6.72,0.15,0.07,0.15
003,4,0.05191,0.56e-5,1.06,0.24,0.00,0.10,0.02,1.463,0.036,1.507,0.024,41.31,0.13,8.15,0.18,3.18,0.03,8.40,0.08,8.16,0.13,7.08,0.13,0.50,0.13
004,4,0.01257,1.06e-5,0.36,0.10,6.49,0.04,0.01,1.538,0.034,1.497,0.026,40.26,0.07,8.20,0.08,2.56,0.03,7.94,0.07,7.11,0.07,6.04,0.07,-0.55,0.07
005,4,0.01636,0.96e-5,0.04,0.06,4.73,0.00,0.01,1.577,0.034,1.615,0.023,40.41,0.10,8.02,0.05,2.54,0.04,7.99,0.08,7.26,0.10,6.63,0.10,-0.40,0.10
006,4,0.03637,1.18e-5,0.01,0.06,0.44,0.00,0.01,1.454,0.036,1.325,0.024,40.48,0.07,7.80,0.05,2.89,0.04,8.09,0.08,7.33,0.07,6.24,0.07,-0.33,0.07
007,4,0.05712,1.46e-5,0.59,0.18,0.88,0.06,0.02,1.529,0.034,1.467,0.024,40.85,0.11,7.89,0.14,3.04,0.03,8.40,0.08,7.70,0.11,6.41,0.11,0.04,0.11
008,4,0.09424,1.80e-5,0.00,0.10,3.85,0.00,0.01,1.527,0.033,1.475,0.024,41.12,0.07,8.31,0.08,2.67,0.16,8.02,0.17,7.97,0.07,7.40,0.07,0.31,0.07
009,4,0.01812,1.45e-5,0.20,0.13,2.97,0.02,0.01,1.283,0.042,1.178,0.027,39.82,0.08,8.03,0.11,2.59,0.06,7.46,0.10,6.67,0.08,6.09,0.08,-0.99,0.08
010,4,0.01718,1.61e-5,0.83,0.22,1.65,0.08,0.02,1.369,0.040,1.327,0.026,40.15,0.12,8.03,0.19,2.66,0.08,7.70,0.12,7.00,0.11,6.06,0.11,-0.66,0.12
011,4,0.05574,1.31e-5,0.54,0.13,0.77,0.05,0.01,1.625,0.033,1.583,0.023,41.18,0.09,7.94,0.10,3.04,0.04,8.59,0.08,8.03,0.09,6.61,0.09,0.37,0.09
012,4,0.01207,1.80e-5,0.86,0.27,0.00,0.08,0.03,1.144,0.060,1.176,0.028,39.73,0.13,7.94,0.25,2.38,0.05,6.97,0.13,6.58,0.13,5.75,0.13,-1.08,0.13
013,4,0.11235,1.06e-5,0.36,0.14,0.11,0.04,0.01,1.706,0.033,1.601,0.023,41.72,0.09,8.07,0.12,2.92,0.04,8.63,0.08,8.58,0.09,7.19,0.09,0.91,0.09
014,3,0.08164,0.56e-5,0.45,0.16,0.00,0.04,0.02,1.651,0.034,1.595,0.023,41.56,0.09,7.95,0.13,nan,nan,nan,nan,8.42,0.09,6.79,0.09,0.75,0.09
015,4,0.07687,0.94e-5,0.33,0.13,4.84,0.03,0.01,1.590,0.034,1.563,0.023,41.24,0.08,7.99,0.10,2.98,0.04,8.46,0.08,8.09,0.08,7.52,0.08,0.43,0.08
016,4,0.01420,1.45e-5,0.23,0.09,9.35,0.02,0.01,1.390,0.038,1.400,0.024,40.02,0.07,7.85,0.07,2.52,0.03,7.60,0.08,6.88,0.07,6.08,0.07,-0.79,0.07
017,4,0.16417,3.39e-5,0.00,0.12,7.81,0.00,0.01,1.782,0.032,1.708,0.023,41.68,0.07,7.89,0.10,3.24,0.04,9.11,0.07,8.53,0.07,6.56,0.07,0.87,0.07
018,4,0.05097,1.19e-5,0.21,0.13,6.38,0.02,0.01,1.419,0.039,1.472,0.024,40.68,0.08,8.17,0.11,2.62,0.06,7.76,0.10,7.53,0.08,6.96,0.08,-0.13,0.08
019,4,0.02282,1.63e-5,0.54,0.17,4.07,0.05,0.02,1.350,0.041,1.248,0.032,40.25,0.10,7.88,0.14,2.79,0.05,7.79,0.10,7.10,0.10,6.53,0.10,-0.56,0.10
020,4,0.07443,1.19e-5,0.47,0.13,1.98,0.05,0.01,1.548,0.034,1.494,0.023,41.10,0.08,8.15,0.11,2.84,0.07,8.24,0.10,7.96,0.08,6.86,0.08,0.29,0.08
021,4,0.05041,2.00e-5,0.68,0.65,0.00,0.07,0.06,1.446,0.026,1.395,0.006,41.19,0.26,nan,nan,nan,nan,nan,nan,8.04,0.26,nan,nan,0.38,0.26
022,1,0.02725,1.04e-5,1.38,0.77,0.55,0.14,0.08,nan,nan,nan,nan,40.94,0.33,nan,nan,nan,nan,nan,nan,7.79,0.33,nan,nan,0.13,0.33
023,3,0.06347,0.85e-5,0.88,0.25,0.00,0.09,0.02,1.576,0.025,1.525,0.008,41.26,0.12,8.27,0.19,2.92,0.05,8.37,0.07,8.11,0.12,7.10,0.12,0.45,0.12
024,4,0.07485,0.70e-5,0.55,0.21,0.00,0.05,0.02,1.567,0.022,1.527,0.004,41.03,0.11,8.16,0.18,2.74,0.06,8.18,0.07,7.88,0.11,6.81,0.11,0.22,0.11
025,4,0.03993,1.06e-5,0.57,0.14,7.26,0.06,0.01,1.484,0.026,1.402,0.007,40.84,0.09,8.18,0.11,2.87,0.03,8.14,0.06,7.69,0.09,6.75,0.09,0.03,0.09
026,3,0.07051,0.78e-5,0.50,0.11,3.96,0.05,0.01,1.791,0.032,1.714,0.023,41.80,0.08,8.23,0.08,2.90,0.03,8.78,0.07,8.65,0.08,7.49,0.08,0.99,0.08
027,4,0.02021,0.78e-5,0.31,0.09,2.75,0.03,0.01,1.463,0.035,1.498,0.024,40.57,0.11,8.10,0.07,2.76,0.03,7.99,0.08,7.42,0.11,6.35,0.11,-0.24,0.11
028,4,0.02077,0.78e-5,0.39,0.16,7.37,0.04,0.02,1.480,0.026,1.492,0.005,40.17,0.09,8.22,0.17,2.57,0.04,7.83,0.06,7.02,0.09,6.45,0.09,-0.64,0.09
029,4,0.05547,1.46e-5,0.31,0.11,7.92,0.03,0.01,1.565,0.033,1.545,0.024,40.97,0.08,8.19,0.09,3.06,0.03,8.49,0.07,7.82,0.08,7.00,0.08,0.16,0.08
030,4,0.02370,0.94e-5,0.74,0.16,6.27,0.07,0.02,1.588,0.033,1.609,0.024,40.81,0.15,8.31,0.12,2.71,0.03,8.19,0.07,7.66,0.15,6.94,0.15,0.00,0.15
031,4,0.08769,1.19e-5,0.63,0.22,2.64,0.06,0.02,1.532,0.035,1.547,0.002,41.06,0.12,8.13,0.19,3.11,0.04,8.47,0.08,7.91,0.12,6.65,0.12,0.25,0.12
032,3,0.09729,0.86e-5,0.36,0.11,5.83,0.04,0.01,1.649,0.033,1.641,0.023,41.53,0.08,8.10,0.08,2.70,0.07,8.30,0.10,8.39,0.08,7.29,0.08,0.72,0.08
033,4,0.10937,0.41e-5,0.94,0.26,0.00,0.09,0.03,1.688,0.025,1.705,0.006,41.83,0.13,8.07,0.20,2.89,0.03,8.57,0.06,8.68,0.13,7.75,0.13,1.02,0.13
034,4,0.11245,0.63e-5,0.55,0.16,4.95,0.05,0.02,1.707,0.024,1.700,0.005,41.54,0.10,8.17,0.14,3.13,0.03,8.85,0.06,8.39,0.10,7.35,0.10,0.73,0.10
035,3,0.07302,0.85e-5,0.38,0.13,0.88,0.04,0.01,1.664,0.019,1.629,0.009,41.25,0.08,7.93,0.11,2.60,0.03,8.23,0.05,8.10,0.08,7.09,0.08,0.44,0.08
036,3,0.04258,1.61e-5,0.67,0.15,5.72,0.07,0.01,1.637,0.034,1.479,0.024,41.38,0.10,7.68,0.14,2.63,0.03,8.20,0.08,8.23,0.10,6.52,0.10,0.57,0.10
037,1,0.05156,1.19e-5,0.64,0.18,0.00,0.06,0.02,nan,nan,nan,nan,40.92,0.10,8.10,0.14,2.79,0.05,nan,nan,7.77,0.10,6.56,0.10,0.11,0.10
038,4,0.08479,0.86e-5,0.74,0.16,6.38,0.07,0.02,1.652,0.024,1.607,0.007,41.56,0.10,8.04,0.12,3.11,0.03,8.72,0.06,8.41,0.10,7.85,0.10,0.75,0.10
039,4,0.03065,1.06e-5,1.05,0.23,0.00,0.10,0.02,1.490,0.035,1.440,0.024,41.15,0.13,8.04,0.17,3.16,0.03,8.44,0.07,8.00,0.13,7.31,0.13,0.34,0.13
040,4,0.09209,1.19e-5,1.07,0.22,0.33,0.11,0.02,1.747,0.024,1.709,0.005,41.93,0.12,8.19,0.18,2.96,0.03,8.76,0.06,8.79,0.12,7.53,0.12,1.12,0.12
041,4,0.03127,1.24e-5,0.60,0.17,0.00,0.06,0.02,1.449,0.035,1.440,0.024,40.83,0.10,nan,nan,2.83,0.03,8.03,0.08,7.69,0.10,7.12,0.10,0.02,0.10
042,4,0.01125,1.80e-5,0.84,0.18,0.00,0.08,0.02,1.406,0.040,1.368,0.029,40.37,0.11,8.06,0.15,2.70,0.03,7.82,0.08,7.22,0.11,6.07,0.11,-0.44,0.11
043,4,0.07687,1.31e-5,0.55,0.13,0.00,0.05,0.01,1.725,0.032,1.565,0.027,41.91,0.09,8.11,0.10,2.99,0.03,8.74,0.07,8.76,0.09,7.62,0.09,1.10,0.09
044,4,0.09922,0.96e-5,0.79,0.18,6.27,0.08,0.02,1.766,0.024,1.747,0.007,41.77,0.10,8.19,0.13,2.92,0.03,8.76,0.06,8.63,0.10,7.34,0.10,0.96,0.10
045,4,0.12641,0.30e-5,0.24,0.09,3.19,0.02,0.01,1.646,0.025,1.632,0.004,41.60,0.08,8.13,0.08,3.02,0.04,8.62,0.06,8.45,0.08,7.23,0.08,0.79,0.08
