# lambda_min  lambda_max  label
3400.000 3749.000 bad_region+emission+spike
3752.000 3756.000 spike
3759.000 3801.716 bad_region+emission+spike
3815.000 3823.000 spike
3829.000 3855.000 emission+spike
3861.000 3873.044 bad_region+emission+spike
3876.000 3893.127 bad_region+emission+spike
3897.000 3912.000 spike
3917.000 3923.000 spike
3927.000 3936.000 spike
3943.000 3958.000 spike
3961.844 3976.503 bad_region+emission
3980.000 4004.000 spike
4007.000 4013.000 spike
4024.000 4029.000 spike
4044.000 4048.000 spike
4051.000 4058.000 spike
4061.000 4065.000 spike
4070.000 4084.000 spike
4091.000 4108.000 bad_region+emission+spike
4114.000 4143.000 spike
4163.000 4174.000 spike
4181.000 4185.000 spike
4246.000 4250.000 spike
4295.000 4299.000 spike
4317.000 4345.240 bad_region+emission+spike
4365.000 4369.000 spike
4396.000 4408.000 spike
4430.000 4445.000 spike
4466.000 4475.734 emission+spike
4478.000 4483.000 spike
4486.000 4490.000 spike
4499.000 4503.000 spike
4506.000 4511.000 spike
4521.000 4527.000 spike
4541.000 4545.000 spike
4548.000 4552.000 spike
4567.000 4576.000 spike
4609.000 4613.000 spike
4617.000 4621.000 spike
4640.000 4644.000 spike
4675.000 4680.000 spike
4750.000 4754.000 spike
4817.000 4821.000 spike
4832.000 4845.000 spike
4852.000 4867.000 bad_region+emission+spike
4882.000 4887.000 spike
4905.000 4913.000 spike
4931.000 4935.000 spike
4953.970 4965.000 bad_region+emission
5001.000 5014.000 bad_region+emission
5215.000 5224.000 spike
5416.000 5421.000 spike
5448.000 5457.177 emission+spike
5474.000 5478.000 spike
5556.000 5560.000 spike
5645.000 5649.000 spike
5699.000 5703.000 spike
5869.816 5881.812 bad_region+emission
6135.000 6139.000 spike
6154.000 6163.000 spike
6294.331 6306.648 bad_region+emission
6357.980 6369.747 emission
6544.000 6552.000 bad_region
6555.000 6570.000 bad_region+emission
6578.000 6589.000 bad_region
6671.342 6685.407 bad_region+emission
6710.345 6722.644 bad_region+emission
6725.000 6736.932 bad_region+emission
7058.955 7072.458 emission
7129.722 7142.189 bad_region+emission
7147.000 7151.000 spike
7313.625 7336.411 bad_region+emission
7442.000 7446.000 spike
7490.000 7494.000 spike
7534.000 7539.000 spike
7640.000 7644.000 spike
7745.072 7758.023 emission
7780.000 7784.000 spike
8085.000 8089.000 spike
8105.000 8109.000 spike
8130.000 8135.000 spike
