# wavelength  mask
3400.000 1
3401.000 1
3402.000 1
3403.000 1
3404.000 1
3405.000 1
3406.000 1
3407.000 1
3408.000 1
3409.000 1
3410.000 1
3411.000 1
3412.000 1
3413.000 1
3414.000 1
3415.000 1
3416.000 1
3417.000 1
3418.000 1
3419.000 1
3420.000 1
3421.000 1
3422.000 1
3423.000 1
3424.000 1
3425.000 1
3426.000 1
3427.000 1
3428.000 1
3429.000 1
3430.000 1
3431.000 1
3432.000 1
3433.000 1
3434.000 1
3435.000 1
3436.000 1
3437.000 1
3438.000 1
3439.000 1
3440.000 1
3441.000 1
3442.000 1
3443.000 1
3444.000 1
3445.000 1
3446.000 1
3447.000 1
3448.000 1
3449.000 1
3450.000 1
3451.000 1
3452.000 1
3453.000 1
3454.000 1
3455.000 1
3456.000 1
3457.000 1
3458.000 1
3459.000 1
3460.000 1
3461.000 1
3462.000 1
3463.000 1
3464.000 1
3465.000 1
3466.000 1
3467.000 1
3468.000 1
3469.000 1
3470.000 1
3471.000 1
3472.000 1
3473.000 1
3474.000 1
3475.000 1
3476.000 1
3477.000 1
3478.000 1
3479.000 1
3480.000 1
3481.000 1
3482.000 1
3483.000 1
3484.000 1
3485.000 1
3486.000 1
3487.000 1
3488.000 1
3489.000 1
3490.000 1
3491.000 1
3492.000 1
3493.000 1
3494.000 1
3495.000 1
3496.000 1
3497.000 1
3498.000 1
3499.000 1
3500.000 1
3501.000 1
3502.000 1
3503.000 1
3504.000 1
3505.000 1
3506.000 1
3507.000 1
3508.000 1
3509.000 1
3510.000 1
3511.000 1
3512.000 1
3513.000 1
3514.000 1
3515.000 1
3516.000 1
3517.000 1
3518.000 1
3519.000 1
3520.000 1
3521.000 1
3522.000 1
3523.000 1
3524.000 1
3525.000 1
3526.000 1
3527.000 1
3528.000 1
3529.000 1
3530.000 1
3531.000 1
3532.000 1
3533.000 1
3534.000 1
3535.000 1
3536.000 1
3537.000 1
3538.000 1
3539.000 1
3540.000 1
3541.000 1
3542.000 1
3543.000 1
3544.000 1
3545.000 1
3546.000 1
3547.000 1
3548.000 1
3549.000 1
3550.000 1
3551.000 1
3552.000 1
3553.000 1
3554.000 1
3555.000 1
3556.000 1
3557.000 1
3558.000 1
3559.000 1
3560.000 1
3561.000 1
3562.000 1
3563.000 1
3564.000 1
3565.000 1
3566.000 1
3567.000 1
3568.000 1
3569.000 1
3570.000 1
3571.000 1
3572.000 1
3573.000 1
3574.000 1
3575.000 1
3576.000 1
3577.000 1
3578.000 1
3579.000 1
3580.000 1
3581.000 1
3582.000 1
3583.000 1
3584.000 1
3585.000 1
3586.000 1
3587.000 1
3588.000 1
3589.000 1
3590.000 1
3591.000 1
3592.000 1
3593.000 1
3594.000 1
3595.000 1
3596.000 1
3597.000 1
3598.000 1
3599.000 1
3600.000 1
3601.000 1
3602.000 1
3603.000 1
3604.000 1
3605.000 1
3606.000 1
3607.000 1
3608.000 1
3609.000 1
3610.000 1
3611.000 1
3612.000 1
3613.000 1
3614.000 1
3615.000 1
3616.000 1
3617.000 1
3618.000 1
3619.000 1
3620.000 1
3621.000 1
3622.000 1
3623.000 1
3624.000 1
3625.000 1
3626.000 1
3627.000 1
3628.000 1
3629.000 1
3630.000 1
3631.000 1
3632.000 1
3633.000 1
3634.000 1
3635.000 1
3636.000 1
3637.000 1
3638.000 1
3639.000 1
3640.000 1
3641.000 1
3642.000 1
3643.000 1
3644.000 1
3645.000 1
3646.000 1
3647.000 1
3648.000 1
3649.000 1
3650.000 1
3651.000 1
3652.000 1
3653.000 1
3654.000 1
3655.000 1
3656.000 1
3657.000 1
3658.000 1
3659.000 1
3660.000 1
3661.000 1
3662.000 1
3663.000 1
3664.000 1
3665.000 1
3666.000 1
3667.000 1
3668.000 1
3669.000 1
3670.000 1
3671.000 1
3672.000 1
3673.000 1
3674.000 1
3675.000 1
3676.000 1
3677.000 1
3678.000 1
3679.000 1
3680.000 1
3681.000 1
3682.000 1
3683.000 1
3684.000 1
3685.000 1
3686.000 1
3687.000 1
3688.000 1
3689.000 1
3690.000 1
3691.000 1
3692.000 1
3693.000 1
3694.000 1
3695.000 1
3696.000 1
3697.000 1
3698.000 1
3699.000 1
3700.000 1
3701.000 1
3702.000 1
3703.000 1
3704.000 1
3705.000 1
3706.000 1
3707.000 1
3708.000 1
3709.000 1
3710.000 1
3711.000 1
3712.000 1
3713.000 1
3714.000 1
3715.000 1
3716.000 1
3717.000 1
3718.000 1
3719.000 1
3720.000 1
3721.000 1
3722.000 1
3723.000 1
3724.000 1
3725.000 1
3726.000 1
3727.000 1
3728.000 1
3729.000 1
3730.000 1
3731.000 1
3732.000 1
3733.000 1
3734.000 1
3735.000 1
3736.000 1
3737.000 1
3738.000 1
3739.000 1
3740.000 1
3741.000 1
3742.000 1
3743.000 1
3744.000 1
3745.000 1
3746.000 1
3747.000 1
3748.000 1
3749.000 1
3750.000 0
3751.000 0
3752.000 1
3753.000 1
3754.000 1
3755.000 1
3756.000 1
3757.000 0
3758.000 0
3759.000 1
3760.000 1
3761.000 1
3762.000 1
3763.000 1
3764.000 1
3765.000 1
3766.000 1
3767.000 1
3768.000 1
3769.000 1
3770.000 1
3771.000 1
3772.000 1
3773.000 1
3774.000 1
3775.000 1
3776.000 1
3777.000 1
3778.000 1
3779.000 1
3780.000 1
3781.000 1
3782.000 1
3783.000 1
3784.000 1
3785.000 1
3786.000 1
3787.000 1
3788.000 1
3789.000 1
3790.000 1
3791.000 1
3792.000 1
3793.000 1
3794.000 1
3795.000 1
3796.000 1
3797.000 1
3798.000 1
3799.000 1
3800.000 1
3801.000 1
3802.000 0
3803.000 0
3804.000 0
3805.000 0
3806.000 0
3807.000 0
3808.000 0
3809.000 0
3810.000 0
3811.000 0
3812.000 0
3813.000 0
3814.000 0
3815.000 1
3816.000 1
3817.000 1
3818.000 1
3819.000 1
3820.000 1
3821.000 1
3822.000 1
3823.000 1
3824.000 0
3825.000 0
3826.000 0
3827.000 0
3828.000 0
3829.000 1
3830.000 1
3831.000 1
3832.000 1
3833.000 1
3834.000 1
3835.000 1
3836.000 1
3837.000 1
3838.000 1
3839.000 1
3840.000 1
3841.000 1
3842.000 1
3843.000 1
3844.000 1
3845.000 1
3846.000 1
3847.000 1
3848.000 1
3849.000 1
3850.000 1
3851.000 1
3852.000 1
3853.000 1
3854.000 1
3855.000 1
3856.000 0
3857.000 0
3858.000 0
3859.000 0
3860.000 0
3861.000 1
3862.000 1
3863.000 1
3864.000 1
3865.000 1
3866.000 1
3867.000 1
3868.000 1
3869.000 1
3870.000 1
3871.000 1
3872.000 1
3873.000 1
3874.000 0
3875.000 0
3876.000 1
3877.000 1
3878.000 1
3879.000 1
3880.000 1
3881.000 1
3882.000 1
3883.000 1
3884.000 1
3885.000 1
3886.000 1
3887.000 1
3888.000 1
3889.000 1
3890.000 1
3891.000 1
3892.000 1
3893.000 1
3894.000 0
3895.000 0
3896.000 0
3897.000 1
3898.000 1
3899.000 1
3900.000 1
3901.000 1
3902.000 1
3903.000 1
3904.000 1
3905.000 1
3906.000 1
3907.000 1
3908.000 1
3909.000 1
3910.000 1
3911.000 1
3912.000 1
3913.000 0
3914.000 0
3915.000 0
3916.000 0
3917.000 1
3918.000 1
3919.000 1
3920.000 1
3921.000 1
3922.000 1
3923.000 1
3924.000 0
3925.000 0
3926.000 0
3927.000 1
3928.000 1
3929.000 1
3930.000 1
3931.000 1
3932.000 1
3933.000 1
3934.000 1
3935.000 1
3936.000 1
3937.000 0
3938.000 0
3939.000 0
3940.000 0
3941.000 0
3942.000 0
3943.000 1
3944.000 1
