plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'267','51608','421','26','300731025703593984','09:50:23.32','+00:42:29.28',12.02,0.097702,6e-06,'16','GALAXY','STARBURST'
'270','51909','617','26','304162606543824896','10:14:30.98','+00:47:55.07',10.31,0.146743,6e-06,'0','GALAXY','STARBURST'
'275','51910','445','26','309744827094820864','10:45:54.78','+01:04:05.84',22.14,0.026199,8e-06,'16','GALAXY','STARBURST'
'283','51959','389','26','318736634008856576','11:42:12.40','+00:20:02.69',41.36,0.018554,8e-06,'16','GALAXY','STARBURST'
'337','51997','97','26','379454965267064832','12:53:05.97','-03:12:58.94',35.58,0.022723,1e-05,'16','GALAXY','STARBURST'
'341','51690','606','26','384098472598464512','13:23:47.46','-01:32:51.95',6.97,0.022464,3.1e-05,'0','GALAXY','STARBURST'
'375','52140','118','26','422244936562272256','22:25:10.13','-00:11:52.84',9.66,0.066681,5e-06,'0','GALAXY','STARBURST'
'375','52140','348','26','422308158480869376','22:18:23.86','+00:39:18.41',8.08,0.108428,5e-06,'0','GALAXY','STARBURST'
'381','51811','370','26','429069599716173824','23:07:03.75','+01:13:11.21',16.06,0.125766,1e-05,'0','GALAXY','STARBURST'
'382','51816','328','26','430183954834810880','23:14:42.14','+01:06:21.14',9.12,0.034218,6e-06,'0','GALAXY','STARBURST'
'384','51821','281','26','432422835470755840','23:29:36.56','-01:10:56.93',12.53,0.065995,6e-06,'0','GALAXY','STARBURST'
'388','51793','457','26','436974813139986432','00:06:57.03','+00:51:25.96',9.05,0.073682,4e-06,'0','GALAXY','STARBURST'
'394','51913','472','26','443734337762912256','00:51:47.31','+00:09:40.05',20.37,0.037556,2e-06,'16','GALAXY','STARBURST'
'400','51820','441','26','450481214428571648','01:33:44.64','+00:57:11.27',11.92,0.019241,6e-06,'0','GALAXY','STARBURST'
'410','51816','220','26','461679465412454400','02:54:26.12','-00:41:22.70',23.36,0.014784,4e-06,'0','GALAXY','STARBURST'
'415','51810','141','26','467287249491355648','03:35:26.64','-00:38:11.32',9.97,0.023168,4e-06,'0','GALAXY','STARBURST'
'418','51817','302','26','470709204672342016','00:32:18.59','+15:00:14.17',25.88,0.017888,4e-06,'0','GALAXY','STARBURST'
'429','51820','495','26','483147155133982720','01:47:07.04','+13:56:29.29',14.14,0.056623,3e-06,'16','GALAXY','STARBURST'
'442','51882','156','26','497690671352670208','08:25:30.68','+50:48:04.46',11.76,0.096858,8e-06,'0','GALAXY','STARBURST'
'447','51877','361','26','503376520773920768','08:45:27.62','+53:08:52.97',16.0,0.031071,7e-06,'16','GALAXY','STARBURST'
'456','51910','195','26','513463990756599808','02:44:53.67','-08:21:37.94',9.1,0.077591,5e-06,'0','GALAXY','STARBURST'
'456','51910','306','26','513494502204270592','02:40:52.20','-08:28:27.43',6.25,0.082218,7e-06,'16','GALAXY','STARBURST'
'458','51929','185','26','515713042109982720','03:03:21.41','-07:59:23.20',6.47,0.164813,1.2e-05,'0','GALAXY','STARBURST'
'459','51924','253','26','516857633630611456','03:10:23.95','-08:34:32.83',10.47,0.051519,6e-06,'0','GALAXY','STARBURST'
'465','51910','524','26','523687524749568000','04:09:37.62','-05:18:05.82',8.04,0.074775,5e-06,'16','GALAXY','STARBURST'
'472','51955','546','26','531574872166393856','09:16:52.23','+00:31:14.04',9.91,0.05699,4e-06,'0','GALAXY','STARBURST'
'474','52000','610','26','533844264921098240','09:29:18.39','+00:28:13.25',5.3,0.093874,5e-06,'0','GALAXY','STARBURST'
'481','51908','483','26','541690653231310848','09:52:26.96','+02:17:59.85',12.12,0.119123,1.2e-05,'16','GALAXY','STARBURST'
'485','51909','550','26','546212669695223808','09:30:06.43','+60:26:53.40',20.31,0.013659,6e-06,'16','GALAXY','STARBURST'
'488','51914','439','26','549559858051966976','10:10:36.63','+64:12:42.60',36.03,0.039532,6e-06,'16','GALAXY','STARBURST'
'490','51929','128','26','551726171088250880','10:57:41.94','+65:35:39.80',31.39,0.011494,5e-06,'16','GALAXY','STARBURST'
'501','52235','602','26','564241367325239296','10:07:46.51','+02:52:28.46',18.91,0.023492,4e-06,'16','GALAXY','STARBURST'
'505','52317','228','26','568642163991144448','10:34:12.23','+01:42:49.14',7.95,0.068704,4e-06,'0','GALAXY','STARBURST'
'507','52353','87','26','570855206623930368','10:53:31.41','+01:17:40.43',11.11,0.123796,6e-06,'0','GALAXY','STARBURST'
'507','52353','521','26','570974503635544064','10:52:10.41','+03:27:13.28',8.6,0.15015,8e-06,'0','GALAXY','STARBURST'
'549','51981','621','26','618289781272504320','08:40:29.91','+47:07:10.28',11.91,0.042081,2.4e-05,'0','QSO','STARBURST'
'556','51991','224','26','626061954259118080','09:38:13.50','+54:28:25.03',22.66,0.102102,7e-06,'16','GALAXY','STARBURST'
'564','52224','216','26','635066958399694848','08:44:14.23','+02:26:21.10',24.94,0.091093,5e-06,'16','GALAXY','STARBURST'
'564','52224','283','26','635085375219460096','08:40:56.02','+02:20:30.94',19.79,0.050376,6e-06,'16','GALAXY','STARBURST'
'566','52238','497','26','637395999140112384','09:05:31.08','+03:35:30.38',11.46,0.039088,6e-06,'16','GALAXY','STARBURST'
'575','52319','521','26','647535696730417152','10:24:29.25','+05:24:51.02',20.57,0.033191,4e-06,'16','GALAXY','STARBURST'
'578','52339','60','26','650786678071388160','10:44:57.79','+03:53:13.15',13.65,0.012873,2.7e-05,'0','GALAXY','STARBURST'
'580','52368','302','26','653104998825093120','10:53:26.02','+04:30:14.50',17.13,0.019001,5e-06,'0','GALAXY','STARBURST'
'637','52174','399','26','717307953417316352','21:01:14.40','-05:55:10.31',8.4,0.196179,6e-06,'0','GALAXY','STARBURST'
'637','52174','523','26','717342038277777408','21:05:01.51','-06:22:38.89',12.33,0.142844,1e-05,'0','GALAXY','STARBURST'
'639','52146','143','26','719489384017061888','21:19:02.28','-07:42:26.82',8.65,0.089564,8e-06,'0','GALAXY','STARBURST'
'639','52146','242','26','719516596929849344','21:15:27.08','-07:59:51.36',10.6,0.028449,7e-06,'0','GALAXY','STARBURST'
'640','52178','267','26','720649369321236480','21:23:32.71','-07:48:31.15',12.12,0.027974,6e-06,'0','GALAXY','STARBURST'
'652','52138','90','26','734111514142730240','00:16:47.76','-10:47:42.29',24.49,0.023246,5e-06,'0','GALAXY','STARBURST'
'653','52145','462','26','735339668748396544','00:23:39.62','-09:48:48.68',12.74,0.053034,5e-06,'16','GALAXY','STARBURST'
'658','52146','312','26','740927936613345280','00:56:02.26','-10:10:09.46',14.0,0.058174,6e-06,'0','GALAXY','STARBURST'
'662','52147','466','26','745473867455162368','01:32:58.55','-08:53:37.70',16.71,0.095247,7e-06,'16','GALAXY','STARBURST'
'664','52174','355','26','747695156274161664','01:41:37.22','-09:14:35.24',12.75,0.018065,4e-06,'0','GALAXY','STARBURST'
'668','52162','89','26','752125638176958464','02:20:37.66','-09:29:07.29',8.09,0.113164,7e-06,'0','GALAXY','STARBURST'
'668','52162','152','26','752142955485095936','02:18:52.91','-09:12:18.80',6.26,0.012708,4e-06,'0','GALAXY','STARBURST'
'735','52519','461','26','827663192506263552','22:08:02.87','+13:13:34.55',10.71,0.116217,7e-06,'0','GALAXY','STARBURST'
'740','52263','259','26','833237162408306688','22:45:56.93','+12:50:22.36',19.05,0.080478,8e-06,'0','GALAXY','STARBURST'
'741','52261','279','26','834368559839733760','22:51:40.32','+13:27:13.41',24.89,0.062142,6e-06,'0','GALAXY','STARBURST'
'742','52263','161','26','835462024187111424','23:01:17.65','+13:52:30.30',12.53,0.024556,5e-06,'0','GALAXY','STARBURST'
'742','52263','179','26','835466971989436416','23:01:23.59','+13:33:14.79',14.87,0.030289,4e-06,'16','GALAXY','STARBURST'
'753','52233','94','26','847828505839298560','00:24:25.95','+14:04:10.65',28.36,0.01424,6e-06,'0','GALAXY','STARBURST'
'769','52282','100','26','865844554438305792','09:51:31.77','+52:59:36.05',8.81,0.046169,5e-06,'16','GALAXY','STARBURST'
'854','52373','514','26','961659847500130304','13:45:31.50','+04:42:32.71',24.17,0.03041,3e-06,'16','GALAXY','STARBURST'
'859','52317','70','26','967167300304136192','08:00:00.70','+27:46:42.03',18.62,0.039253,8e-06,'0','GALAXY','STARBURST'
'861','52318','489','26','969534273977608192','08:13:34.18','+31:32:52.14',27.06,0.01953,5e-06,'0','GALAXY','STARBURST'
'899','52620','594','26','1012347337684576256','09:14:34.95','+47:02:07.24',24.76,0.027269,7e-06,'16','GALAXY','STARBURST'
'920','52411','575','26','1035986009541601280','14:48:05.38','-01:10:57.72',25.54,0.027398,7e-06,'16','GALAXY','STARBURST'
'934','52672','369','26','1051691987767420928','08:46:34.40','+36:26:20.85',25.5,0.010636,7e-06,'16','GALAXY','STARBURST'
'941','52709','109','26','1059501819480270848','09:48:09.90','+42:57:13.56',15.61,0.017127,6e-06,'0','GALAXY','STARBURST'
'976','52413','600','26','1099043276306016256','17:12:36.63','+32:16:33.43',12.66,0.01195,4e-06,'0','GALAXY','STARBURST'
'987','52523','440','26','1111384196661667840','21:20:43.96','+01:00:06.90',12.76,0.113716,1.1e-05,'0','GALAXY',''
'999','52636','517','26','1124916163038439424','10:33:28.53','+07:08:01.76',40.86,0.04453,6e-06,'16','GALAXY','STARBURST'
'1001','52670','363','26','1127125632224880640','10:47:55.92','+07:39:51.19',6.47,0.168284,1.9e-05,'0','QSO','STARBURST'
'1003','52641','327','26','1129367535947376640','10:59:40.97','+08:00:56.80',17.22,0.027516,4e-06,'0','GALAXY','STARBURST'
'1177','52824','556','26','1325337069848913920','21:43:50.86','-07:20:03.67',9.64,0.109874,1e-05,'0','GALAXY','STARBURST'
'1195','52724','60','26','1345466927052515328','09:25:40.94','+06:31:16.85',10.87,0.074865,5e-06,'0','GALAXY','STARBURST'
'1216','52709','619','26','1369264481594533888','09:55:45.56','+41:34:29.87',23.83,0.015659,5e-06,'0','GALAXY','STARBURST'
'1240','52734','340','26','1396209388842149888','10:35:09.33','+09:45:16.79',11.87,0.049205,6e-06,'0','GALAXY','STARBURST'
'1269','52937','177','26','1428815684447528960','08:42:19.08','+30:07:03.59',19.15,0.08406,9e-06,'0','GALAXY','STARBURST'
'1302','52763','639','26','1466097372047108096','09:27:49.19','+08:40:37.17',7.83,0.107062,7e-06,'0','GALAXY','STARBURST'
'1582','52939','335','26','1781265786032121856','07:48:06.30','+19:31:46.97',6.93,0.062913,8e-06,'16','GALAXY','STARBURST'
'1585','52962','261','26','1784623145173411840','08:14:03.78','+23:53:28.99',10.04,0.019883,5e-06,'0','GALAXY','STARBURST'
'1594','52992','563','26','1794839257966209024','09:42:52.78','+35:47:25.98',19.73,0.014857,6e-06,'16','GALAXY','STARBURST'
'1601','53115','168','26','1802611982604462080','10:48:29.22','+11:15:20.12',8.35,0.092703,6e-06,'0','GALAXY','STARBURST'
'1612','53149','73','26','1814970768748996608','12:13:29.49','+11:40:56.88',19.54,0.020655,7e-06,'0','GALAXY','STARBURST'
'1695','53473','627','26','1908572748813199360','13:01:19.26','+12:39:59.47',24.23,0.069155,5e-06,'16','GALAXY','STARBURST'
'1697','53142','415','26','1910766268957353984','13:12:35.16','+12:57:43.34',15.67,0.025744,5e-06,'0','GALAXY','STARBURST'
'1745','53061','463','26','1964822657266378752','10:11:57.09','+13:08:22.12',3.82,0.143776,5e-06,'0','GALAXY','STARBURST'
'1745','53061','475','26','1964825955801262080','10:10:42.54','+12:55:16.81',26.16,0.061313,2.3e-05,'16','GALAXY','STARBURST'
'1749','53357','26','26','1969206140214470656','10:51:08.89','+13:19:27.99',16.77,0.045426,7e-06,'16','GALAXY','STARBURST'
'1749','53357','499','26','1969336157464455168','10:46:53.99','+13:46:45.78',12.92,0.01061,4e-06,'16','GALAXY','STARBURST'
'1758','53084','338','26','1979424996702840832','08:25:20.11','+08:27:23.20',10.57,0.086851,8e-06,'0','GALAXY','STARBURST'
'1781','53297','55','26','2005242907686103040','08:17:37.59','+52:02:36.32',29.56,0.023554,8e-06,'16','GALAXY','STARBURST'
'1872','53386','526','26','2107829268196124672','08:14:20.78','+57:50:08.01',16.56,0.055253,5e-06,'0','GALAXY','STARBURST'
'1921','53317','281','26','2162931017386584064','07:49:47.01','+15:40:13.33',8.62,0.074189,5e-06,'0','GALAXY','STARBURST'
'1922','53315','588','26','2164141304777304064','08:06:19.50','+19:49:27.31',32.81,0.069779,5e-06,'16','GALAXY','STARBURST'
'1927','53321','6','26','2169610825470339072','08:27:22.58','+20:26:12.76',11.84,0.108599,6e-06,'0','GALAXY','STARBURST'
'1935','53387','204','26','2178672451657951232','09:04:18.12','+26:01:06.38',17.76,0.098388,6e-06,'0','GALAXY','STARBURST'
'1945','53387','346','26','2189970483389163520','09:42:54.27','+34:04:11.89',4.42,0.022487,4e-06,'0','GALAXY','STARBURST'
'1946','53432','609','26','2191168676940507136','09:52:27.54','+32:28:09.46',15.65,0.014931,4e-06,'0','GALAXY','STARBURST'
'1947','53431','448','26','2192250321487554560','09:50:00.78','+30:03:41.04',14.32,0.017298,4e-06,'0','GALAXY','STARBURST'
'1981','53463','438','26','2230528170078005248','10:47:23.61','+30:21:44.29',40.63,0.029447,7e-06,'16','GALAXY','STARBURST'
'1983','53442','308','26','2232744235411466240','10:50:40.84','+34:29:47.34',12.19,0.052196,6e-06,'16','GALAXY','STARBURST'
'2112','53534','557','26','2378053769536497664','13:25:49.43','+33:03:54.38',28.8,0.01462,7e-06,'16','GALAXY','STARBURST'
'2132','53493','241','26','2400484905566889984','14:23:42.88','+22:57:28.79',10.85,0.032848,1.8e-05,'0','GALAXY','STARBURST'
'2208','53880','306','26','2486071172043663360','16:21:52.57','+15:18:55.98',22.48,0.034341,6e-06,'16','GALAXY','STARBURST'
'2278','53711','411','26','2564913024867526656','08:40:00.37','+18:05:31.01',8.9,0.072188,7e-06,'0','GALAXY','STARBURST'
'2284','53708','545','26','2571705257897781248','09:05:06.86','+22:38:33.93',10.59,0.125548,9e-06,'0','GALAXY',''
'2293','53730','5','26','2581689923358713856','09:34:24.09','+22:25:22.65',10.19,0.084322,5e-06,'16','GALAXY','STARBURST'
'2347','53757','501','26','2642624858223044608','10:11:36.06','+26:30:27.53',13.62,0.054666,5e-06,'16','GALAXY','STARBURST'
'2353','53794','585','26','2649403348029040640','10:32:26.96','+27:17:55.28',6.25,0.19249,9e-06,'0','GALAXY','STARBURST'
'2356','53786','172','26','2652667523039782912','10:37:26.55','+27:07:59.70',10.06,0.077077,5e-06,'0','GALAXY','STARBURST'
'2361','53762','523','26','2658393504316680192','09:40:00.52','+20:31:22.54',14.49,0.044799,7e-06,'0','GALAXY','STARBURST'
'2372','53768','508','26','2670774280224008192','10:07:20.49','+19:33:49.63',5.69,0.03141,5e-06,'0','GALAXY','STARBURST'
'2373','53768','560','26','2671914473782011904','10:14:58.64','+19:32:19.55',6.73,0.012629,4e-06,'0','GALAXY','STARBURST'
'2426','53795','15','26','2731437360838371328','08:42:20.94','+11:50:00.40',15.62,0.029441,7e-06,'16','GALAXY','STARBURST'
'2427','53815','117','26','2732591298627266560','08:39:46.02','+14:00:33.24',11.6,0.111593,7e-06,'0','GALAXY','STARBURST'
'2430','53815','117','26','2735968998347794432','08:52:21.72','+12:16:51.76',18.97,0.075924,6e-06,'16','GALAXY','STARBURST'
'2439','53795','372','26','2746172191040104448','09:16:40.98','+18:28:07.91',11.03,0.021771,5e-06,'0','GALAXY','STARBURST'
'2483','53852','254','26','2795679352304461824','10:50:32.52','+15:38:06.31',13.39,0.084427,5e-06,'16','GALAXY','STARBURST'
'2489','53857','123','26','2802398742823593984','11:08:38.50','+22:38:09.78',12.46,0.023815,5e-06,'0','GALAXY','STARBURST'
