Complexity,Loss,Equation
1,0.14603919,"-0.14276357"
3,0.141194,"n_e * -0.0011561187"
4,0.13930435,"log10(logR_u + -2.0287342)"
5,0.13463296,"(n_e * -0.07315576) / Pop_10Myr"
7,0.11503951,"(-0.02739345 / (logR_u + -3.2123716)) + -0.23965277"
9,0.11259388,"((fneb_4020 / (logR_u + -3.2195077)) + 0.4467818) * -0.57366234"
10,0.11241731,"(-0.2858658 / exp(A_v)) + (-0.028251477 / (-3.21158 + logR_u))"
11,0.10481396,"(-0.027849298 / (logR_u + ((0.35889462 / n_e) + -3.2151637))) + -0.25062975"
14,0.10005444,"(A_v / exp(n_e / Pop_10Myr)) + (-0.2858658 + (-0.028251477 / (logR_u + -3.21158)))"
15,0.09769412,"((-0.027402805 / (logR_u + -3.210678)) + (A_v / (A_v + (n_e / Pop_10Myr)))) + -0.34749874"
16,0.09592522,"((-0.027337363 / (logR_u + -3.2111692)) + -0.3068742) + (A_v / (exp(n_e / Pop_10Myr) + -0.57863903))"
17,0.09530256,"((A_v / ((fneb_4020 * (n_e / logR_u)) + A_neb)) + (-0.028627824 / (logR_u + -3.2109325))) + -0.33911642"
18,0.0946521,"((A_v / (exp(n_e / Pop_10Myr) + -0.5858076)) + (-0.8466059 / logR_u)) + (-0.026088258 / (logR_u + -3.2111979))"
19,0.093475856,"((fneb_4020 + (A_v / (((n_e / logR_u) * fneb_4020) + A_v))) + (-0.028254395 / (logR_u + -3.2107286))) + -0.39651546"
20,0.0932061,"(fneb_4020 + (A_v / (exp(n_e / Pop_10Myr) + -0.5840332))) + ((-1.0134373 / logR_u) + (-0.025662657 / (logR_u + -3.2111716)))"
21,0.09144299,"(-0.028205723 / (logR_u + -3.2123716)) + ((A_v / ((A_v / n_e) + ((n_e / logR_u) * fneb_4020))) + (-0.41463983 + fneb_4020))"
23,0.083390824,"(-0.029052194 / (logR_u + -3.209642)) + (((fneb_4020 / (A_v + 0.17176586)) + (A_v / (fneb_4020 * ((n_e / burstAge_M) + 5.7627783)))) + -0.64847535)"
25,0.081108615,"(-0.027389867 / (-3.21158 + logR_u)) + ((((fneb_4020 / (0.07881706 + A_v)) + -1.5554392) / logR_u) + (A_v / (fneb_4020 * (burstAge_L + (n_e / burstAge_M)))))"
27,0.07966702,"(-0.027389867 / (-3.21158 + logR_u)) + ((((fneb_4020 / (0.07881706 + A_v)) + -1.5554392) / logR_u) + (A_v / (fneb_4020 * (burstAge_L + (n_e / (Pop_10Myr / OHratio))))))"
29,0.079645656,"(((((fneb_4020 + 0.000386047) / (A_v + 0.07881706)) + -1.5554392) / logR_u) + (A_v / (fneb_4020 * (burstAge_L + (n_e / (Pop_10Myr / OHratio)))))) + (-0.027389867 / (logR_u + -3.21158))"
30,0.079573214,"(A_v / ((burstAge_L + (OHratio * (n_e / Pop_10Myr))) * fneb_4020)) + ((-1.5558832 / logR_u) + ((log10(fneb_4020 + 0.9972705) / (A_v + 0.08279915)) + (-0.025993317 / (logR_u + -3.212547))))"
