Complexity,Loss,Equation
1,0.14603919,"-0.14276358"
3,0.14119399,"n_e * -0.0011562894"
4,0.13930435,"log10(logR_u + -2.0287342)"
5,0.13456137,"(n_e / fneb_4020) * -6.9194226e-5"
7,0.1293287,"((n_e / T_e) * -900.8003) / Pop_10Myr"
9,0.11514423,"(0.21696466 / (OHratio * (3.2111685 - logR_u))) + -0.23798428"
11,0.11373342,"((A_neb / (OHratio * (3.2099116 - logR_u))) + -0.4657851) * 0.41959786"
12,0.11335083,"(A_neb / (log10(Pop_10Myr) * ((3.2131872 - logR_u) * lgt_av_M))) + -0.20955001"
13,0.11204695,"fneb_4020 - ((2.598663 - logR_u) + (0.23987405 / (log10(exp(OHratio)) - logR_u)))"
15,0.109746955,"((fneb_4020 - 0.27507812) / (log10(exp(OHratio)) - logR_u)) + ((2.598602 - logR_u) * -1.0870315)"
17,0.106063,"((fneb_4020 - 0.40424973) / (log10(exp(A_v + OHratio)) - logR_u)) + ((2.5089517 - logR_u) * -1.306391)"
19,0.102792636,"((((fneb_4020 - 0.27111644) + (A_v / n_e)) / (log10(exp(OHratio)) - logR_u)) - (logR_u * -1.0688822)) + -2.7910872"
21,0.09907983,"((((A_v / exp(log10(n_e))) + (fneb_4020 - 0.2840605)) / (log10(exp(OHratio)) - logR_u)) - (logR_u * -1.0804794)) + -2.8332965"
23,0.097417854,"((((A_v / exp(log10(n_e))) + (fneb_4020 - 0.22114672)) / (log10(exp(OHratio)) - logR_u)) + (-2.1302586 - (logR_u * -0.80607414))) * 1.3884114"
25,0.09728934,"(((((fneb_4020 + (A_v / exp(log10(n_e)))) - 0.20391063) / (log10(exp(OHratio)) - logR_u)) + ((3.1442428 - logR_u) * -0.72021776)) - -0.35283923) / 0.67380285"
26,0.097004,"(((((A_v / (log10(n_e) + 1.1697329)) - (0.06593093 / (log10(exp(OHratio)) - logR_u))) + ((2.803277 - logR_u) * -0.33945477)) + fneb_4020) / 0.27455154) - A_v"
27,0.09604527,"(((((A_v / exp(A_v + log10(n_e))) + (fneb_4020 - 0.15869571)) / (log10(exp(OHratio)) - logR_u)) + ((3.1886168 - logR_u) * -0.5212992)) - -0.27143717) / 0.48383355"
28,0.0887369,"((((2.8167665 - logR_u) * -0.3229746) + ((fneb_4020 + (A_v / exp(exp(log10(n_e) + -1.7771461)))) - (0.062384572 / (log10(exp(OHratio)) - logR_u)))) / 0.26089734) - A_v"
30,0.087327644,"((((((2.720196 - logR_u) * -0.21759245) + ((A_v / exp(exp(log10(n_e) + -1.9807492))) - (0.044505257 / (log10(exp(OHratio)) - logR_u)))) / 0.3558293) + fneb_4020) - A_v) * 1.8607196"
