Complexity,Loss,Equation
1,0.14603919,"-0.14276357"
3,0.141194,"n_e * -0.0011561431"
4,0.13930435,"log10(logR_u + -2.0287158)"
5,0.13456137,"(n_e * -6.919422e-5) / fneb_4020"
7,0.13212365,"(-0.09170107 / (logR_u + -2.2429621)) + fneb_4020"
8,0.13183782,"(log10(n_e) * -0.032106306) / (logR_u + -2.290362)"
9,0.12901756,"logR_u * ((-0.06006009 / (logR_u + -2.184674)) + fneb_4020)"
10,0.12602846,"(fneb_4020 + (-0.07421235 / (logR_u + -2.1906934))) * log10(n_e)"
11,0.12225942,"(-0.17032358 / (((lgt_av_M * -1.3322152) * A_neb) + OHratio)) + -0.10910786"
12,0.120253496,"((-2.2885523 / logR_u) / exp(A_v * (Pop_10Myr / n_e))) + 0.5804591"
13,0.117184624,"(-0.14678873 / (logR_u + -2.3614836)) / (((lgt_av_M * -1.3361422) * A_neb) + OHratio)"
14,0.11564688,"((-2.530044 / (logR_u - A_v)) / exp((A_v * Pop_10Myr) / n_e)) + 0.7012782"
15,0.11082077,"(-0.038110923 / (logR_u + -2.3265495)) + (-0.17061532 / (OHratio + ((lgt_av_M * -1.3321663) * A_neb)))"
17,0.1076652,"fneb_4020 + ((-0.17101726 / (((lgt_av_M * A_neb) * -1.3335959) + OHratio)) + (-0.07072922 / (logR_u + -2.2764025)))"
19,0.10725312,"((-0.16971189 / (OHratio + (lgt_av_M * (A_neb * -1.3342642)))) + ((-0.19124757 / (logR_u + -2.1077414)) + fneb_4020)) - -0.14244492"
20,0.10561353,"(-0.16988482 / (OHratio + ((A_neb * -1.3343759) * lgt_av_M))) - (((burstAge_M / logR_u) + -2.140747) / exp(Pop_10Myr / n_e))"
22,0.10327373,"(fneb_4020 - (((burstAge_M / logR_u) + -2.0440156) / exp(Pop_10Myr / n_e))) + (-0.16531363 / (OHratio + (A_neb * (lgt_av_M * -1.334912))))"
23,0.10272369,"fneb_4020 + ((-0.17009889 / (OHratio + (lgt_av_M * (A_neb * -1.3359609)))) - (((burstAge_M / logR_u) + -2.099824) / ((Pop_10Myr / n_e) + 0.9274317)))"
24,0.099121146,"((((12.054578 / logR_u) / exp(A_v * (Pop_10Myr / n_e))) + -3.1873462) * -0.1802625) + (-0.14539985 / (((A_neb * -1.3366238) * lgt_av_M) + OHratio))"
26,0.09346084,"((((11.981036 / (logR_u - A_v)) / exp((A_v / n_e) * Pop_10Myr)) + -3.4436452) * -0.20592177) + (-0.13969949 / (OHratio + ((lgt_av_M * -1.3385268) * A_neb)))"
28,0.09127324,"((fneb_4020 - 0.2678208) * (((11.983802 / (logR_u - A_v)) / exp(A_v * (Pop_10Myr / n_e))) + -3.3971717)) + (-0.13250153 / (OHratio + (lgt_av_M * (A_neb * -1.3392485))))"
30,0.090061896,"((fneb_4020 - A_v) / (OHratio + ((A_neb * -1.3443048) * lgt_av_M))) + ((((11.985138 / (logR_u - A_v)) / exp(Pop_10Myr * (A_v / n_e))) + -3.393704) * (fneb_4020 - 0.28207582))"
