Complexity,Loss,Equation
1,0.14603919,"-0.1427636"
3,0.14119399,"n_e * -0.0011562894"
4,0.13930435,"log10(logR_u + -2.0287168)"
5,0.13463296,"(n_e * -0.07316175) / Pop_10Myr"
7,0.12932871,"(-901.10504 / T_e) / (Pop_10Myr / n_e)"
9,0.12900256,"-1130.6677 / (T_e / ((n_e + -24.051064) / Pop_10Myr))"
10,0.12209493,"(A_neb / exp((n_e * n_e) / T_e)) + -0.23993205"
12,0.120132536,"((A_neb + fneb_4020) / exp(n_e * (n_e / T_e))) + -0.26869804"
13,0.11198485,"A_neb - ((A_neb / ((Pop_10Myr / n_e) / (0.015063885 / fneb_4020))) - -0.22584732)"
15,0.11055235,"((fneb_4020 * 19.830418) * (A_neb - 0.19443381)) + (A_neb / ((Pop_10Myr / n_e) / -0.32626572))"
16,0.10939582,"(log10(lgt_av_M) * (((A_neb / ((Pop_10Myr / n_e) / -0.015375003)) / fneb_4020) + -0.25070864)) + A_neb"
17,0.105809696,"((A_neb - 0.14800057) - burstAge_M) + (((A_neb / ((Pop_10Myr / n_e) / -0.0165702)) / fneb_4020) + burstAge_L)"
19,0.10246021,"(((fneb_4020 * 19.7014) * (A_neb - 0.14276788)) + burstAge_L) + ((A_neb / ((Pop_10Myr / n_e) / -0.3517854)) - burstAge_M)"
21,0.09911904,"((((A_neb - 0.15188226) * fneb_4020) * 19.671188) + (burstAge_L + ((lgt_av_M * A_neb) / ((Pop_10Myr / n_e) / -0.03852334)))) - burstAge_M"
23,0.09767576,"((((A_neb - (0.4558825 / logR_u)) * fneb_4020) * 19.671188) + (burstAge_L + ((lgt_av_M * A_neb) / ((Pop_10Myr / n_e) / -0.03852334)))) - burstAge_M"
25,0.09287465,"((fneb_4020 * (A_neb - 0.13485622)) * 16.803295) + (((A_neb / (Pop_10Myr / (n_e / -3.0130177))) + (burstAge_L - (0.3277401 / (n_e - Pop_10Myr)))) - burstAge_M)"
26,0.08786684,"((A_neb - 0.14142773) * ((fneb_4020 * 16.315928) - (0.025135204 / (log10(n_e) - 1.7239544)))) + ((((A_neb / Pop_10Myr) / (-3.0898967 / n_e)) + burstAge_L) - burstAge_M)"
28,0.08629944,"(A_neb / (Pop_10Myr / (n_e / -2.7718594))) + (((burstAge_L + (((fneb_4020 * 16.315838) - (0.025199562 / (log10(n_e) - 1.728205))) * (A_neb - 0.12825516))) - burstAge_M) / 0.78464955)"
29,0.08427736,"((((A_neb - 0.13141763) * ((fneb_4020 * 16.315928) - (0.025135204 / (log10(n_e) - 1.7239544)))) + (burstAge_L - burstAge_M)) / log10(lgt_av_M)) + (A_neb / (Pop_10Myr / (n_e / -3.0898967)))"
30,0.0841571,"((burstAge_L + (((A_neb - exp(-1.9954125)) * ((fneb_4020 * 16.315928) - (0.025135204 / (log10(n_e) - 1.7239544)))) - burstAge_M)) / log10(lgt_av_M)) + (A_neb / (Pop_10Myr / (n_e / -3.0898967)))"
